
Filament Position Y
 ==================== 
Filament Position Y,Unit,Category,Collection,Time,ID,
5401.32,µm,Filament,Filament Position,1,100000000,
5714.44,µm,Filament,Filament Position,1,100000001,
5176.36,µm,Filament,Filament Position,1,100000002,
5847.75,µm,Filament,Filament Position,1,100000003,
6090.55,µm,Filament,Filament Position,1,100000004,
5847.21,µm,Filament,Filament Position,1,100000005,
5603.65,µm,Filament,Filament Position,1,100000006,
5661.23,µm,Filament,Filament Position,1,100000007,
6296.52,µm,Filament,Filament Position,1,100000008,
6161.81,µm,Filament,Filament Position,1,100000009,
6303.85,µm,Filament,Filament Position,1,100000010,
5995.06,µm,Filament,Filament Position,1,100000011,
6029,µm,Filament,Filament Position,1,100000012,
5462.03,µm,Filament,Filament Position,1,100000013,
