
Filament Position Z
 ==================== 
Filament Position Z,Unit,Category,Collection,Time,ID,
9.45775,µm,Filament,Filament Position,1,100000000,
10.8714,µm,Filament,Filament Position,1,100000001,
9.77045,µm,Filament,Filament Position,1,100000002,
7.57492,µm,Filament,Filament Position,1,100000003,
11.3496,µm,Filament,Filament Position,1,100000004,
8.60868,µm,Filament,Filament Position,1,100000005,
13.2037,µm,Filament,Filament Position,1,100000006,
13.2276,µm,Filament,Filament Position,1,100000007,
3.65101,µm,Filament,Filament Position,1,100000008,
9.43317,µm,Filament,Filament Position,1,100000009,
-0.138641,µm,Filament,Filament Position,1,100000010,
11.8961,µm,Filament,Filament Position,1,100000011,
10.915,µm,Filament,Filament Position,1,100000012,
9.0929,µm,Filament,Filament Position,1,100000013,
