
Filament Segment Length (sum)
 ==================== 
Filament Segment Length (sum),Unit,Category,Time,ID,
1167.11,µm,Filament,1,100000000,
994.56,µm,Filament,1,100000001,
1205.33,µm,Filament,1,100000002,
1634.24,µm,Filament,1,100000003,
790.627,µm,Filament,1,100000004,
1455.98,µm,Filament,1,100000005,
943.509,µm,Filament,1,100000006,
830.532,µm,Filament,1,100000007,
942.563,µm,Filament,1,100000008,
684.34,µm,Filament,1,100000009,
2116.52,µm,Filament,1,100000010,
979.483,µm,Filament,1,100000011,
1646.97,µm,Filament,1,100000012,
1272.17,µm,Filament,1,100000013,
