
Pt Distance from Origin
 ==================== 
Pt Distance from Origin,Unit,Category,Collection,Depth,Time,Type,FilamentID,ID,
109986,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000000,800000000,
109931,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000000,800000001,
110096,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000000,800000002,
110001,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000000,800000003,
110056,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000000,800000004,
110017,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000000,800000005,
109992,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000000,800000006,
110030,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000000,800000007,
109971,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000000,800000008,
109984,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000000,800000009,
109996,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000000,800000010,
109968,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000000,800000011,
109897,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000000,800000012,
109964,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000000,800000013,
109890,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000000,800000014,
110005,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000000,800000015,
109984,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000000,800000016,
110060,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000000,800000017,
109985,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000000,800000018,
109945,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000000,800000019,
109984,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000000,800000020,
109951,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000000,800000021,
110339,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000001,800000044,
110393,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000001,800000045,
110255,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000001,800000046,
110237,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000001,800000047,
110302,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000001,800000048,
110257,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000001,800000049,
110291,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000001,800000050,
110346,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000001,800000051,
110368,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000001,800000052,
110343,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000001,800000053,
110399,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000001,800000054,
110412,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000001,800000055,
110346,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000001,800000056,
110315,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000001,800000057,
110293,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000001,800000058,
110373,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000001,800000059,
110357,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000001,800000060,
110364,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000001,800000061,
110301,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000001,800000062,
110310,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000001,800000063,
110351,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000001,800000064,
