
Segment Area
 ==================== 
Segment Area,Unit,Category,Depth,Level,Time,FilamentID,ID,
373.12,µm^2,Segment,1,1,1,100000000,510000000001,
1035.88,µm^2,Segment,2,2,1,100000000,510000000007,
324.55,µm^2,Segment,1,1,1,100000000,510000000045,
67.4903,µm^2,Segment,2,1,1,100000000,510000000051,
1147.18,µm^2,Segment,3,1,1,100000000,510000000053,
1089.03,µm^2,Segment,2,2,1,100000000,510000000095,
223.377,µm^2,Segment,1,1,1,100000000,510000000138,
472.901,µm^2,Segment,2,1,1,100000000,510000000141,
718.106,µm^2,Segment,2,2,1,100000000,510000000158,
471.372,µm^2,Segment,2,2,1,100000000,510000000189,
306.779,µm^2,Segment,3,2,1,100000000,510000000204,
307.567,µm^2,Segment,3,3,1,100000000,510000000217,
667.264,µm^2,Segment,3,1,1,100000000,510000000232,
861.81,µm^2,Segment,3,2,1,100000000,510000000259,
910.58,µm^2,Segment,3,2,1,100000000,510000000294,
1042.64,µm^2,Segment,3,2,1,100000000,510000000330,
1017.46,µm^2,Segment,3,1,1,100000000,510000000372,
362.983,µm^2,Segment,3,2,1,100000000,510000000414,
992.305,µm^2,Segment,3,1,1,100000001,510000000431,
175.259,µm^2,Segment,4,1,1,100000001,510000000447,
505.182,µm^2,Segment,1,1,1,100000001,510000000450,
176.683,µm^2,Segment,2,1,1,100000001,510000000454,
751.448,µm^2,Segment,3,1,1,100000001,510000000457,
692.801,µm^2,Segment,1,1,1,100000001,510000000474,
622.663,µm^2,Segment,2,1,1,100000001,510000000481,
411.534,µm^2,Segment,3,2,1,100000001,510000000495,
700.377,µm^2,Segment,1,1,1,100000001,510000000505,
381.827,µm^2,Segment,3,2,1,100000001,510000000517,
164.877,µm^2,Segment,4,2,1,100000001,510000000524,
559.768,µm^2,Segment,2,2,1,100000001,510000000529,
499.786,µm^2,Segment,1,1,1,100000001,510000000540,
873.531,µm^2,Segment,2,1,1,100000001,510000000543,
628.709,µm^2,Segment,1,1,1,100000001,510000000562,
216.472,µm^2,Segment,2,2,1,100000001,510000000570,
632.491,µm^2,Segment,1,1,1,100000001,510000000573,
608.607,µm^2,Segment,2,2,1,100000001,510000000580,
236.709,µm^2,Segment,2,2,1,100000001,510000000594,
374.857,µm^2,Segment,4,3,1,100000001,510000000599,
246.925,µm^2,Segment,4,2,1,100000001,510000000610,
1444.32,µm^2,Segment,2,1,1,100000002,510000000616,
1582.59,µm^2,Segment,3,1,1,100000002,510000000635,
1350.7,µm^2,Segment,3,2,1,100000002,510000000663,
1854.28,µm^2,Segment,1,1,1,100000002,510000000685,
181,µm^2,Segment,2,1,1,100000002,510000000709,
367.738,µm^2,Segment,3,1,1,100000002,510000000711,
573.581,µm^2,Segment,4,1,1,100000002,510000000716,
1116.39,µm^2,Segment,2,2,1,100000002,510000000726,
