
Segment Branch Level
 ==================== 
Segment Branch Level,Unit,Category,Depth,Level,Time,FilamentID,ID,
1,,Segment,1,1,1,100000000,510000000001,
2,,Segment,2,2,1,100000000,510000000007,
1,,Segment,1,1,1,100000000,510000000045,
1,,Segment,2,1,1,100000000,510000000051,
1,,Segment,3,1,1,100000000,510000000053,
2,,Segment,2,2,1,100000000,510000000095,
1,,Segment,1,1,1,100000000,510000000138,
1,,Segment,2,1,1,100000000,510000000141,
2,,Segment,2,2,1,100000000,510000000158,
2,,Segment,2,2,1,100000000,510000000189,
2,,Segment,3,2,1,100000000,510000000204,
3,,Segment,3,3,1,100000000,510000000217,
1,,Segment,3,1,1,100000000,510000000232,
2,,Segment,3,2,1,100000000,510000000259,
2,,Segment,3,2,1,100000000,510000000294,
2,,Segment,3,2,1,100000000,510000000330,
1,,Segment,3,1,1,100000000,510000000372,
2,,Segment,3,2,1,100000000,510000000414,
1,,Segment,3,1,1,100000001,510000000431,
1,,Segment,4,1,1,100000001,510000000447,
1,,Segment,1,1,1,100000001,510000000450,
1,,Segment,2,1,1,100000001,510000000454,
1,,Segment,3,1,1,100000001,510000000457,
1,,Segment,1,1,1,100000001,510000000474,
1,,Segment,2,1,1,100000001,510000000481,
2,,Segment,3,2,1,100000001,510000000495,
1,,Segment,1,1,1,100000001,510000000505,
2,,Segment,3,2,1,100000001,510000000517,
2,,Segment,4,2,1,100000001,510000000524,
2,,Segment,2,2,1,100000001,510000000529,
1,,Segment,1,1,1,100000001,510000000540,
1,,Segment,2,1,1,100000001,510000000543,
1,,Segment,1,1,1,100000001,510000000562,
2,,Segment,2,2,1,100000001,510000000570,
1,,Segment,1,1,1,100000001,510000000573,
2,,Segment,2,2,1,100000001,510000000580,
2,,Segment,2,2,1,100000001,510000000594,
3,,Segment,4,3,1,100000001,510000000599,
2,,Segment,4,2,1,100000001,510000000610,
1,,Segment,2,1,1,100000002,510000000616,
1,,Segment,3,1,1,100000002,510000000635,
2,,Segment,3,2,1,100000002,510000000663,
1,,Segment,1,1,1,100000002,510000000685,
1,,Segment,2,1,1,100000002,510000000709,
1,,Segment,3,1,1,100000002,510000000711,
1,,Segment,4,1,1,100000002,510000000716,
2,,Segment,2,2,1,100000002,510000000726,
2,,Segment,4,2,1,100000002,510000000743,
2,,Segment,3,2,1,100000002,510000000755,
1,,Segment,1,1,1,100000002,510000000760,
1,,Segment,3,1,1,100000002,510000000765,
2,,Segment,3,2,1,100000002,510000000773,
2,,Segment,2,2,1,100000002,510000000783,
2,,Segment,2,2,1,100000002,510000000798,
1,,Segment,1,1,1,100000002,510000000824,
2,,Segment,2,2,1,100000002,510000000832,
1,,Segment,2,1,1,100000003,510000000846,
1,,Segment,0,1,1,100000003,510000000855,
1,,Segment,1,1,1,100000003,510000000857,
2,,Segment,3,2,1,100000003,510000000884,
2,,Segment,4,2,1,100000003,510000000886,
3,,Segment,3,3,1,100000003,510000000893,
3,,Segment,4,3,1,100000003,510000000899,
4,,Segment,4,4,1,100000003,510000000907,
3,,Segment,2,3,1,100000003,510000000910,
3,,Segment,3,3,1,100000003,510000000912,
