
Segment Branching Angle B
 ==================== 
Segment Branching Angle B,Unit,Category,Depth,Level,Time,FilamentID,ID,
0,°,Segment,1,1,1,100000000,510000000001,
30.6516,°,Segment,2,2,1,100000000,510000000007,
0,°,Segment,1,1,1,100000000,510000000045,
4.4157,°,Segment,2,1,1,100000000,510000000051,
64.7534,°,Segment,3,1,1,100000000,510000000053,
99.5846,°,Segment,2,2,1,100000000,510000000095,
0,°,Segment,1,1,1,100000000,510000000138,
5.68837,°,Segment,2,1,1,100000000,510000000141,
7.22664,°,Segment,2,2,1,100000000,510000000158,
32.5832,°,Segment,2,2,1,100000000,510000000189,
42.4468,°,Segment,3,2,1,100000000,510000000204,
59.4798,°,Segment,3,3,1,100000000,510000000217,
40.6355,°,Segment,3,1,1,100000000,510000000232,
62.3434,°,Segment,3,2,1,100000000,510000000259,
60.1035,°,Segment,3,2,1,100000000,510000000294,
17.1984,°,Segment,3,2,1,100000000,510000000330,
45.0605,°,Segment,3,1,1,100000000,510000000372,
56.5828,°,Segment,3,2,1,100000000,510000000414,
14.7511,°,Segment,3,1,1,100000001,510000000431,
29.4485,°,Segment,4,1,1,100000001,510000000447,
0,°,Segment,1,1,1,100000001,510000000450,
11.6486,°,Segment,2,1,1,100000001,510000000454,
19.6234,°,Segment,3,1,1,100000001,510000000457,
0,°,Segment,1,1,1,100000001,510000000474,
5.8759,°,Segment,2,1,1,100000001,510000000481,
22.8306,°,Segment,3,2,1,100000001,510000000495,
0,°,Segment,1,1,1,100000001,510000000505,
28.5821,°,Segment,3,2,1,100000001,510000000517,
47.7941,°,Segment,4,2,1,100000001,510000000524,
42.4681,°,Segment,2,2,1,100000001,510000000529,
0,°,Segment,1,1,1,100000001,510000000540,
13.495,°,Segment,2,1,1,100000001,510000000543,
0,°,Segment,1,1,1,100000001,510000000562,
52.5715,°,Segment,2,2,1,100000001,510000000570,
0,°,Segment,1,1,1,100000001,510000000573,
44.7469,°,Segment,2,2,1,100000001,510000000580,
80.567,°,Segment,2,2,1,100000001,510000000594,
22.275,°,Segment,4,3,1,100000001,510000000599,
80.2368,°,Segment,4,2,1,100000001,510000000610,
15.4335,°,Segment,2,1,1,100000002,510000000616,
56.21,°,Segment,3,1,1,100000002,510000000635,
26.0357,°,Segment,3,2,1,100000002,510000000663,
0,°,Segment,1,1,1,100000002,510000000685,
8.36412,°,Segment,2,1,1,100000002,510000000709,
19.4442,°,Segment,3,1,1,100000002,510000000711,
7.61352,°,Segment,4,1,1,100000002,510000000716,
46.7255,°,Segment,2,2,1,100000002,510000000726,
49.7503,°,Segment,4,2,1,100000002,510000000743,
44.7286,°,Segment,3,2,1,100000002,510000000755,
0,°,Segment,1,1,1,100000002,510000000760,
4.63138,°,Segment,3,1,1,100000002,510000000765,
24.4393,°,Segment,3,2,1,100000002,510000000773,
62.3014,°,Segment,2,2,1,100000002,510000000783,
45.5068,°,Segment,2,2,1,100000002,510000000798,
0,°,Segment,1,1,1,100000002,510000000824,
39.2539,°,Segment,2,2,1,100000002,510000000832,
8.2375,°,Segment,2,1,1,100000003,510000000846,
0,°,Segment,0,1,1,100000003,510000000855,
12.8042,°,Segment,1,1,1,100000003,510000000857,
10.084,°,Segment,3,2,1,100000003,510000000884,
24.5827,°,Segment,4,2,1,100000003,510000000886,
44.1356,°,Segment,3,3,1,100000003,510000000893,
18.5572,°,Segment,4,3,1,100000003,510000000899,
34.9673,°,Segment,4,4,1,100000003,510000000907,
119.114,°,Segment,2,3,1,100000003,510000000910,
50.8157,°,Segment,3,3,1,100000003,510000000912,
89.0007,°,Segment,3,4,1,100000003,510000000934,
15.3149,°,Segment,8,4,1,100000003,510000000951,
62.3766,°,Segment,8,5,1,100000003,510000000961,
16.3312,°,Segment,8,5,1,100000003,510000000979,
5.09635,°,Segment,9,5,1,100000003,510000000986,
65.3544,°,Segment,8,6,1,100000003,510000000995,
16.532,°,Segment,9,6,1,100000003,510000000997,
121.579,°,Segment,6,5,1,100000003,510000001012,
9.3235,°,Segment,5,4,1,100000003,510000001037,
44.3441,°,Segment,4,4,1,100000003,510000001057,
117.931,°,Segment,5,5,1,100000003,510000001060,
62.9663,°,Segment,6,5,1,100000003,510000001062,
25.5178,°,Segment,9,7,1,100000003,510000001072,
50.0741,°,Segment,9,6,1,100000003,510000001077,
144.094,°,Segment,7,5,1,100000003,510000001085,
117.805,°,Segment,2,3,1,100000003,510000001099,
31.9769,°,Segment,2,2,1,100000003,510000001118,
38.255,°,Segment,1,2,1,100000003,510000001127,
27.3568,°,Segment,4,3,1,100000003,510000001138,
68.9885,°,Segment,1,2,1,100000003,510000001158,
22.6637,°,Segment,1,1,1,100000004,510000001175,
30.955,°,Segment,2,2,1,100000004,510000001196,
33.8506,°,Segment,3,2,1,100000004,510000001204,
28.4749,°,Segment,3,3,1,100000004,510000001211,
9.45681,°,Segment,1,2,1,100000004,510000001218,
34.8294,°,Segment,1,1,1,100000004,510000001242,
5.82278,°,Segment,2,1,1,100000004,510000001244,
75.9793,°,Segment,2,3,1,100000004,510000001259,
131.221,°,Segment,2,3,1,100000004,510000001270,
15.295,°,Segment,3,3,1,100000004,510000001272,
32.4814,°,Segment,4,3,1,100000004,510000001275,
17.4281,°,Segment,4,4,1,100000004,510000001293,
11.9668,°,Segment,2,2,1,100000004,510000001302,
67.6458,°,Segment,3,4,1,100000004,510000001319,
0,°,Segment,1,1,1,100000005,510000001337,
0,°,Segment,1,1,1,100000005,510000001375,
27.9282,°,Segment,2,1,1,100000005,510000001403,
0,°,Segment,1,1,1,100000005,510000001419,
0,°,Segment,1,1,1,100000005,510000001434,
0,°,Segment,1,1,1,100000005,510000001466,
4.28441,°,Segment,2,1,1,100000005,510000001468,
8.11663,°,Segment,3,1,1,100000005,510000001470,
27.6534,°,Segment,2,2,1,100000005,510000001515,
24.3782,°,Segment,3,2,1,100000005,510000001517,
29.2814,°,Segment,3,3,1,100000005,510000001545,
78.8102,°,Segment,3,2,1,100000005,510000001563,
35.7998,°,Segment,2,2,1,100000005,510000001589,
35.2333,°,Segment,3,2,1,100000005,510000001599,
24.6559,°,Segment,3,3,1,100000005,510000001611,
42.5244,°,Segment,2,1,1,100000006,510000001633,
30.288,°,Segment,2,2,1,100000006,510000001648,
72.215,°,Segment,2,2,1,100000006,510000001680,
11.0996,°,Segment,2,1,1,100000006,510000001689,
16.7228,°,Segment,3,1,1,100000006,510000001692,
60.8814,°,Segment,2,2,1,100000006,510000001734,
58.2975,°,Segment,3,2,1,100000006,510000001744,
11.1681,°,Segment,3,3,1,100000006,510000001753,
0,°,Segment,1,1,1,100000006,510000001759,
55.3643,°,Segment,3,2,1,100000006,510000001769,
29.6145,°,Segment,3,2,1,100000006,510000001778,
11.9304,°,Segment,3,3,1,100000006,510000001796,
26.5455,°,Segment,2,1,1,100000007,510000001816,
33.7412,°,Segment,3,1,1,100000007,510000001818,
0,°,Segment,1,1,1,100000007,510000001834,
54.6697,°,Segment,2,2,1,100000007,510000001847,
9.3828,°,Segment,3,2,1,100000007,510000001850,
22.5652,°,Segment,2,1,1,100000007,510000001866,
0,°,Segment,1,1,1,100000007,510000001885,
22.967,°,Segment,2,1,1,100000007,510000001892,
40.6169,°,Segment,2,2,1,100000007,510000001903,
80.458,°,Segment,2,2,1,100000007,510000001915,
0,°,Segment,1,1,1,100000007,510000001923,
0,°,Segment,1,1,1,100000007,510000001931,
39.3973,°,Segment,3,3,1,100000007,510000001949,
25.6358,°,Segment,3,2,1,100000007,510000001953,
0,°,Segment,0,1,1,100000008,510000001968,
17.1749,°,Segment,2,1,1,100000008,510000001975,
2.49403,°,Segment,3,1,1,100000008,510000001977,
24.1844,°,Segment,4,1,1,100000008,510000001980,
49.8333,°,Segment,1,2,1,100000008,510000001997,
44.8125,°,Segment,4,2,1,100000008,510000002005,
69.353,°,Segment,2,2,1,100000008,510000002022,
133.529,°,Segment,1,2,1,100000008,510000002027,
16.7134,°,Segment,2,2,1,100000008,510000002031,
123.678,°,Segment,2,2,1,100000008,510000002036,
19.9567,°,Segment,3,2,1,100000008,510000002040,
48.585,°,Segment,3,3,1,100000008,510000002045,
98.8322,°,Segment,3,2,1,100000008,510000002056,
95.9716,°,Segment,2,2,1,100000008,510000002076,
13.6756,°,Segment,2,3,1,100000008,510000002093,
2.16483,°,Segment,1,2,1,100000009,510000002102,
62.2716,°,Segment,1,2,1,100000009,510000002111,
166.261,°,Segment,1,1,1,100000009,510000002126,
20.3465,°,Segment,3,1,1,100000009,510000002129,
24.0485,°,Segment,3,2,1,100000009,510000002143,
37.2736,°,Segment,2,2,1,100000009,510000002148,
26.5614,°,Segment,3,2,1,100000009,510000002151,
101.672,°,Segment,2,2,1,100000009,510000002156,
44.6183,°,Segment,3,3,1,100000009,510000002165,
53.9266,°,Segment,1,2,1,100000009,510000002171,
5.81237,°,Segment,2,2,1,100000009,510000002176,
64.2015,°,Segment,2,3,1,100000009,510000002180,
18.6087,°,Segment,1,1,1,100000010,510000002194,
2.9069,°,Segment,2,1,1,100000010,510000002196,
15.9558,°,Segment,3,1,1,100000010,510000002202,
54.5908,°,Segment,2,2,1,100000010,510000002218,
52.3473,°,Segment,3,2,1,100000010,510000002226,
85.863,°,Segment,1,2,1,100000010,510000002246,
45.7728,°,Segment,2,3,1,100000010,510000002248,
49.4147,°,Segment,3,3,1,100000010,510000002263,
77.4229,°,Segment,2,2,1,100000010,510000002278,
65.46,°,Segment,3,2,1,100000010,510000002281,
41.9736,°,Segment,4,2,1,100000010,510000002290,
103.179,°,Segment,3,3,1,100000010,510000002302,
20.0813,°,Segment,4,3,1,100000010,510000002331,
18.1889,°,Segment,1,1,1,100000010,510000002342,
27.194,°,Segment,2,1,1,100000010,510000002358,
27.4056,°,Segment,3,1,1,100000010,510000002363,
52.2425,°,Segment,3,2,1,100000010,510000002365,
44.2609,°,Segment,1,2,1,100000010,510000002368,
63.8403,°,Segment,3,2,1,100000010,510000002382,
80.5379,°,Segment,1,2,1,100000010,510000002396,
42.0628,°,Segment,2,2,1,100000010,510000002399,
74.1485,°,Segment,2,3,1,100000010,510000002407,
50.266,°,Segment,3,3,1,100000010,510000002412,
19.264,°,Segment,4,3,1,100000010,510000002417,
33.5306,°,Segment,4,4,1,100000010,510000002428,
121.239,°,Segment,1,2,1,100000010,510000002431,
30.9375,°,Segment,2,2,1,100000010,510000002441,
20.359,°,Segment,3,2,1,100000010,510000002444,
10.6717,°,Segment,4,2,1,100000010,510000002447,
45.0504,°,Segment,4,3,1,100000010,510000002454,
22.7406,°,Segment,5,3,1,100000010,510000002456,
58.7777,°,Segment,5,4,1,100000010,510000002459,
60.4153,°,Segment,3,3,1,100000010,510000002461,
13.3001,°,Segment,2,3,1,100000010,510000002466,
54.2353,°,Segment,2,2,1,100000010,510000002479,
103.818,°,Segment,3,4,1,100000010,510000002488,
11.1025,°,Segment,2,1,1,100000011,510000002505,
15.9984,°,Segment,3,1,1,100000011,510000002515,
20.6999,°,Segment,2,2,1,100000011,510000002528,
35.3612,°,Segment,2,3,1,100000011,510000002550,
31.0162,°,Segment,4,2,1,100000011,510000002565,
16.6569,°,Segment,4,3,1,100000011,510000002578,
45.5261,°,Segment,3,3,1,100000011,510000002584,
31.334,°,Segment,2,3,1,100000011,510000002606,
30.584,°,Segment,1,1,1,100000011,510000002630,
63.9525,°,Segment,1,2,1,100000011,510000002643,
12.7848,°,Segment,3,2,1,100000011,510000002661,
19.5402,°,Segment,3,3,1,100000011,510000002664,
34.2253,°,Segment,3,2,1,100000011,510000002675,
12.0064,°,Segment,2,1,1,100000012,510000002702,
13.9451,°,Segment,3,1,1,100000012,510000002709,
30.1842,°,Segment,4,1,1,100000012,510000002731,
52.9168,°,Segment,4,2,1,100000012,510000002740,
17.1036,°,Segment,2,2,1,100000012,510000002746,
19.7014,°,Segment,3,2,1,100000012,510000002752,
13.7896,°,Segment,4,2,1,100000012,510000002760,
66.7787,°,Segment,5,2,1,100000012,510000002776,
20.856,°,Segment,5,3,1,100000012,510000002784,
26.0237,°,Segment,4,3,1,100000012,510000002791,
0,°,Segment,1,1,1,100000012,510000002813,
16.9591,°,Segment,2,1,1,100000012,510000002820,
112.809,°,Segment,2,2,1,100000012,510000002832,
62.2362,°,Segment,3,2,1,100000012,510000002836,
6.74744,°,Segment,2,1,1,100000012,510000002867,
8.09604,°,Segment,3,1,1,100000012,510000002869,
48.0762,°,Segment,3,2,1,100000012,510000002897,
81.3291,°,Segment,2,2,1,100000012,510000002921,
15.2695,°,Segment,3,2,1,100000012,510000002930,
34.881,°,Segment,3,3,1,100000012,510000002947,
33.6546,°,Segment,2,2,1,100000012,510000002966,
12.7279,°,Segment,3,3,1,100000012,510000002982,
62.3645,°,Segment,4,3,1,100000012,510000002984,
86.4801,°,Segment,4,4,1,100000012,510000002999,
25.972,°,Segment,3,2,1,100000012,510000003014,
28.3018,°,Segment,3,3,1,100000012,510000003020,
10.4302,°,Segment,3,1,1,100000013,510000003039,
49.8905,°,Segment,3,2,1,100000013,510000003056,
16.4622,°,Segment,4,2,1,100000013,510000003061,
53.061,°,Segment,4,3,1,100000013,510000003074,
40.169,°,Segment,3,2,1,100000013,510000003081,
10.0441,°,Segment,4,2,1,100000013,510000003083,
58.9953,°,Segment,4,3,1,100000013,510000003090,
9.84187,°,Segment,5,3,1,100000013,510000003093,
