
Segment Center Intensity Mean Ch=3 Img=1
 ==================== 
Segment Center Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
105.571,,Segment,3,1,Image 1,1,1,100000000,510000000001,
144.949,,Segment,3,2,Image 1,2,1,100000000,510000000007,
57.4286,,Segment,3,1,Image 1,1,1,100000000,510000000045,
64.3333,,Segment,3,2,Image 1,1,1,100000000,510000000051,
135.907,,Segment,3,3,Image 1,1,1,100000000,510000000053,
170.795,,Segment,3,2,Image 1,2,1,100000000,510000000095,
99.75,,Segment,3,1,Image 1,1,1,100000000,510000000138,
115.833,,Segment,3,2,Image 1,1,1,100000000,510000000141,
141.065,,Segment,3,2,Image 1,2,1,100000000,510000000158,
107.938,,Segment,3,2,Image 1,2,1,100000000,510000000189,
140.286,,Segment,3,3,Image 1,2,1,100000000,510000000204,
167.4,,Segment,3,3,Image 1,3,1,100000000,510000000217,
145.75,,Segment,3,3,Image 1,1,1,100000000,510000000232,
147.111,,Segment,3,3,Image 1,2,1,100000000,510000000259,
154.243,,Segment,3,3,Image 1,2,1,100000000,510000000294,
156.19,,Segment,3,3,Image 1,2,1,100000000,510000000330,
157.14,,Segment,3,3,Image 1,1,1,100000000,510000000372,
148.067,,Segment,3,3,Image 1,2,1,100000000,510000000414,
133.471,,Segment,3,3,Image 1,1,1,100000001,510000000431,
90.25,,Segment,3,4,Image 1,1,1,100000001,510000000447,
34.4,,Segment,3,1,Image 1,1,1,100000001,510000000450,
156.75,,Segment,3,2,Image 1,1,1,100000001,510000000454,
176.611,,Segment,3,3,Image 1,1,1,100000001,510000000457,
131.375,,Segment,3,1,Image 1,1,1,100000001,510000000474,
178.467,,Segment,3,2,Image 1,1,1,100000001,510000000481,
188.727,,Segment,3,3,Image 1,2,1,100000001,510000000495,
156.417,,Segment,3,1,Image 1,1,1,100000001,510000000505,
146.25,,Segment,3,3,Image 1,2,1,100000001,510000000517,
146.833,,Segment,3,4,Image 1,2,1,100000001,510000000524,
150.5,,Segment,3,2,Image 1,2,1,100000001,510000000529,
108.75,,Segment,3,1,Image 1,1,1,100000001,510000000540,
155.65,,Segment,3,2,Image 1,1,1,100000001,510000000543,
122.556,,Segment,3,1,Image 1,1,1,100000001,510000000562,
118,,Segment,3,2,Image 1,2,1,100000001,510000000570,
113.125,,Segment,3,1,Image 1,1,1,100000001,510000000573,
164,,Segment,3,2,Image 1,2,1,100000001,510000000580,
158.2,,Segment,3,2,Image 1,2,1,100000001,510000000594,
154.5,,Segment,3,4,Image 1,3,1,100000001,510000000599,
145.2,,Segment,3,4,Image 1,2,1,100000001,510000000610,
169.15,,Segment,3,2,Image 1,1,1,100000002,510000000616,
184.552,,Segment,3,3,Image 1,1,1,100000002,510000000635,
167.652,,Segment,3,3,Image 1,2,1,100000002,510000000663,
137.042,,Segment,3,1,Image 1,1,1,100000002,510000000685,
58.3333,,Segment,3,2,Image 1,1,1,100000002,510000000709,
107.833,,Segment,3,3,Image 1,1,1,100000002,510000000711,
142.455,,Segment,3,4,Image 1,1,1,100000002,510000000716,
141.833,,Segment,3,2,Image 1,2,1,100000002,510000000726,
163.923,,Segment,3,4,Image 1,2,1,100000002,510000000743,
119.167,,Segment,3,3,Image 1,2,1,100000002,510000000755,
104.6,,Segment,3,1,Image 1,1,1,100000002,510000000760,
171.556,,Segment,3,3,Image 1,1,1,100000002,510000000765,
168.3,,Segment,3,3,Image 1,2,1,100000002,510000000773,
162.812,,Segment,3,2,Image 1,2,1,100000002,510000000783,
161.889,,Segment,3,2,Image 1,2,1,100000002,510000000798,
169.222,,Segment,3,1,Image 1,1,1,100000002,510000000824,
171.667,,Segment,3,2,Image 1,2,1,100000002,510000000832,
136,,Segment,3,2,Image 1,1,1,100000003,510000000846,
68.5,,Segment,3,0,Image 1,1,1,100000003,510000000855,
163,,Segment,3,1,Image 1,1,1,100000003,510000000857,
68.3333,,Segment,3,3,Image 1,2,1,100000003,510000000884,
117.5,,Segment,3,4,Image 1,2,1,100000003,510000000886,
93.1429,,Segment,3,3,Image 1,3,1,100000003,510000000893,
163.889,,Segment,3,4,Image 1,3,1,100000003,510000000899,
150.667,,Segment,3,4,Image 1,4,1,100000003,510000000907,
40,,Segment,3,2,Image 1,3,1,100000003,510000000910,
158.13,,Segment,3,3,Image 1,3,1,100000003,510000000912,
160.588,,Segment,3,3,Image 1,4,1,100000003,510000000934,
170.273,,Segment,3,8,Image 1,4,1,100000003,510000000951,
175.944,,Segment,3,8,Image 1,5,1,100000003,510000000961,
161.25,,Segment,3,8,Image 1,5,1,100000003,510000000979,
152.9,,Segment,3,9,Image 1,5,1,100000003,510000000986,
174,,Segment,3,8,Image 1,6,1,100000003,510000000995,
176.867,,Segment,3,9,Image 1,6,1,100000003,510000000997,
156.125,,Segment,3,6,Image 1,5,1,100000003,510000001012,
153,,Segment,3,5,Image 1,4,1,100000003,510000001037,
155.81,,Segment,3,4,Image 1,4,1,100000003,510000001057,
167.667,,Segment,3,5,Image 1,5,1,100000003,510000001060,
130.818,,Segment,3,6,Image 1,5,1,100000003,510000001062,
149.667,,Segment,3,9,Image 1,7,1,100000003,510000001072,
176.222,,Segment,3,9,Image 1,6,1,100000003,510000001077,
152.6,,Segment,3,7,Image 1,5,1,100000003,510000001085,
103.85,,Segment,3,2,Image 1,3,1,100000003,510000001099,
160.667,,Segment,3,2,Image 1,2,1,100000003,510000001118,
145.583,,Segment,3,1,Image 1,2,1,100000003,510000001127,
164.762,,Segment,3,4,Image 1,3,1,100000003,510000001138,
159.125,,Segment,3,1,Image 1,2,1,100000003,510000001158,
149,,Segment,3,1,Image 1,1,1,100000004,510000001175,
124.889,,Segment,3,2,Image 1,2,1,100000004,510000001196,
115,,Segment,3,3,Image 1,2,1,100000004,510000001204,
142.571,,Segment,3,3,Image 1,3,1,100000004,510000001211,
150.32,,Segment,3,1,Image 1,2,1,100000004,510000001218,
145.333,,Segment,3,1,Image 1,1,1,100000004,510000001242,
151.562,,Segment,3,2,Image 1,1,1,100000004,510000001244,
141.917,,Segment,3,2,Image 1,3,1,100000004,510000001259,
101,,Segment,3,2,Image 1,3,1,100000004,510000001270,
157,,Segment,3,3,Image 1,3,1,100000004,510000001272,
154.158,,Segment,3,4,Image 1,3,1,100000004,510000001275,
163.5,,Segment,3,4,Image 1,4,1,100000004,510000001293,
157.529,,Segment,3,2,Image 1,2,1,100000004,510000001302,
147.389,,Segment,3,3,Image 1,4,1,100000004,510000001319,
163.026,,Segment,3,1,Image 1,1,1,100000005,510000001337,
142.821,,Segment,3,1,Image 1,1,1,100000005,510000001375,
146.562,,Segment,3,2,Image 1,1,1,100000005,510000001403,
141.375,,Segment,3,1,Image 1,1,1,100000005,510000001419,
115.906,,Segment,3,1,Image 1,1,1,100000005,510000001434,
83.6667,,Segment,3,1,Image 1,1,1,100000005,510000001466,
123.333,,Segment,3,2,Image 1,1,1,100000005,510000001468,
159.261,,Segment,3,3,Image 1,1,1,100000005,510000001470,
150,,Segment,3,2,Image 1,2,1,100000005,510000001515,
157.241,,Segment,3,3,Image 1,2,1,100000005,510000001517,
177.737,,Segment,3,3,Image 1,3,1,100000005,510000001545,
161.963,,Segment,3,3,Image 1,2,1,100000005,510000001563,
138.636,,Segment,3,2,Image 1,2,1,100000005,510000001589,
134.846,,Segment,3,3,Image 1,2,1,100000005,510000001599,
174.81,,Segment,3,3,Image 1,3,1,100000005,510000001611,
154.938,,Segment,3,2,Image 1,1,1,100000006,510000001633,
144.606,,Segment,3,2,Image 1,2,1,100000006,510000001648,
177.111,,Segment,3,2,Image 1,2,1,100000006,510000001680,
130.75,,Segment,3,2,Image 1,1,1,100000006,510000001689,
145.651,,Segment,3,3,Image 1,1,1,100000006,510000001692,
134.091,,Segment,3,2,Image 1,2,1,100000006,510000001734,
155.5,,Segment,3,3,Image 1,2,1,100000006,510000001744,
163,,Segment,3,3,Image 1,3,1,100000006,510000001753,
196.7,,Segment,3,1,Image 1,1,1,100000006,510000001759,
180.625,,Segment,3,3,Image 1,2,1,100000006,510000001769,
159.263,,Segment,3,3,Image 1,2,1,100000006,510000001778,
130.667,,Segment,3,3,Image 1,3,1,100000006,510000001796,
130.667,,Segment,3,2,Image 1,1,1,100000007,510000001816,
133.882,,Segment,3,3,Image 1,1,1,100000007,510000001818,
98.0714,,Segment,3,1,Image 1,1,1,100000007,510000001834,
125,,Segment,3,2,Image 1,2,1,100000007,510000001847,
146.467,,Segment,3,3,Image 1,2,1,100000007,510000001850,
141.85,,Segment,3,2,Image 1,1,1,100000007,510000001866,
130.75,,Segment,3,1,Image 1,1,1,100000007,510000001885,
167.333,,Segment,3,2,Image 1,1,1,100000007,510000001892,
165.5,,Segment,3,2,Image 1,2,1,100000007,510000001903,
133.111,,Segment,3,2,Image 1,2,1,100000007,510000001915,
145,,Segment,3,1,Image 1,1,1,100000007,510000001923,
150.789,,Segment,3,1,Image 1,1,1,100000007,510000001931,
131,,Segment,3,3,Image 1,3,1,100000007,510000001949,
155.786,,Segment,3,3,Image 1,2,1,100000007,510000001953,
170.5,,Segment,3,0,Image 1,1,1,100000008,510000001968,
86,,Segment,3,2,Image 1,1,1,100000008,510000001975,
116.5,,Segment,3,3,Image 1,1,1,100000008,510000001977,
173.611,,Segment,3,4,Image 1,1,1,100000008,510000001980,
137.889,,Segment,3,1,Image 1,2,1,100000008,510000001997,
