
Segment Center Intensity Median Ch=1 Img=1
 ==================== 
Segment Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
240.125,,Segment,1,1,Image 1,1,1,100000000,510000000001,
207.125,,Segment,1,2,Image 1,2,1,100000000,510000000007,
255,,Segment,1,1,Image 1,1,1,100000000,510000000045,
255,,Segment,1,2,Image 1,1,1,100000000,510000000051,
233.125,,Segment,1,3,Image 1,1,1,100000000,510000000053,
152.625,,Segment,1,2,Image 1,2,1,100000000,510000000095,
220.625,,Segment,1,1,Image 1,1,1,100000000,510000000138,
237.125,,Segment,1,2,Image 1,1,1,100000000,510000000141,
192.125,,Segment,1,2,Image 1,2,1,100000000,510000000158,
247.562,,Segment,1,2,Image 1,2,1,100000000,510000000189,
219.625,,Segment,1,3,Image 1,2,1,100000000,510000000204,
111.125,,Segment,1,3,Image 1,3,1,100000000,510000000217,
221.062,,Segment,1,3,Image 1,1,1,100000000,510000000232,
201.125,,Segment,1,3,Image 1,2,1,100000000,510000000259,
175.125,,Segment,1,3,Image 1,2,1,100000000,510000000294,
177.125,,Segment,1,3,Image 1,2,1,100000000,510000000330,
163.125,,Segment,1,3,Image 1,1,1,100000000,510000000372,
159.125,,Segment,1,3,Image 1,2,1,100000000,510000000414,
211.125,,Segment,1,3,Image 1,1,1,100000001,510000000431,
250.531,,Segment,1,4,Image 1,1,1,100000001,510000000447,
255,,Segment,1,1,Image 1,1,1,100000001,510000000450,
102.125,,Segment,1,2,Image 1,1,1,100000001,510000000454,
104.625,,Segment,1,3,Image 1,1,1,100000001,510000000457,
186.625,,Segment,1,1,Image 1,1,1,100000001,510000000474,
114.125,,Segment,1,2,Image 1,1,1,100000001,510000000481,
141.125,,Segment,1,3,Image 1,2,1,100000001,510000000495,
136.5,,Segment,1,1,Image 1,1,1,100000001,510000000505,
185.625,,Segment,1,3,Image 1,2,1,100000001,510000000517,
177.562,,Segment,1,4,Image 1,2,1,100000001,510000000524,
177.125,,Segment,1,2,Image 1,2,1,100000001,510000000529,
240.625,,Segment,1,1,Image 1,1,1,100000001,510000000540,
169.625,,Segment,1,2,Image 1,1,1,100000001,510000000543,
204.125,,Segment,1,1,Image 1,1,1,100000001,510000000562,
232.062,,Segment,1,2,Image 1,2,1,100000001,510000000570,
241.125,,Segment,1,1,Image 1,1,1,100000001,510000000573,
142.125,,Segment,1,2,Image 1,2,1,100000001,510000000580,
188.125,,Segment,1,2,Image 1,2,1,100000001,510000000594,
185.625,,Segment,1,4,Image 1,3,1,100000001,510000000599,
182.125,,Segment,1,4,Image 1,2,1,100000001,510000000610,
108.625,,Segment,1,2,Image 1,1,1,100000002,510000000616,
113.125,,Segment,1,3,Image 1,1,1,100000002,510000000635,
138.125,,Segment,1,3,Image 1,2,1,100000002,510000000663,
209.125,,Segment,1,1,Image 1,1,1,100000002,510000000685,
255,,Segment,1,2,Image 1,1,1,100000002,510000000709,
213.562,,Segment,1,3,Image 1,1,1,100000002,510000000711,
222.062,,Segment,1,4,Image 1,1,1,100000002,510000000716,
195.625,,Segment,1,2,Image 1,2,1,100000002,510000000726,
184.125,,Segment,1,4,Image 1,2,1,100000002,510000000743,
186.625,,Segment,1,3,Image 1,2,1,100000002,510000000755,
255,,Segment,1,1,Image 1,1,1,100000002,510000000760,
119.062,,Segment,1,3,Image 1,1,1,100000002,510000000765,
127.125,,Segment,1,3,Image 1,2,1,100000002,510000000773,
106.125,,Segment,1,2,Image 1,2,1,100000002,510000000783,
147.125,,Segment,1,2,Image 1,2,1,100000002,510000000798,
106.125,,Segment,1,1,Image 1,1,1,100000002,510000000824,
140.125,,Segment,1,2,Image 1,2,1,100000002,510000000832,
212.062,,Segment,1,2,Image 1,1,1,100000003,510000000846,
255,,Segment,1,0,Image 1,1,1,100000003,510000000855,
135.625,,Segment,1,1,Image 1,1,1,100000003,510000000857,
255,,Segment,1,3,Image 1,2,1,100000003,510000000884,
218.562,,Segment,1,4,Image 1,2,1,100000003,510000000886,
255,,Segment,1,3,Image 1,3,1,100000003,510000000893,
159.125,,Segment,1,4,Image 1,3,1,100000003,510000000899,
211.031,,Segment,1,4,Image 1,4,1,100000003,510000000907,
255,,Segment,1,2,Image 1,3,1,100000003,510000000910,
99.125,,Segment,1,3,Image 1,3,1,100000003,510000000912,
105.125,,Segment,1,3,Image 1,4,1,100000003,510000000934,
126.125,,Segment,1,8,Image 1,4,1,100000003,510000000951,
129.062,,Segment,1,8,Image 1,5,1,100000003,510000000961,
132.125,,Segment,1,8,Image 1,5,1,100000003,510000000979,
204.562,,Segment,1,9,Image 1,5,1,100000003,510000000986,
177.062,,Segment,1,8,Image 1,6,1,100000003,510000000995,
142.125,,Segment,1,9,Image 1,6,1,100000003,510000000997,
163.125,,Segment,1,6,Image 1,5,1,100000003,510000001012,
88.125,,Segment,1,5,Image 1,4,1,100000003,510000001037,
185.125,,Segment,1,4,Image 1,4,1,100000003,510000001057,
90.125,,Segment,1,5,Image 1,5,1,100000003,510000001060,
203.25,,Segment,1,6,Image 1,5,1,100000003,510000001062,
147.625,,Segment,1,9,Image 1,7,1,100000003,510000001072,
84.125,,Segment,1,9,Image 1,6,1,100000003,510000001077,
133.125,,Segment,1,7,Image 1,5,1,100000003,510000001085,
243.625,,Segment,1,2,Image 1,3,1,100000003,510000001099,
160.125,,Segment,1,2,Image 1,2,1,100000003,510000001118,
175.625,,Segment,1,1,Image 1,2,1,100000003,510000001127,
101.125,,Segment,1,4,Image 1,3,1,100000003,510000001138,
134.625,,Segment,1,1,Image 1,2,1,100000003,510000001158,
179.125,,Segment,1,1,Image 1,1,1,100000004,510000001175,
250.25,,Segment,1,2,Image 1,2,1,100000004,510000001196,
255,,Segment,1,3,Image 1,2,1,100000004,510000001204,
222.125,,Segment,1,3,Image 1,3,1,100000004,510000001211,
180.125,,Segment,1,1,Image 1,2,1,100000004,510000001218,
170.016,,Segment,1,1,Image 1,1,1,100000004,510000001242,
