
Segment Center Intensity Min Ch=2 Img=1
 ==================== 
Segment Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
25,,Segment,2,1,Image 1,1,1,100000000,510000000001,
69,,Segment,2,2,Image 1,2,1,100000000,510000000007,
25,,Segment,2,1,Image 1,1,1,100000000,510000000045,
48,,Segment,2,2,Image 1,1,1,100000000,510000000051,
56,,Segment,2,3,Image 1,1,1,100000000,510000000053,
48,,Segment,2,2,Image 1,2,1,100000000,510000000095,
25,,Segment,2,1,Image 1,1,1,100000000,510000000138,
58,,Segment,2,2,Image 1,1,1,100000000,510000000141,
4,,Segment,2,2,Image 1,2,1,100000000,510000000158,
42,,Segment,2,2,Image 1,2,1,100000000,510000000189,
73,,Segment,2,3,Image 1,2,1,100000000,510000000204,
114,,Segment,2,3,Image 1,3,1,100000000,510000000217,
69,,Segment,2,3,Image 1,1,1,100000000,510000000232,
79,,Segment,2,3,Image 1,2,1,100000000,510000000259,
11,,Segment,2,3,Image 1,2,1,100000000,510000000294,
42,,Segment,2,3,Image 1,2,1,100000000,510000000330,
84,,Segment,2,3,Image 1,1,1,100000000,510000000372,
62,,Segment,2,3,Image 1,2,1,100000000,510000000414,
50,,Segment,2,3,Image 1,1,1,100000001,510000000431,
50,,Segment,2,4,Image 1,1,1,100000001,510000000447,
0,,Segment,2,1,Image 1,1,1,100000001,510000000450,
60,,Segment,2,2,Image 1,1,1,100000001,510000000454,
11,,Segment,2,3,Image 1,1,1,100000001,510000000457,
28,,Segment,2,1,Image 1,1,1,100000001,510000000474,
98,,Segment,2,2,Image 1,1,1,100000001,510000000481,
165,,Segment,2,3,Image 1,2,1,100000001,510000000495,
28,,Segment,2,1,Image 1,1,1,100000001,510000000505,
79,,Segment,2,3,Image 1,2,1,100000001,510000000517,
103,,Segment,2,4,Image 1,2,1,100000001,510000000524,
58,,Segment,2,2,Image 1,2,1,100000001,510000000529,
28,,Segment,2,1,Image 1,1,1,100000001,510000000540,
80,,Segment,2,2,Image 1,1,1,100000001,510000000543,
23,,Segment,2,1,Image 1,1,1,100000001,510000000562,
8,,Segment,2,2,Image 1,2,1,100000001,510000000570,
0,,Segment,2,1,Image 1,1,1,100000001,510000000573,
69,,Segment,2,2,Image 1,2,1,100000001,510000000580,
78,,Segment,2,2,Image 1,2,1,100000001,510000000594,
115,,Segment,2,4,Image 1,3,1,100000001,510000000599,
50,,Segment,2,4,Image 1,2,1,100000001,510000000610,
126,,Segment,2,2,Image 1,1,1,100000002,510000000616,
107,,Segment,2,3,Image 1,1,1,100000002,510000000635,
76,,Segment,2,3,Image 1,2,1,100000002,510000000663,
32,,Segment,2,1,Image 1,1,1,100000002,510000000685,
7,,Segment,2,2,Image 1,1,1,100000002,510000000709,
7,,Segment,2,3,Image 1,1,1,100000002,510000000711,
100,,Segment,2,4,Image 1,1,1,100000002,510000000716,
45,,Segment,2,2,Image 1,2,1,100000002,510000000726,
127,,Segment,2,4,Image 1,2,1,100000002,510000000743,
7,,Segment,2,3,Image 1,2,1,100000002,510000000755,
32,,Segment,2,1,Image 1,1,1,100000002,510000000760,
134,,Segment,2,3,Image 1,1,1,100000002,510000000765,
85,,Segment,2,3,Image 1,2,1,100000002,510000000773,
69,,Segment,2,2,Image 1,2,1,100000002,510000000783,
87,,Segment,2,2,Image 1,2,1,100000002,510000000798,
32,,Segment,2,1,Image 1,1,1,100000002,510000000824,
123,,Segment,2,2,Image 1,2,1,100000002,510000000832,
72,,Segment,2,2,Image 1,1,1,100000003,510000000846,
59,,Segment,2,0,Image 1,1,1,100000003,510000000855,
74,,Segment,2,1,Image 1,1,1,100000003,510000000857,
36,,Segment,2,3,Image 1,2,1,100000003,510000000884,
33,,Segment,2,4,Image 1,2,1,100000003,510000000886,
36,,Segment,2,3,Image 1,3,1,100000003,510000000893,
124,,Segment,2,4,Image 1,3,1,100000003,510000000899,
