
Segment Center Intensity StdDev Ch=1 Img=1
 ==================== 
Segment Center Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
58.0412,,Segment,1,1,Image 1,1,1,100000000,510000000001,
54.1222,,Segment,1,2,Image 1,2,1,100000000,510000000007,
2.09956,,Segment,1,1,Image 1,1,1,100000000,510000000045,
0,,Segment,1,2,Image 1,1,1,100000000,510000000051,
42.3494,,Segment,1,3,Image 1,1,1,100000000,510000000053,
36.3197,,Segment,1,2,Image 1,2,1,100000000,510000000095,
68.4215,,Segment,1,1,Image 1,1,1,100000000,510000000138,
60.6256,,Segment,1,2,Image 1,1,1,100000000,510000000141,
73.2274,,Segment,1,2,Image 1,2,1,100000000,510000000158,
35.8189,,Segment,1,2,Image 1,2,1,100000000,510000000189,
46.2743,,Segment,1,3,Image 1,2,1,100000000,510000000204,
60.1284,,Segment,1,3,Image 1,3,1,100000000,510000000217,
35.2908,,Segment,1,3,Image 1,1,1,100000000,510000000232,
57.458,,Segment,1,3,Image 1,2,1,100000000,510000000259,
69.606,,Segment,1,3,Image 1,2,1,100000000,510000000294,
64.8041,,Segment,1,3,Image 1,2,1,100000000,510000000330,
47.1667,,Segment,1,3,Image 1,1,1,100000000,510000000372,
66.4046,,Segment,1,3,Image 1,2,1,100000000,510000000414,
42.0664,,Segment,1,3,Image 1,1,1,100000001,510000000431,
16.0156,,Segment,1,4,Image 1,1,1,100000001,510000000447,
0,,Segment,1,1,Image 1,1,1,100000001,510000000450,
74.1262,,Segment,1,2,Image 1,1,1,100000001,510000000454,
63.5017,,Segment,1,3,Image 1,1,1,100000001,510000000457,
50.2965,,Segment,1,1,Image 1,1,1,100000001,510000000474,
39.3816,,Segment,1,2,Image 1,1,1,100000001,510000000481,
46.1981,,Segment,1,3,Image 1,2,1,100000001,510000000495,
62.4144,,Segment,1,1,Image 1,1,1,100000001,510000000505,
70.4946,,Segment,1,3,Image 1,2,1,100000001,510000000517,
35.7278,,Segment,1,4,Image 1,2,1,100000001,510000000524,
51.3371,,Segment,1,2,Image 1,2,1,100000001,510000000529,
83.6914,,Segment,1,1,Image 1,1,1,100000001,510000000540,
51.4914,,Segment,1,2,Image 1,1,1,100000001,510000000543,
55.9486,,Segment,1,1,Image 1,1,1,100000001,510000000562,
50.6631,,Segment,1,2,Image 1,2,1,100000001,510000000570,
68.9855,,Segment,1,1,Image 1,1,1,100000001,510000000573,
58.2235,,Segment,1,2,Image 1,2,1,100000001,510000000580,
48.0899,,Segment,1,2,Image 1,2,1,100000001,510000000594,
54.4648,,Segment,1,4,Image 1,3,1,100000001,510000000599,
69.6775,,Segment,1,4,Image 1,2,1,100000001,510000000610,
56.1378,,Segment,1,2,Image 1,1,1,100000002,510000000616,
36.4613,,Segment,1,3,Image 1,1,1,100000002,510000000635,
58.1683,,Segment,1,3,Image 1,2,1,100000002,510000000663,
42.9382,,Segment,1,1,Image 1,1,1,100000002,510000000685,
8.95669,,Segment,1,2,Image 1,1,1,100000002,510000000709,
29.0081,,Segment,1,3,Image 1,1,1,100000002,510000000711,
23.2148,,Segment,1,4,Image 1,1,1,100000002,510000000716,
59.485,,Segment,1,2,Image 1,2,1,100000002,510000000726,
58.1013,,Segment,1,4,Image 1,2,1,100000002,510000000743,
55.0091,,Segment,1,3,Image 1,2,1,100000002,510000000755,
51.5364,,Segment,1,1,Image 1,1,1,100000002,510000000760,
42.7476,,Segment,1,3,Image 1,1,1,100000002,510000000765,
43.8356,,Segment,1,3,Image 1,2,1,100000002,510000000773,
66.8061,,Segment,1,2,Image 1,2,1,100000002,510000000783,
56.2773,,Segment,1,2,Image 1,2,1,100000002,510000000798,
58.6742,,Segment,1,1,Image 1,1,1,100000002,510000000824,
59.2886,,Segment,1,2,Image 1,2,1,100000002,510000000832,
33.297,,Segment,1,2,Image 1,1,1,100000003,510000000846,
0,,Segment,1,0,Image 1,1,1,100000003,510000000855,
54.1886,,Segment,1,1,Image 1,1,1,100000003,510000000857,
22.156,,Segment,1,3,Image 1,2,1,100000003,510000000884,
40.5363,,Segment,1,4,Image 1,2,1,100000003,510000000886,
9.00567,,Segment,1,3,Image 1,3,1,100000003,510000000893,
52.4447,,Segment,1,4,Image 1,3,1,100000003,510000000899,
22.6618,,Segment,1,4,Image 1,4,1,100000003,510000000907,
0,,Segment,1,2,Image 1,3,1,100000003,510000000910,
59.7982,,Segment,1,3,Image 1,3,1,100000003,510000000912,
73.7324,,Segment,1,3,Image 1,4,1,100000003,510000000934,
54.6124,,Segment,1,8,Image 1,4,1,100000003,510000000951,
20.8046,,Segment,1,8,Image 1,5,1,100000003,510000000961,
61.0814,,Segment,1,8,Image 1,5,1,100000003,510000000979,
42.8113,,Segment,1,9,Image 1,5,1,100000003,510000000986,
49.6655,,Segment,1,8,Image 1,6,1,100000003,510000000995,
51.1501,,Segment,1,9,Image 1,6,1,100000003,510000000997,
57.9309,,Segment,1,6,Image 1,5,1,100000003,510000001012,
101.954,,Segment,1,5,Image 1,4,1,100000003,510000001037,
71.9671,,Segment,1,4,Image 1,4,1,100000003,510000001057,
69.3013,,Segment,1,5,Image 1,5,1,100000003,510000001060,
74.7299,,Segment,1,6,Image 1,5,1,100000003,510000001062,
83.1119,,Segment,1,9,Image 1,7,1,100000003,510000001072,
85.954,,Segment,1,9,Image 1,6,1,100000003,510000001077,
65.5589,,Segment,1,7,Image 1,5,1,100000003,510000001085,
36.8406,,Segment,1,2,Image 1,3,1,100000003,510000001099,
50.7115,,Segment,1,2,Image 1,2,1,100000003,510000001118,
77.933,,Segment,1,1,Image 1,2,1,100000003,510000001127,
48.1868,,Segment,1,4,Image 1,3,1,100000003,510000001138,
65.0543,,Segment,1,1,Image 1,2,1,100000003,510000001158,
56.1135,,Segment,1,1,Image 1,1,1,100000004,510000001175,
79.0449,,Segment,1,2,Image 1,2,1,100000004,510000001196,
21.3918,,Segment,1,3,Image 1,2,1,100000004,510000001204,
52.663,,Segment,1,3,Image 1,3,1,100000004,510000001211,
49.3127,,Segment,1,1,Image 1,2,1,100000004,510000001218,
10.6562,,Segment,1,1,Image 1,1,1,100000004,510000001242,
44.1694,,Segment,1,2,Image 1,1,1,100000004,510000001244,
68.3022,,Segment,1,2,Image 1,3,1,100000004,510000001259,
54.9565,,Segment,1,2,Image 1,3,1,100000004,510000001270,
12.696,,Segment,1,3,Image 1,3,1,100000004,510000001272,
48.0507,,Segment,1,4,Image 1,3,1,100000004,510000001275,
40.9507,,Segment,1,4,Image 1,4,1,100000004,510000001293,
73.2386,,Segment,1,2,Image 1,2,1,100000004,510000001302,
44.8135,,Segment,1,3,Image 1,4,1,100000004,510000001319,
