
Segment Center Intensity Sum Ch=1 Img=1
 ==================== 
Segment Center Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
1423,,Segment,1,1,Image 1,1,1,100000000,510000000001,
7533,,Segment,1,2,Image 1,2,1,100000000,510000000007,
1779,,Segment,1,1,Image 1,1,1,100000000,510000000045,
765,,Segment,1,2,Image 1,1,1,100000000,510000000051,
9360,,Segment,1,3,Image 1,1,1,100000000,510000000053,
6946,,Segment,1,2,Image 1,2,1,100000000,510000000095,
784,,Segment,1,1,Image 1,1,1,100000000,510000000138,
3859,,Segment,1,2,Image 1,1,1,100000000,510000000141,
5456,,Segment,1,2,Image 1,2,1,100000000,510000000158,
3671,,Segment,1,2,Image 1,2,1,100000000,510000000189,
2873,,Segment,1,3,Image 1,2,1,100000000,510000000204,
2090,,Segment,1,3,Image 1,3,1,100000000,510000000217,
6010,,Segment,1,3,Image 1,1,1,100000000,510000000232,
6929,,Segment,1,3,Image 1,2,1,100000000,510000000259,
6422,,Segment,1,3,Image 1,2,1,100000000,510000000294,
7081,,Segment,1,3,Image 1,2,1,100000000,510000000330,
7020,,Segment,1,3,Image 1,1,1,100000000,510000000372,
2511,,Segment,1,3,Image 1,2,1,100000000,510000000414,
3537,,Segment,1,3,Image 1,1,1,100000001,510000000431,
972,,Segment,1,4,Image 1,1,1,100000001,510000000447,
1275,,Segment,1,1,Image 1,1,1,100000001,510000000450,
521,,Segment,1,2,Image 1,1,1,100000001,510000000454,
2222,,Segment,1,3,Image 1,1,1,100000001,510000000457,
1547,,Segment,1,1,Image 1,1,1,100000001,510000000474,
1734,,Segment,1,2,Image 1,1,1,100000001,510000000481,
1497,,Segment,1,3,Image 1,2,1,100000001,510000000495,
1696,,Segment,1,1,Image 1,1,1,100000001,510000000505,
1299,,Segment,1,3,Image 1,2,1,100000001,510000000517,
1073,,Segment,1,4,Image 1,2,1,100000001,510000000524,
2148,,Segment,1,2,Image 1,2,1,100000001,510000000529,
790,,Segment,1,1,Image 1,1,1,100000001,510000000540,
3484,,Segment,1,2,Image 1,1,1,100000001,510000000543,
1814,,Segment,1,1,Image 1,1,1,100000001,510000000562,
850,,Segment,1,2,Image 1,2,1,100000001,510000000570,
1584,,Segment,1,1,Image 1,1,1,100000001,510000000573,
2196,,Segment,1,2,Image 1,2,1,100000001,510000000580,
913,,Segment,1,2,Image 1,2,1,100000001,510000000594,
1987,,Segment,1,4,Image 1,3,1,100000001,510000000599,
831,,Segment,1,4,Image 1,2,1,100000001,510000000610,
2701,,Segment,1,2,Image 1,1,1,100000002,510000000616,
3139,,Segment,1,3,Image 1,1,1,100000002,510000000635,
3368,,Segment,1,3,Image 1,2,1,100000002,510000000663,
4806,,Segment,1,1,Image 1,1,1,100000002,510000000685,
746,,Segment,1,2,Image 1,1,1,100000002,510000000709,
1309,,Segment,1,3,Image 1,1,1,100000002,510000000711,
2483,,Segment,1,4,Image 1,1,1,100000002,510000000716,
3211,,Segment,1,2,Image 1,2,1,100000002,510000000726,
2170,,Segment,1,4,Image 1,2,1,100000002,510000000743,
1140,,Segment,1,3,Image 1,2,1,100000002,510000000755,
1085,,Segment,1,1,Image 1,1,1,100000002,510000000760,
1273,,Segment,1,3,Image 1,1,1,100000002,510000000765,
