
Segment Center Number of Voxel Ch=3 Img=1
 ==================== 
Segment Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
7,,Segment,3,1,Image 1,1,1,100000000,510000000001,
39,,Segment,3,2,Image 1,2,1,100000000,510000000007,
7,,Segment,3,1,Image 1,1,1,100000000,510000000045,
3,,Segment,3,2,Image 1,1,1,100000000,510000000051,
43,,Segment,3,3,Image 1,1,1,100000000,510000000053,
44,,Segment,3,2,Image 1,2,1,100000000,510000000095,
4,,Segment,3,1,Image 1,1,1,100000000,510000000138,
18,,Segment,3,2,Image 1,1,1,100000000,510000000141,
31,,Segment,3,2,Image 1,2,1,100000000,510000000158,
16,,Segment,3,2,Image 1,2,1,100000000,510000000189,
14,,Segment,3,3,Image 1,2,1,100000000,510000000204,
15,,Segment,3,3,Image 1,3,1,100000000,510000000217,
28,,Segment,3,3,Image 1,1,1,100000000,510000000232,
36,,Segment,3,3,Image 1,2,1,100000000,510000000259,
37,,Segment,3,3,Image 1,2,1,100000000,510000000294,
42,,Segment,3,3,Image 1,2,1,100000000,510000000330,
43,,Segment,3,3,Image 1,1,1,100000000,510000000372,
15,,Segment,3,3,Image 1,2,1,100000000,510000000414,
17,,Segment,3,3,Image 1,1,1,100000001,510000000431,
4,,Segment,3,4,Image 1,1,1,100000001,510000000447,
5,,Segment,3,1,Image 1,1,1,100000001,510000000450,
4,,Segment,3,2,Image 1,1,1,100000001,510000000454,
18,,Segment,3,3,Image 1,1,1,100000001,510000000457,
8,,Segment,3,1,Image 1,1,1,100000001,510000000474,
15,,Segment,3,2,Image 1,1,1,100000001,510000000481,
11,,Segment,3,3,Image 1,2,1,100000001,510000000495,
12,,Segment,3,1,Image 1,1,1,100000001,510000000505,
8,,Segment,3,3,Image 1,2,1,100000001,510000000517,
6,,Segment,3,4,Image 1,2,1,100000001,510000000524,
12,,Segment,3,2,Image 1,2,1,100000001,510000000529,
4,,Segment,3,1,Image 1,1,1,100000001,510000000540,
20,,Segment,3,2,Image 1,1,1,100000001,510000000543,
9,,Segment,3,1,Image 1,1,1,100000001,510000000562,
4,,Segment,3,2,Image 1,2,1,100000001,510000000570,
8,,Segment,3,1,Image 1,1,1,100000001,510000000573,
15,,Segment,3,2,Image 1,2,1,100000001,510000000580,
5,,Segment,3,2,Image 1,2,1,100000001,510000000594,
12,,Segment,3,4,Image 1,3,1,100000001,510000000599,
5,,Segment,3,4,Image 1,2,1,100000001,510000000610,
20,,Segment,3,2,Image 1,1,1,100000002,510000000616,
29,,Segment,3,3,Image 1,1,1,100000002,510000000635,
23,,Segment,3,3,Image 1,2,1,100000002,510000000663,
24,,Segment,3,1,Image 1,1,1,100000002,510000000685,
3,,Segment,3,2,Image 1,1,1,100000002,510000000709,
6,,Segment,3,3,Image 1,1,1,100000002,510000000711,
11,,Segment,3,4,Image 1,1,1,100000002,510000000716,
18,,Segment,3,2,Image 1,2,1,100000002,510000000726,
13,,Segment,3,4,Image 1,2,1,100000002,510000000743,
6,,Segment,3,3,Image 1,2,1,100000002,510000000755,
5,,Segment,3,1,Image 1,1,1,100000002,510000000760,
9,,Segment,3,3,Image 1,1,1,100000002,510000000765,
10,,Segment,3,3,Image 1,2,1,100000002,510000000773,
16,,Segment,3,2,Image 1,2,1,100000002,510000000783,
27,,Segment,3,2,Image 1,2,1,100000002,510000000798,
9,,Segment,3,1,Image 1,1,1,100000002,510000000824,
12,,Segment,3,2,Image 1,2,1,100000002,510000000832,
9,,Segment,3,2,Image 1,1,1,100000003,510000000846,
2,,Segment,3,0,Image 1,1,1,100000003,510000000855,
26,,Segment,3,1,Image 1,1,1,100000003,510000000857,
3,,Segment,3,3,Image 1,2,1,100000003,510000000884,
8,,Segment,3,4,Image 1,2,1,100000003,510000000886,
7,,Segment,3,3,Image 1,3,1,100000003,510000000893,
9,,Segment,3,4,Image 1,3,1,100000003,510000000899,
3,,Segment,3,4,Image 1,4,1,100000003,510000000907,
3,,Segment,3,2,Image 1,3,1,100000003,510000000910,
23,,Segment,3,3,Image 1,3,1,100000003,510000000912,
17,,Segment,3,3,Image 1,4,1,100000003,510000000934,
11,,Segment,3,8,Image 1,4,1,100000003,510000000951,
18,,Segment,3,8,Image 1,5,1,100000003,510000000961,
8,,Segment,3,8,Image 1,5,1,100000003,510000000979,
10,,Segment,3,9,Image 1,5,1,100000003,510000000986,
3,,Segment,3,8,Image 1,6,1,100000003,510000000995,
15,,Segment,3,9,Image 1,6,1,100000003,510000000997,
24,,Segment,3,6,Image 1,5,1,100000003,510000001012,
5,,Segment,3,5,Image 1,4,1,100000003,510000001037,
21,,Segment,3,4,Image 1,4,1,100000003,510000001057,
3,,Segment,3,5,Image 1,5,1,100000003,510000001060,
11,,Segment,3,6,Image 1,5,1,100000003,510000001062,
6,,Segment,3,9,Image 1,7,1,100000003,510000001072,
9,,Segment,3,9,Image 1,6,1,100000003,510000001077,
15,,Segment,3,7,Image 1,5,1,100000003,510000001085,
20,,Segment,3,2,Image 1,3,1,100000003,510000001099,
9,,Segment,3,2,Image 1,2,1,100000003,510000001118,
12,,Segment,3,1,Image 1,2,1,100000003,510000001127,
21,,Segment,3,4,Image 1,3,1,100000003,510000001138,
16,,Segment,3,1,Image 1,2,1,100000003,510000001158,
21,,Segment,3,1,Image 1,1,1,100000004,510000001175,
9,,Segment,3,2,Image 1,2,1,100000004,510000001196,
8,,Segment,3,3,Image 1,2,1,100000004,510000001204,
7,,Segment,3,3,Image 1,3,1,100000004,510000001211,
25,,Segment,3,1,Image 1,2,1,100000004,510000001218,
3,,Segment,3,1,Image 1,1,1,100000004,510000001242,
16,,Segment,3,2,Image 1,1,1,100000004,510000001244,
12,,Segment,3,2,Image 1,3,1,100000004,510000001259,
3,,Segment,3,2,Image 1,3,1,100000004,510000001270,
4,,Segment,3,3,Image 1,3,1,100000004,510000001272,
19,,Segment,3,4,Image 1,3,1,100000004,510000001275,
10,,Segment,3,4,Image 1,4,1,100000004,510000001293,
17,,Segment,3,2,Image 1,2,1,100000004,510000001302,
18,,Segment,3,3,Image 1,4,1,100000004,510000001319,
39,,Segment,3,1,Image 1,1,1,100000005,510000001337,
28,,Segment,3,1,Image 1,1,1,100000005,510000001375,
16,,Segment,3,2,Image 1,1,1,100000005,510000001403,
16,,Segment,3,1,Image 1,1,1,100000005,510000001419,
32,,Segment,3,1,Image 1,1,1,100000005,510000001434,
3,,Segment,3,1,Image 1,1,1,100000005,510000001466,
3,,Segment,3,2,Image 1,1,1,100000005,510000001468,
46,,Segment,3,3,Image 1,1,1,100000005,510000001470,
3,,Segment,3,2,Image 1,2,1,100000005,510000001515,
29,,Segment,3,3,Image 1,2,1,100000005,510000001517,
19,,Segment,3,3,Image 1,3,1,100000005,510000001545,
27,,Segment,3,3,Image 1,2,1,100000005,510000001563,
11,,Segment,3,2,Image 1,2,1,100000005,510000001589,
13,,Segment,3,3,Image 1,2,1,100000005,510000001599,
21,,Segment,3,3,Image 1,3,1,100000005,510000001611,
16,,Segment,3,2,Image 1,1,1,100000006,510000001633,
33,,Segment,3,2,Image 1,2,1,100000006,510000001648,
9,,Segment,3,2,Image 1,2,1,100000006,510000001680,
4,,Segment,3,2,Image 1,1,1,100000006,510000001689,
43,,Segment,3,3,Image 1,1,1,100000006,510000001692,
11,,Segment,3,2,Image 1,2,1,100000006,510000001734,
10,,Segment,3,3,Image 1,2,1,100000006,510000001744,
6,,Segment,3,3,Image 1,3,1,100000006,510000001753,
10,,Segment,3,1,Image 1,1,1,100000006,510000001759,
8,,Segment,3,3,Image 1,2,1,100000006,510000001769,
19,,Segment,3,3,Image 1,2,1,100000006,510000001778,
18,,Segment,3,3,Image 1,3,1,100000006,510000001796,
3,,Segment,3,2,Image 1,1,1,100000007,510000001816,
17,,Segment,3,3,Image 1,1,1,100000007,510000001818,
14,,Segment,3,1,Image 1,1,1,100000007,510000001834,
4,,Segment,3,2,Image 1,2,1,100000007,510000001847,
15,,Segment,3,3,Image 1,2,1,100000007,510000001850,
20,,Segment,3,2,Image 1,1,1,100000007,510000001866,
8,,Segment,3,1,Image 1,1,1,100000007,510000001885,
12,,Segment,3,2,Image 1,1,1,100000007,510000001892,
12,,Segment,3,2,Image 1,2,1,100000007,510000001903,
9,,Segment,3,2,Image 1,2,1,100000007,510000001915,
9,,Segment,3,1,Image 1,1,1,100000007,510000001923,
19,,Segment,3,1,Image 1,1,1,100000007,510000001931,
4,,Segment,3,3,Image 1,3,1,100000007,510000001949,
14,,Segment,3,3,Image 1,2,1,100000007,510000001953,
4,,Segment,3,0,Image 1,1,1,100000008,510000001968,
3,,Segment,3,2,Image 1,1,1,100000008,510000001975,
4,,Segment,3,3,Image 1,1,1,100000008,510000001977,
18,,Segment,3,4,Image 1,1,1,100000008,510000001980,
9,,Segment,3,1,Image 1,2,1,100000008,510000001997,
18,,Segment,3,4,Image 1,2,1,100000008,510000002005,
6,,Segment,3,2,Image 1,2,1,100000008,510000002022,
5,,Segment,3,1,Image 1,2,1,100000008,510000002027,
6,,Segment,3,2,Image 1,2,1,100000008,510000002031,
5,,Segment,3,2,Image 1,2,1,100000008,510000002036,
6,,Segment,3,3,Image 1,2,1,100000008,510000002040,
12,,Segment,3,3,Image 1,3,1,100000008,510000002045,
21,,Segment,3,3,Image 1,2,1,100000008,510000002056,
18,,Segment,3,2,Image 1,2,1,100000008,510000002076,
8,,Segment,3,2,Image 1,3,1,100000008,510000002093,
10,,Segment,3,1,Image 1,2,1,100000009,510000002102,
16,,Segment,3,1,Image 1,2,1,100000009,510000002111,
3,,Segment,3,1,Image 1,1,1,100000009,510000002126,
15,,Segment,3,3,Image 1,1,1,100000009,510000002129,
5,,Segment,3,3,Image 1,2,1,100000009,510000002143,
4,,Segment,3,2,Image 1,2,1,100000009,510000002148,
5,,Segment,3,3,Image 1,2,1,100000009,510000002151,
10,,Segment,3,2,Image 1,2,1,100000009,510000002156,
7,,Segment,3,3,Image 1,3,1,100000009,510000002165,
6,,Segment,3,1,Image 1,2,1,100000009,510000002171,
5,,Segment,3,2,Image 1,2,1,100000009,510000002176,
13,,Segment,3,2,Image 1,3,1,100000009,510000002180,
3,,Segment,3,1,Image 1,1,1,100000010,510000002194,
7,,Segment,3,2,Image 1,1,1,100000010,510000002196,
17,,Segment,3,3,Image 1,1,1,100000010,510000002202,
9,,Segment,3,2,Image 1,2,1,100000010,510000002218,
21,,Segment,3,3,Image 1,2,1,100000010,510000002226,
3,,Segment,3,1,Image 1,2,1,100000010,510000002246,
16,,Segment,3,2,Image 1,3,1,100000010,510000002248,
16,,Segment,3,3,Image 1,3,1,100000010,510000002263,
4,,Segment,3,2,Image 1,2,1,100000010,510000002278,
10,,Segment,3,3,Image 1,2,1,100000010,510000002281,
13,,Segment,3,4,Image 1,2,1,100000010,510000002290,
30,,Segment,3,3,Image 1,3,1,100000010,510000002302,
11,,Segment,3,4,Image 1,3,1,100000010,510000002331,
17,,Segment,3,1,Image 1,1,1,100000010,510000002342,
6,,Segment,3,2,Image 1,1,1,100000010,510000002358,
3,,Segment,3,3,Image 1,1,1,100000010,510000002363,
4,,Segment,3,3,Image 1,2,1,100000010,510000002365,
15,,Segment,3,1,Image 1,2,1,100000010,510000002368,
14,,Segment,3,3,Image 1,2,1,100000010,510000002382,
4,,Segment,3,1,Image 1,2,1,100000010,510000002396,
9,,Segment,3,2,Image 1,2,1,100000010,510000002399,
6,,Segment,3,2,Image 1,3,1,100000010,510000002407,
6,,Segment,3,3,Image 1,3,1,100000010,510000002412,
12,,Segment,3,4,Image 1,3,1,100000010,510000002417,
4,,Segment,3,4,Image 1,4,1,100000010,510000002428,
11,,Segment,3,1,Image 1,2,1,100000010,510000002431,
4,,Segment,3,2,Image 1,2,1,100000010,510000002441,
4,,Segment,3,3,Image 1,2,1,100000010,510000002444,
8,,Segment,3,4,Image 1,2,1,100000010,510000002447,
3,,Segment,3,4,Image 1,3,1,100000010,510000002454,
4,,Segment,3,5,Image 1,3,1,100000010,510000002456,
3,,Segment,3,5,Image 1,4,1,100000010,510000002459,
6,,Segment,3,3,Image 1,3,1,100000010,510000002461,
14,,Segment,3,2,Image 1,3,1,100000010,510000002466,
9,,Segment,3,2,Image 1,2,1,100000010,510000002479,
15,,Segment,3,3,Image 1,4,1,100000010,510000002488,
11,,Segment,3,2,Image 1,1,1,100000011,510000002505,
13,,Segment,3,3,Image 1,1,1,100000011,510000002515,
22,,Segment,3,2,Image 1,2,1,100000011,510000002528,
13,,Segment,3,2,Image 1,3,1,100000011,510000002550,
14,,Segment,3,4,Image 1,2,1,100000011,510000002565,
