
Segment Intensity Max Ch=1 Img=1
 ==================== 
Segment Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
255,,Segment,1,1,Image 1,1,1,100000000,510000000001,
255,,Segment,1,2,Image 1,2,1,100000000,510000000007,
255,,Segment,1,1,Image 1,1,1,100000000,510000000045,
255,,Segment,1,2,Image 1,1,1,100000000,510000000051,
255,,Segment,1,3,Image 1,1,1,100000000,510000000053,
255,,Segment,1,2,Image 1,2,1,100000000,510000000095,
255,,Segment,1,1,Image 1,1,1,100000000,510000000138,
255,,Segment,1,2,Image 1,1,1,100000000,510000000141,
255,,Segment,1,2,Image 1,2,1,100000000,510000000158,
255,,Segment,1,2,Image 1,2,1,100000000,510000000189,
255,,Segment,1,3,Image 1,2,1,100000000,510000000204,
255,,Segment,1,3,Image 1,3,1,100000000,510000000217,
255,,Segment,1,3,Image 1,1,1,100000000,510000000232,
255,,Segment,1,3,Image 1,2,1,100000000,510000000259,
255,,Segment,1,3,Image 1,2,1,100000000,510000000294,
255,,Segment,1,3,Image 1,2,1,100000000,510000000330,
255,,Segment,1,3,Image 1,1,1,100000000,510000000372,
255,,Segment,1,3,Image 1,2,1,100000000,510000000414,
255,,Segment,1,3,Image 1,1,1,100000001,510000000431,
255,,Segment,1,4,Image 1,1,1,100000001,510000000447,
255,,Segment,1,1,Image 1,1,1,100000001,510000000450,
255,,Segment,1,2,Image 1,1,1,100000001,510000000454,
255,,Segment,1,3,Image 1,1,1,100000001,510000000457,
255,,Segment,1,1,Image 1,1,1,100000001,510000000474,
255,,Segment,1,2,Image 1,1,1,100000001,510000000481,
255,,Segment,1,3,Image 1,2,1,100000001,510000000495,
255,,Segment,1,1,Image 1,1,1,100000001,510000000505,
255,,Segment,1,3,Image 1,2,1,100000001,510000000517,
255,,Segment,1,4,Image 1,2,1,100000001,510000000524,
255,,Segment,1,2,Image 1,2,1,100000001,510000000529,
255,,Segment,1,1,Image 1,1,1,100000001,510000000540,
255,,Segment,1,2,Image 1,1,1,100000001,510000000543,
255,,Segment,1,1,Image 1,1,1,100000001,510000000562,
255,,Segment,1,2,Image 1,2,1,100000001,510000000570,
255,,Segment,1,1,Image 1,1,1,100000001,510000000573,
255,,Segment,1,2,Image 1,2,1,100000001,510000000580,
255,,Segment,1,2,Image 1,2,1,100000001,510000000594,
255,,Segment,1,4,Image 1,3,1,100000001,510000000599,
255,,Segment,1,4,Image 1,2,1,100000001,510000000610,
255,,Segment,1,2,Image 1,1,1,100000002,510000000616,
255,,Segment,1,3,Image 1,1,1,100000002,510000000635,
255,,Segment,1,3,Image 1,2,1,100000002,510000000663,
255,,Segment,1,1,Image 1,1,1,100000002,510000000685,
255,,Segment,1,2,Image 1,1,1,100000002,510000000709,
255,,Segment,1,3,Image 1,1,1,100000002,510000000711,
255,,Segment,1,4,Image 1,1,1,100000002,510000000716,
255,,Segment,1,2,Image 1,2,1,100000002,510000000726,
255,,Segment,1,4,Image 1,2,1,100000002,510000000743,
255,,Segment,1,3,Image 1,2,1,100000002,510000000755,
255,,Segment,1,1,Image 1,1,1,100000002,510000000760,
255,,Segment,1,3,Image 1,1,1,100000002,510000000765,
255,,Segment,1,3,Image 1,2,1,100000002,510000000773,
255,,Segment,1,2,Image 1,2,1,100000002,510000000783,
255,,Segment,1,2,Image 1,2,1,100000002,510000000798,
255,,Segment,1,1,Image 1,1,1,100000002,510000000824,
255,,Segment,1,2,Image 1,2,1,100000002,510000000832,
255,,Segment,1,2,Image 1,1,1,100000003,510000000846,
255,,Segment,1,0,Image 1,1,1,100000003,510000000855,
255,,Segment,1,1,Image 1,1,1,100000003,510000000857,
255,,Segment,1,3,Image 1,2,1,100000003,510000000884,
255,,Segment,1,4,Image 1,2,1,100000003,510000000886,
255,,Segment,1,3,Image 1,3,1,100000003,510000000893,
255,,Segment,1,4,Image 1,3,1,100000003,510000000899,
255,,Segment,1,4,Image 1,4,1,100000003,510000000907,
255,,Segment,1,2,Image 1,3,1,100000003,510000000910,
255,,Segment,1,3,Image 1,3,1,100000003,510000000912,
255,,Segment,1,3,Image 1,4,1,100000003,510000000934,
255,,Segment,1,8,Image 1,4,1,100000003,510000000951,
255,,Segment,1,8,Image 1,5,1,100000003,510000000961,
255,,Segment,1,8,Image 1,5,1,100000003,510000000979,
255,,Segment,1,9,Image 1,5,1,100000003,510000000986,
255,,Segment,1,8,Image 1,6,1,100000003,510000000995,
255,,Segment,1,9,Image 1,6,1,100000003,510000000997,
255,,Segment,1,6,Image 1,5,1,100000003,510000001012,
255,,Segment,1,5,Image 1,4,1,100000003,510000001037,
255,,Segment,1,4,Image 1,4,1,100000003,510000001057,
236,,Segment,1,5,Image 1,5,1,100000003,510000001060,
255,,Segment,1,6,Image 1,5,1,100000003,510000001062,
255,,Segment,1,9,Image 1,7,1,100000003,510000001072,
255,,Segment,1,9,Image 1,6,1,100000003,510000001077,
255,,Segment,1,7,Image 1,5,1,100000003,510000001085,
255,,Segment,1,2,Image 1,3,1,100000003,510000001099,
255,,Segment,1,2,Image 1,2,1,100000003,510000001118,
255,,Segment,1,1,Image 1,2,1,100000003,510000001127,
255,,Segment,1,4,Image 1,3,1,100000003,510000001138,
255,,Segment,1,1,Image 1,2,1,100000003,510000001158,
255,,Segment,1,1,Image 1,1,1,100000004,510000001175,
255,,Segment,1,2,Image 1,2,1,100000004,510000001196,
255,,Segment,1,3,Image 1,2,1,100000004,510000001204,
255,,Segment,1,3,Image 1,3,1,100000004,510000001211,
255,,Segment,1,1,Image 1,2,1,100000004,510000001218,
255,,Segment,1,1,Image 1,1,1,100000004,510000001242,
255,,Segment,1,2,Image 1,1,1,100000004,510000001244,
255,,Segment,1,2,Image 1,3,1,100000004,510000001259,
255,,Segment,1,2,Image 1,3,1,100000004,510000001270,
255,,Segment,1,3,Image 1,3,1,100000004,510000001272,
255,,Segment,1,4,Image 1,3,1,100000004,510000001275,
255,,Segment,1,4,Image 1,4,1,100000004,510000001293,
255,,Segment,1,2,Image 1,2,1,100000004,510000001302,
255,,Segment,1,3,Image 1,4,1,100000004,510000001319,
255,,Segment,1,1,Image 1,1,1,100000005,510000001337,
255,,Segment,1,1,Image 1,1,1,100000005,510000001375,
255,,Segment,1,2,Image 1,1,1,100000005,510000001403,
255,,Segment,1,1,Image 1,1,1,100000005,510000001419,
255,,Segment,1,1,Image 1,1,1,100000005,510000001434,
255,,Segment,1,1,Image 1,1,1,100000005,510000001466,
255,,Segment,1,2,Image 1,1,1,100000005,510000001468,
255,,Segment,1,3,Image 1,1,1,100000005,510000001470,
255,,Segment,1,2,Image 1,2,1,100000005,510000001515,
255,,Segment,1,3,Image 1,2,1,100000005,510000001517,
255,,Segment,1,3,Image 1,3,1,100000005,510000001545,
255,,Segment,1,3,Image 1,2,1,100000005,510000001563,
255,,Segment,1,2,Image 1,2,1,100000005,510000001589,
255,,Segment,1,3,Image 1,2,1,100000005,510000001599,
255,,Segment,1,3,Image 1,3,1,100000005,510000001611,
255,,Segment,1,2,Image 1,1,1,100000006,510000001633,
255,,Segment,1,2,Image 1,2,1,100000006,510000001648,
255,,Segment,1,2,Image 1,2,1,100000006,510000001680,
255,,Segment,1,2,Image 1,1,1,100000006,510000001689,
255,,Segment,1,3,Image 1,1,1,100000006,510000001692,
255,,Segment,1,2,Image 1,2,1,100000006,510000001734,
255,,Segment,1,3,Image 1,2,1,100000006,510000001744,
255,,Segment,1,3,Image 1,3,1,100000006,510000001753,
255,,Segment,1,1,Image 1,1,1,100000006,510000001759,
255,,Segment,1,3,Image 1,2,1,100000006,510000001769,
255,,Segment,1,3,Image 1,2,1,100000006,510000001778,
255,,Segment,1,3,Image 1,3,1,100000006,510000001796,
255,,Segment,1,2,Image 1,1,1,100000007,510000001816,
255,,Segment,1,3,Image 1,1,1,100000007,510000001818,
255,,Segment,1,1,Image 1,1,1,100000007,510000001834,
255,,Segment,1,2,Image 1,2,1,100000007,510000001847,
255,,Segment,1,3,Image 1,2,1,100000007,510000001850,
255,,Segment,1,2,Image 1,1,1,100000007,510000001866,
255,,Segment,1,1,Image 1,1,1,100000007,510000001885,
255,,Segment,1,2,Image 1,1,1,100000007,510000001892,
255,,Segment,1,2,Image 1,2,1,100000007,510000001903,
255,,Segment,1,2,Image 1,2,1,100000007,510000001915,
255,,Segment,1,1,Image 1,1,1,100000007,510000001923,
255,,Segment,1,1,Image 1,1,1,100000007,510000001931,
255,,Segment,1,3,Image 1,3,1,100000007,510000001949,
255,,Segment,1,3,Image 1,2,1,100000007,510000001953,
255,,Segment,1,0,Image 1,1,1,100000008,510000001968,
255,,Segment,1,2,Image 1,1,1,100000008,510000001975,
255,,Segment,1,3,Image 1,1,1,100000008,510000001977,
254,,Segment,1,4,Image 1,1,1,100000008,510000001980,
255,,Segment,1,1,Image 1,2,1,100000008,510000001997,
255,,Segment,1,4,Image 1,2,1,100000008,510000002005,
255,,Segment,1,2,Image 1,2,1,100000008,510000002022,
255,,Segment,1,1,Image 1,2,1,100000008,510000002027,
242,,Segment,1,2,Image 1,2,1,100000008,510000002031,
255,,Segment,1,2,Image 1,2,1,100000008,510000002036,
255,,Segment,1,3,Image 1,2,1,100000008,510000002040,
255,,Segment,1,3,Image 1,3,1,100000008,510000002045,
255,,Segment,1,3,Image 1,2,1,100000008,510000002056,
255,,Segment,1,2,Image 1,2,1,100000008,510000002076,
255,,Segment,1,2,Image 1,3,1,100000008,510000002093,
255,,Segment,1,1,Image 1,2,1,100000009,510000002102,
255,,Segment,1,1,Image 1,2,1,100000009,510000002111,
255,,Segment,1,1,Image 1,1,1,100000009,510000002126,
255,,Segment,1,3,Image 1,1,1,100000009,510000002129,
255,,Segment,1,3,Image 1,2,1,100000009,510000002143,
255,,Segment,1,2,Image 1,2,1,100000009,510000002148,
227,,Segment,1,3,Image 1,2,1,100000009,510000002151,
255,,Segment,1,2,Image 1,2,1,100000009,510000002156,
255,,Segment,1,3,Image 1,3,1,100000009,510000002165,
255,,Segment,1,1,Image 1,2,1,100000009,510000002171,
255,,Segment,1,2,Image 1,2,1,100000009,510000002176,
255,,Segment,1,2,Image 1,3,1,100000009,510000002180,
200,,Segment,1,1,Image 1,1,1,100000010,510000002194,
