
Segment Intensity Mean Ch=1 Img=1
 ==================== 
Segment Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
243.772,,Segment,1,1,Image 1,1,1,100000000,510000000001,
182.621,,Segment,1,2,Image 1,2,1,100000000,510000000007,
252.922,,Segment,1,1,Image 1,1,1,100000000,510000000045,
244.409,,Segment,1,2,Image 1,1,1,100000000,510000000051,
201.043,,Segment,1,3,Image 1,1,1,100000000,510000000053,
160.907,,Segment,1,2,Image 1,2,1,100000000,510000000095,
245.629,,Segment,1,1,Image 1,1,1,100000000,510000000138,
196.195,,Segment,1,2,Image 1,1,1,100000000,510000000141,
179.955,,Segment,1,2,Image 1,2,1,100000000,510000000158,
206.078,,Segment,1,2,Image 1,2,1,100000000,510000000189,
181.371,,Segment,1,3,Image 1,2,1,100000000,510000000204,
143.707,,Segment,1,3,Image 1,3,1,100000000,510000000217,
197.512,,Segment,1,3,Image 1,1,1,100000000,510000000232,
187.928,,Segment,1,3,Image 1,2,1,100000000,510000000259,
160.674,,Segment,1,3,Image 1,2,1,100000000,510000000294,
156.462,,Segment,1,3,Image 1,2,1,100000000,510000000330,
151.811,,Segment,1,3,Image 1,1,1,100000000,510000000372,
169.557,,Segment,1,3,Image 1,2,1,100000000,510000000414,
188.547,,Segment,1,3,Image 1,1,1,100000001,510000000431,
219.184,,Segment,1,4,Image 1,1,1,100000001,510000000447,
247.36,,Segment,1,1,Image 1,1,1,100000001,510000000450,
159.048,,Segment,1,2,Image 1,1,1,100000001,510000000454,
119.419,,Segment,1,3,Image 1,1,1,100000001,510000000457,
236.427,,Segment,1,1,Image 1,1,1,100000001,510000000474,
126.036,,Segment,1,2,Image 1,1,1,100000001,510000000481,
136.58,,Segment,1,3,Image 1,2,1,100000001,510000000495,
212.683,,Segment,1,1,Image 1,1,1,100000001,510000000505,
165.398,,Segment,1,3,Image 1,2,1,100000001,510000000517,
174.654,,Segment,1,4,Image 1,2,1,100000001,510000000524,
162.256,,Segment,1,2,Image 1,2,1,100000001,510000000529,
227.825,,Segment,1,1,Image 1,1,1,100000001,510000000540,
181.184,,Segment,1,2,Image 1,1,1,100000001,510000000543,
229.549,,Segment,1,1,Image 1,1,1,100000001,510000000562,
170.785,,Segment,1,2,Image 1,2,1,100000001,510000000570,
213.285,,Segment,1,1,Image 1,1,1,100000001,510000000573,
156.821,,Segment,1,2,Image 1,2,1,100000001,510000000580,
141.232,,Segment,1,2,Image 1,2,1,100000001,510000000594,
168.02,,Segment,1,4,Image 1,3,1,100000001,510000000599,
150.541,,Segment,1,4,Image 1,2,1,100000001,510000000610,
130.891,,Segment,1,2,Image 1,1,1,100000002,510000000616,
113.326,,Segment,1,3,Image 1,1,1,100000002,510000000635,
129.901,,Segment,1,3,Image 1,2,1,100000002,510000000663,
212.403,,Segment,1,1,Image 1,1,1,100000002,510000000685,
196.032,,Segment,1,2,Image 1,1,1,100000002,510000000709,
181.722,,Segment,1,3,Image 1,1,1,100000002,510000000711,
192.337,,Segment,1,4,Image 1,1,1,100000002,510000000716,
173.647,,Segment,1,2,Image 1,2,1,100000002,510000000726,
142.405,,Segment,1,4,Image 1,2,1,100000002,510000000743,
147.857,,Segment,1,3,Image 1,2,1,100000002,510000000755,
239.424,,Segment,1,1,Image 1,1,1,100000002,510000000760,
152.546,,Segment,1,3,Image 1,1,1,100000002,510000000765,
151.991,,Segment,1,3,Image 1,2,1,100000002,510000000773,
137.32,,Segment,1,2,Image 1,2,1,100000002,510000000783,
150.094,,Segment,1,2,Image 1,2,1,100000002,510000000798,
193.472,,Segment,1,1,Image 1,1,1,100000002,510000000824,
129.745,,Segment,1,2,Image 1,2,1,100000002,510000000832,
143.358,,Segment,1,2,Image 1,1,1,100000003,510000000846,
239.53,,Segment,1,0,Image 1,1,1,100000003,510000000855,
131.416,,Segment,1,1,Image 1,1,1,100000003,510000000857,
226.732,,Segment,1,3,Image 1,2,1,100000003,510000000884,
156.97,,Segment,1,4,Image 1,2,1,100000003,510000000886,
219.433,,Segment,1,3,Image 1,3,1,100000003,510000000893,
131.976,,Segment,1,4,Image 1,3,1,100000003,510000000899,
142.526,,Segment,1,4,Image 1,4,1,100000003,510000000907,
254.114,,Segment,1,2,Image 1,3,1,100000003,510000000910,
122.98,,Segment,1,3,Image 1,3,1,100000003,510000000912,
144.095,,Segment,1,3,Image 1,4,1,100000003,510000000934,
138.932,,Segment,1,8,Image 1,4,1,100000003,510000000951,
142.492,,Segment,1,8,Image 1,5,1,100000003,510000000961,
146.353,,Segment,1,8,Image 1,5,1,100000003,510000000979,
162.116,,Segment,1,9,Image 1,5,1,100000003,510000000986,
125.171,,Segment,1,8,Image 1,6,1,100000003,510000000995,
148.6,,Segment,1,9,Image 1,6,1,100000003,510000000997,
162.502,,Segment,1,6,Image 1,5,1,100000003,510000001012,
142.76,,Segment,1,5,Image 1,4,1,100000003,510000001037,
177.303,,Segment,1,4,Image 1,4,1,100000003,510000001057,
100.503,,Segment,1,5,Image 1,5,1,100000003,510000001060,
187.817,,Segment,1,6,Image 1,5,1,100000003,510000001062,
142.632,,Segment,1,9,Image 1,7,1,100000003,510000001072,
93.8107,,Segment,1,9,Image 1,6,1,100000003,510000001077,
213.908,,Segment,1,7,Image 1,5,1,100000003,510000001085,
193.209,,Segment,1,2,Image 1,3,1,100000003,510000001099,
125.172,,Segment,1,2,Image 1,2,1,100000003,510000001118,
142.843,,Segment,1,1,Image 1,2,1,100000003,510000001127,
125.849,,Segment,1,4,Image 1,3,1,100000003,510000001138,
132.595,,Segment,1,1,Image 1,2,1,100000003,510000001158,
153.609,,Segment,1,1,Image 1,1,1,100000004,510000001175,
161.03,,Segment,1,2,Image 1,2,1,100000004,510000001196,
168.014,,Segment,1,3,Image 1,2,1,100000004,510000001204,
133.865,,Segment,1,3,Image 1,3,1,100000004,510000001211,
149.538,,Segment,1,1,Image 1,2,1,100000004,510000001218,
143.212,,Segment,1,1,Image 1,1,1,100000004,510000001242,
159.253,,Segment,1,2,Image 1,1,1,100000004,510000001244,
168.139,,Segment,1,2,Image 1,3,1,100000004,510000001259,
237.474,,Segment,1,2,Image 1,3,1,100000004,510000001270,
148.989,,Segment,1,3,Image 1,3,1,100000004,510000001272,
141.352,,Segment,1,4,Image 1,3,1,100000004,510000001275,
