
Segment Intensity Median Ch=3 Img=1
 ==================== 
Segment Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
31.125,,Segment,3,1,Image 1,1,1,100000000,510000000001,
149.125,,Segment,3,2,Image 1,2,1,100000000,510000000007,
30.125,,Segment,3,1,Image 1,1,1,100000000,510000000045,
67.125,,Segment,3,2,Image 1,1,1,100000000,510000000051,
149.625,,Segment,3,3,Image 1,1,1,100000000,510000000053,
185.125,,Segment,3,2,Image 1,2,1,100000000,510000000095,
28.125,,Segment,3,1,Image 1,1,1,100000000,510000000138,
135.125,,Segment,3,2,Image 1,1,1,100000000,510000000141,
147.125,,Segment,3,2,Image 1,2,1,100000000,510000000158,
122.125,,Segment,3,2,Image 1,2,1,100000000,510000000189,
162.125,,Segment,3,3,Image 1,2,1,100000000,510000000204,
175.125,,Segment,3,3,Image 1,3,1,100000000,510000000217,
156.125,,Segment,3,3,Image 1,1,1,100000000,510000000232,
151.125,,Segment,3,3,Image 1,2,1,100000000,510000000259,
170.125,,Segment,3,3,Image 1,2,1,100000000,510000000294,
178.125,,Segment,3,3,Image 1,2,1,100000000,510000000330,
170.125,,Segment,3,3,Image 1,1,1,100000000,510000000372,
143.125,,Segment,3,3,Image 1,2,1,100000000,510000000414,
147.125,,Segment,3,3,Image 1,1,1,100000001,510000000431,
128.562,,Segment,3,4,Image 1,1,1,100000001,510000000447,
34.125,,Segment,3,1,Image 1,1,1,100000001,510000000450,
177.125,,Segment,3,2,Image 1,1,1,100000001,510000000454,
196.125,,Segment,3,3,Image 1,1,1,100000001,510000000457,
41.125,,Segment,3,1,Image 1,1,1,100000001,510000000474,
183.125,,Segment,3,2,Image 1,1,1,100000001,510000000481,
188.125,,Segment,3,3,Image 1,2,1,100000001,510000000495,
42.125,,Segment,3,1,Image 1,1,1,100000001,510000000505,
142.125,,Segment,3,3,Image 1,2,1,100000001,510000000517,
158.125,,Segment,3,4,Image 1,2,1,100000001,510000000524,
153.125,,Segment,3,2,Image 1,2,1,100000001,510000000529,
40.125,,Segment,3,1,Image 1,1,1,100000001,510000000540,
156.125,,Segment,3,2,Image 1,1,1,100000001,510000000543,
39.125,,Segment,3,1,Image 1,1,1,100000001,510000000562,
172.125,,Segment,3,2,Image 1,2,1,100000001,510000000570,
42.125,,Segment,3,1,Image 1,1,1,100000001,510000000573,
167.125,,Segment,3,2,Image 1,2,1,100000001,510000000580,
180.125,,Segment,3,2,Image 1,2,1,100000001,510000000594,
157.125,,Segment,3,4,Image 1,3,1,100000001,510000000599,
172.125,,Segment,3,4,Image 1,2,1,100000001,510000000610,
176.125,,Segment,3,2,Image 1,1,1,100000002,510000000616,
191.125,,Segment,3,3,Image 1,1,1,100000002,510000000635,
186.125,,Segment,3,3,Image 1,2,1,100000002,510000000663,
116.125,,Segment,3,1,Image 1,1,1,100000002,510000000685,
124.125,,Segment,3,2,Image 1,1,1,100000002,510000000709,
143.125,,Segment,3,3,Image 1,1,1,100000002,510000000711,
153.125,,Segment,3,4,Image 1,1,1,100000002,510000000716,
150.125,,Segment,3,2,Image 1,2,1,100000002,510000000726,
169.125,,Segment,3,4,Image 1,2,1,100000002,510000000743,
172.125,,Segment,3,3,Image 1,2,1,100000002,510000000755,
60.125,,Segment,3,1,Image 1,1,1,100000002,510000000760,
169.125,,Segment,3,3,Image 1,1,1,100000002,510000000765,
171.125,,Segment,3,3,Image 1,2,1,100000002,510000000773,
179.125,,Segment,3,2,Image 1,2,1,100000002,510000000783,
171.125,,Segment,3,2,Image 1,2,1,100000002,510000000798,
73.125,,Segment,3,1,Image 1,1,1,100000002,510000000824,
177.125,,Segment,3,2,Image 1,2,1,100000002,510000000832,
165.125,,Segment,3,2,Image 1,1,1,100000003,510000000846,
49.125,,Segment,3,0,Image 1,1,1,100000003,510000000855,
176.125,,Segment,3,1,Image 1,1,1,100000003,510000000857,
84.125,,Segment,3,3,Image 1,2,1,100000003,510000000884,
154.125,,Segment,3,4,Image 1,2,1,100000003,510000000886,
99.125,,Segment,3,3,Image 1,3,1,100000003,510000000893,
175.125,,Segment,3,4,Image 1,3,1,100000003,510000000899,
167.125,,Segment,3,4,Image 1,4,1,100000003,510000000907,
34.0625,,Segment,3,2,Image 1,3,1,100000003,510000000910,
184.125,,Segment,3,3,Image 1,3,1,100000003,510000000912,
170.125,,Segment,3,3,Image 1,4,1,100000003,510000000934,
