
Segment Intensity Min Ch=1 Img=1
 ==================== 
Segment Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
48,,Segment,1,1,Image 1,1,1,100000000,510000000001,
20,,Segment,1,2,Image 1,2,1,100000000,510000000007,
90,,Segment,1,1,Image 1,1,1,100000000,510000000045,
76,,Segment,1,2,Image 1,1,1,100000000,510000000051,
34,,Segment,1,3,Image 1,1,1,100000000,510000000053,
0,,Segment,1,2,Image 1,2,1,100000000,510000000095,
0,,Segment,1,1,Image 1,1,1,100000000,510000000138,
0,,Segment,1,2,Image 1,1,1,100000000,510000000141,
0,,Segment,1,2,Image 1,2,1,100000000,510000000158,
58,,Segment,1,2,Image 1,2,1,100000000,510000000189,
90,,Segment,1,3,Image 1,2,1,100000000,510000000204,
65,,Segment,1,3,Image 1,3,1,100000000,510000000217,
16,,Segment,1,3,Image 1,1,1,100000000,510000000232,
22,,Segment,1,3,Image 1,2,1,100000000,510000000259,
0,,Segment,1,3,Image 1,2,1,100000000,510000000294,
22,,Segment,1,3,Image 1,2,1,100000000,510000000330,
24,,Segment,1,3,Image 1,1,1,100000000,510000000372,
60,,Segment,1,3,Image 1,2,1,100000000,510000000414,
59,,Segment,1,3,Image 1,1,1,100000001,510000000431,
143,,Segment,1,4,Image 1,1,1,100000001,510000000447,
4,,Segment,1,1,Image 1,1,1,100000001,510000000450,
12,,Segment,1,2,Image 1,1,1,100000001,510000000454,
12,,Segment,1,3,Image 1,1,1,100000001,510000000457,
22,,Segment,1,1,Image 1,1,1,100000001,510000000474,
34,,Segment,1,2,Image 1,1,1,100000001,510000000481,
12,,Segment,1,3,Image 1,2,1,100000001,510000000495,
5,,Segment,1,1,Image 1,1,1,100000001,510000000505,
0,,Segment,1,3,Image 1,2,1,100000001,510000000517,
48,,Segment,1,4,Image 1,2,1,100000001,510000000524,
21,,Segment,1,2,Image 1,2,1,100000001,510000000529,
0,,Segment,1,1,Image 1,1,1,100000001,510000000540,
37,,Segment,1,2,Image 1,1,1,100000001,510000000543,
0,,Segment,1,1,Image 1,1,1,100000001,510000000562,
14,,Segment,1,2,Image 1,2,1,100000001,510000000570,
0,,Segment,1,1,Image 1,1,1,100000001,510000000573,
56,,Segment,1,2,Image 1,2,1,100000001,510000000580,
61,,Segment,1,2,Image 1,2,1,100000001,510000000594,
43,,Segment,1,4,Image 1,3,1,100000001,510000000599,
25,,Segment,1,4,Image 1,2,1,100000001,510000000610,
30,,Segment,1,2,Image 1,1,1,100000002,510000000616,
27,,Segment,1,3,Image 1,1,1,100000002,510000000635,
32,,Segment,1,3,Image 1,2,1,100000002,510000000663,
37,,Segment,1,1,Image 1,1,1,100000002,510000000685,
0,,Segment,1,2,Image 1,1,1,100000002,510000000709,
41,,Segment,1,3,Image 1,1,1,100000002,510000000711,
36,,Segment,1,4,Image 1,1,1,100000002,510000000716,
0,,Segment,1,2,Image 1,2,1,100000002,510000000726,
2,,Segment,1,4,Image 1,2,1,100000002,510000000743,
0,,Segment,1,3,Image 1,2,1,100000002,510000000755,
9,,Segment,1,1,Image 1,1,1,100000002,510000000760,
15,,Segment,1,3,Image 1,1,1,100000002,510000000765,
19,,Segment,1,3,Image 1,2,1,100000002,510000000773,
42,,Segment,1,2,Image 1,2,1,100000002,510000000783,
17,,Segment,1,2,Image 1,2,1,100000002,510000000798,
0,,Segment,1,1,Image 1,1,1,100000002,510000000824,
0,,Segment,1,2,Image 1,2,1,100000002,510000000832,
0,,Segment,1,2,Image 1,1,1,100000003,510000000846,
0,,Segment,1,0,Image 1,1,1,100000003,510000000855,
15,,Segment,1,1,Image 1,1,1,100000003,510000000857,
