
Segment Intensity Sum Ch=1 Img=1
 ==================== 
Segment Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
842720,,Segment,1,1,Image 1,1,1,100000000,510000000001,
704187,,Segment,1,2,Image 1,2,1,100000000,510000000007,
777734,,Segment,1,1,Image 1,1,1,100000000,510000000045,
85543,,Segment,1,2,Image 1,1,1,100000000,510000000051,
812614,,Segment,1,3,Image 1,1,1,100000000,510000000053,
542577,,Segment,1,2,Image 1,2,1,100000000,510000000095,
660742,,Segment,1,1,Image 1,1,1,100000000,510000000138,
344323,,Segment,1,2,Image 1,1,1,100000000,510000000141,
407418,,Segment,1,2,Image 1,2,1,100000000,510000000158,
364139,,Segment,1,2,Image 1,2,1,100000000,510000000189,
177018,,Segment,1,3,Image 1,2,1,100000000,510000000204,
144282,,Segment,1,3,Image 1,3,1,100000000,510000000217,
438675,,Segment,1,3,Image 1,1,1,100000000,510000000232,
497258,,Segment,1,3,Image 1,2,1,100000000,510000000259,
425948,,Segment,1,3,Image 1,2,1,100000000,510000000294,
489413,,Segment,1,3,Image 1,2,1,100000000,510000000330,
497637,,Segment,1,3,Image 1,1,1,100000000,510000000372,
196347,,Segment,1,3,Image 1,2,1,100000000,510000000414,
849029,,Segment,1,3,Image 1,1,1,100000001,510000000431,
140716,,Segment,1,4,Image 1,1,1,100000001,510000000447,
1.3679e+06,,Segment,1,1,Image 1,1,1,100000001,510000000450,
121354,,Segment,1,2,Image 1,1,1,100000001,510000000454,
285054,,Segment,1,3,Image 1,1,1,100000001,510000000457,
1.49138e+06,,Segment,1,1,Image 1,1,1,100000001,510000000474,
241358,,Segment,1,2,Image 1,1,1,100000001,510000000481,
162667,,Segment,1,3,Image 1,2,1,100000001,510000000495,
1.18656e+06,,Segment,1,1,Image 1,1,1,100000001,510000000505,
231227,,Segment,1,3,Image 1,2,1,100000001,510000000517,
80341,,Segment,1,4,Image 1,2,1,100000001,510000000524,
324349,,Segment,1,2,Image 1,2,1,100000001,510000000529,
1.28448e+06,,Segment,1,1,Image 1,1,1,100000001,510000000540,
499888,,Segment,1,2,Image 1,1,1,100000001,510000000543,
1.28708e+06,,Segment,1,1,Image 1,1,1,100000001,510000000562,
135603,,Segment,1,2,Image 1,2,1,100000001,510000000570,
1.25966e+06,,Segment,1,1,Image 1,1,1,100000001,510000000573,
279612,,Segment,1,2,Image 1,2,1,100000001,510000000580,
106348,,Segment,1,2,Image 1,2,1,100000001,510000000594,
160795,,Segment,1,4,Image 1,3,1,100000001,510000000599,
123444,,Segment,1,4,Image 1,2,1,100000001,510000000610,
977494,,Segment,1,2,Image 1,1,1,100000002,510000000616,
704095,,Segment,1,3,Image 1,1,1,100000002,510000000635,
629632,,Segment,1,3,Image 1,2,1,100000002,510000000663,
2.72598e+06,,Segment,1,1,Image 1,1,1,100000002,510000000685,
260135,,Segment,1,2,Image 1,1,1,100000002,510000000709,
367260,,Segment,1,3,Image 1,1,1,100000002,510000000711,
481228,,Segment,1,4,Image 1,1,1,100000002,510000000716,
804334,,Segment,1,2,Image 1,2,1,100000002,510000000726,
307025,,Segment,1,4,Image 1,2,1,100000002,510000000743,
255941,,Segment,1,3,Image 1,2,1,100000002,510000000755,
1.6798e+06,,Segment,1,1,Image 1,1,1,100000002,510000000760,
332398,,Segment,1,3,Image 1,1,1,100000002,510000000765,
337421,,Segment,1,3,Image 1,2,1,100000002,510000000773,
548043,,Segment,1,2,Image 1,2,1,100000002,510000000783,
896510,,Segment,1,2,Image 1,2,1,100000002,510000000798,
1.66851e+06,,Segment,1,1,Image 1,1,1,100000002,510000000824,
