
Segment Number of Voxel Ch=2 Img=1
 ==================== 
Segment Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
3457,,Segment,2,1,Image 1,1,1,100000000,510000000001,
3856,,Segment,2,2,Image 1,2,1,100000000,510000000007,
3075,,Segment,2,1,Image 1,1,1,100000000,510000000045,
350,,Segment,2,2,Image 1,1,1,100000000,510000000051,
4042,,Segment,2,3,Image 1,1,1,100000000,510000000053,
3372,,Segment,2,2,Image 1,2,1,100000000,510000000095,
2690,,Segment,2,1,Image 1,1,1,100000000,510000000138,
1755,,Segment,2,2,Image 1,1,1,100000000,510000000141,
2264,,Segment,2,2,Image 1,2,1,100000000,510000000158,
1767,,Segment,2,2,Image 1,2,1,100000000,510000000189,
976,,Segment,2,3,Image 1,2,1,100000000,510000000204,
1004,,Segment,2,3,Image 1,3,1,100000000,510000000217,
2221,,Segment,2,3,Image 1,1,1,100000000,510000000232,
2646,,Segment,2,3,Image 1,2,1,100000000,510000000259,
2651,,Segment,2,3,Image 1,2,1,100000000,510000000294,
3128,,Segment,2,3,Image 1,2,1,100000000,510000000330,
3278,,Segment,2,3,Image 1,1,1,100000000,510000000372,
1158,,Segment,2,3,Image 1,2,1,100000000,510000000414,
4503,,Segment,2,3,Image 1,1,1,100000001,510000000431,
642,,Segment,2,4,Image 1,1,1,100000001,510000000447,
5530,,Segment,2,1,Image 1,1,1,100000001,510000000450,
763,,Segment,2,2,Image 1,1,1,100000001,510000000454,
2387,,Segment,2,3,Image 1,1,1,100000001,510000000457,
6308,,Segment,2,1,Image 1,1,1,100000001,510000000474,
1915,,Segment,2,2,Image 1,1,1,100000001,510000000481,
1191,,Segment,2,3,Image 1,2,1,100000001,510000000495,
5579,,Segment,2,1,Image 1,1,1,100000001,510000000505,
1398,,Segment,2,3,Image 1,2,1,100000001,510000000517,
460,,Segment,2,4,Image 1,2,1,100000001,510000000524,
1999,,Segment,2,2,Image 1,2,1,100000001,510000000529,
5638,,Segment,2,1,Image 1,1,1,100000001,510000000540,
2759,,Segment,2,2,Image 1,1,1,100000001,510000000543,
5607,,Segment,2,1,Image 1,1,1,100000001,510000000562,
794,,Segment,2,2,Image 1,2,1,100000001,510000000570,
5906,,Segment,2,1,Image 1,1,1,100000001,510000000573,
1783,,Segment,2,2,Image 1,2,1,100000001,510000000580,
753,,Segment,2,2,Image 1,2,1,100000001,510000000594,
957,,Segment,2,4,Image 1,3,1,100000001,510000000599,
820,,Segment,2,4,Image 1,2,1,100000001,510000000610,
7468,,Segment,2,2,Image 1,1,1,100000002,510000000616,
6213,,Segment,2,3,Image 1,1,1,100000002,510000000635,
4847,,Segment,2,3,Image 1,2,1,100000002,510000000663,
12834,,Segment,2,1,Image 1,1,1,100000002,510000000685,
1327,,Segment,2,2,Image 1,1,1,100000002,510000000709,
2021,,Segment,2,3,Image 1,1,1,100000002,510000000711,
2502,,Segment,2,4,Image 1,1,1,100000002,510000000716,
4632,,Segment,2,2,Image 1,2,1,100000002,510000000726,
2156,,Segment,2,4,Image 1,2,1,100000002,510000000743,
1731,,Segment,2,3,Image 1,2,1,100000002,510000000755,
7016,,Segment,2,1,Image 1,1,1,100000002,510000000760,
2179,,Segment,2,3,Image 1,1,1,100000002,510000000765,
2220,,Segment,2,3,Image 1,2,1,100000002,510000000773,
3991,,Segment,2,2,Image 1,2,1,100000002,510000000783,
5973,,Segment,2,2,Image 1,2,1,100000002,510000000798,
8624,,Segment,2,1,Image 1,1,1,100000002,510000000824,
3223,,Segment,2,2,Image 1,2,1,100000002,510000000832,
10525,,Segment,2,2,Image 1,1,1,100000003,510000000846,
12241,,Segment,2,0,Image 1,1,1,100000003,510000000855,
22685,,Segment,2,1,Image 1,1,1,100000003,510000000857,
2618,,Segment,2,3,Image 1,2,1,100000003,510000000884,
7079,,Segment,2,4,Image 1,2,1,100000003,510000000886,
7603,,Segment,2,3,Image 1,3,1,100000003,510000000893,
8277,,Segment,2,4,Image 1,3,1,100000003,510000000899,
4582,,Segment,2,4,Image 1,4,1,100000003,510000000907,
2873,,Segment,2,2,Image 1,3,1,100000003,510000000910,
13482,,Segment,2,3,Image 1,3,1,100000003,510000000912,
