
Segment Position
 ==================== 
Segment Position X,Segment Position Y,Segment Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
109792,5753.4,20.4494,µm,Segment,Segment Position,0,1,1,100000003,510000000855,
109295,6291.66,20.2498,µm,Segment,Segment Position,0,1,1,100000008,510000001968,
109794,5755.84,21,µm,Segment,Segment Position,0,1,1,100000003,510000003317,
110042,6095.98,21,µm,Segment,Segment Position,0,1,1,100000004,510000003325,
110042,6095.98,21,µm,Segment,Segment Position,0,1,1,100000004,510000003327,
109274,6297.94,21,µm,Segment,Segment Position,0,1,1,100000008,510000003334,
110198,6154.49,21,µm,Segment,Segment Position,0,1,1,100000009,510000003336,
109501,6274.15,-26.2715,µm,Segment,Segment Position,0,1,1,100000010,510000003338,
109501,6274.15,-26.2715,µm,Segment,Segment Position,0,1,1,100000010,510000003339,
109628,6018.2,21,µm,Segment,Segment Position,0,1,1,100000011,510000003340,
109628,6018.2,21,µm,Segment,Segment Position,0,1,1,100000011,510000003347,
109845,5401.36,9.20724,µm,Segment,Segment Position,1,1,1,100000000,510000000001,
109859,5401.66,9.00848,µm,Segment,Segment Position,1,1,1,100000000,510000000045,
109856,5393.11,8.92175,µm,Segment,Segment Position,1,1,1,100000000,510000000138,
110182,5713.07,3.17366,µm,Segment,Segment Position,1,1,1,100000001,510000000450,
110173,5717.43,7.39168,µm,Segment,Segment Position,1,1,1,100000001,510000000474,
110172,5696.21,13.3296,µm,Segment,Segment Position,1,1,1,100000001,510000000505,
110197,5714.48,5.12395,µm,Segment,Segment Position,1,1,1,100000001,510000000540,
110200,5724.11,1.16843,µm,Segment,Segment Position,1,1,1,100000001,510000000562,
110208,5700.85,3.32595,µm,Segment,Segment Position,1,1,1,100000001,510000000573,
109369,5125.6,16.8377,µm,Segment,Segment Position,1,1,1,100000002,510000000685,
109376,5188.75,7.13724,µm,Segment,Segment Position,1,1,1,100000002,510000000760,
109381,5160.64,3.35618,µm,Segment,Segment Position,1,1,1,100000002,510000000824,
109749,5708.23,11.1814,µm,Segment,Segment Position,1,1,1,100000003,510000000857,
110009,6135.69,11.7356,µm,Segment,Segment Position,1,1,1,100000004,510000001175,
110055,6088.16,19.3606,µm,Segment,Segment Position,1,1,1,100000004,510000001242,
110490,5790.02,3.74996,µm,Segment,Segment Position,1,1,1,100000005,510000001337,
110427,5757.84,12.9071,µm,Segment,Segment Position,1,1,1,100000005,510000001375,
110399,5849.88,-1.05399,µm,Segment,Segment Position,1,1,1,100000005,510000001419,
110391,5893.61,9.92233,µm,Segment,Segment Position,1,1,1,100000005,510000001434,
110426,5825.42,5.84493,µm,Segment,Segment Position,1,1,1,100000005,510000001466,
109423,5574.75,18.8812,µm,Segment,Segment Position,1,1,1,100000006,510000001759,
109093,5699.38,7.86567,µm,Segment,Segment Position,1,1,1,100000007,510000001834,
109112,5651.66,12.688,µm,Segment,Segment Position,1,1,1,100000007,510000001885,
109081,5651.08,11.3733,µm,Segment,Segment Position,1,1,1,100000007,510000001923,
109058,5688.29,11.7125,µm,Segment,Segment Position,1,1,1,100000007,510000001931,
110196,6163.71,17.757,µm,Segment,Segment Position,1,1,1,100000009,510000002126,
109511,6275.87,-22.5791,µm,Segment,Segment Position,1,1,1,100000010,510000002194,
109497,6245.37,-8.34352,µm,Segment,Segment Position,1,1,1,100000010,510000002342,
109600,5986.96,18.8599,µm,Segment,Segment Position,1,1,1,100000011,510000002630,
110554,6056.83,18.9713,µm,Segment,Segment Position,1,1,1,100000012,510000002813,
110051,5460.4,12.1084,µm,Segment,Segment Position,1,1,1,100000013,510000003143,
110028,5452.64,19.5246,µm,Segment,Segment Position,1,1,1,100000013,510000003156,
110030,5442.62,20.4904,µm,Segment,Segment Position,1,1,1,100000013,510000003211,
109853,5396.04,9,µm,Segment,Segment Position,1,1,1,100000000,510000003310,
110191,5708.96,5,µm,Segment,Segment Position,1,1,1,100000001,510000003312,
109376,5180.38,7,µm,Segment,Segment Position,1,1,1,100000002,510000003314,
109376,5180.38,7,µm,Segment,Segment Position,1,1,1,100000002,510000003315,
109804,5750.34,19.3107,µm,Segment,Segment Position,1,1,1,100000003,510000003318,
110425,5822.27,5,µm,Segment,Segment Position,1,1,1,100000005,510000003328,
109452,5581.56,21,µm,Segment,Segment Position,1,1,1,100000006,510000003329,
109452,5581.56,21,µm,Segment,Segment Position,1,1,1,100000006,510000003331,
109099,5667.09,9,µm,Segment,Segment Position,1,1,1,100000007,510000003332,
109099,5667.09,9,µm,Segment,Segment Position,1,1,1,100000007,510000003333,
109274,6302.58,17.4698,µm,Segment,Segment Position,1,1,1,100000008,510000003335,
109631,6013.2,18.4689,µm,Segment,Segment Position,1,1,1,100000011,510000003341,
110536,6053.56,19.2197,µm,Segment,Segment Position,1,1,1,100000012,510000003348,
110536,6053.56,19.2197,µm,Segment,Segment Position,1,1,1,100000012,510000003349,
110034,5442.77,21,µm,Segment,Segment Position,1,1,1,100000013,510000003350,
109783,5732.13,10.1449,µm,Segment,Segment Position,1,2,1,100000003,510000001127,
109798,5717.39,13.6219,µm,Segment,Segment Position,1,2,1,100000003,510000001158,
110107,6074.43,15.4904,µm,Segment,Segment Position,1,2,1,100000004,510000001218,
109254,6333.6,16.9985,µm,Segment,Segment Position,1,2,1,100000008,510000001997,
109263,6283.7,18.0815,µm,Segment,Segment Position,1,2,1,100000008,510000002027,
110189,6205.59,14.293,µm,Segment,Segment Position,1,2,1,100000009,510000002102,
110222,6186.17,2.26495,µm,Segment,Segment Position,1,2,1,100000009,510000002111,
110171,6182.41,17.8857,µm,Segment,Segment Position,1,2,1,100000009,510000002171,
109508,6281.23,-22.504,µm,Segment,Segment Position,1,2,1,100000010,510000002246,
109537,6223.15,-16.1484,µm,Segment,Segment Position,1,2,1,100000010,510000002368,
109489,6264.02,-21.707,µm,Segment,Segment Position,1,2,1,100000010,510000002396,
109480,6289.78,-14.3935,µm,Segment,Segment Position,1,2,1,100000010,510000002431,
109625,5981.46,10.1626,µm,Segment,Segment Position,1,2,1,100000011,510000002643,
109804,5750.34,19.3107,µm,Segment,Segment Position,1,2,1,100000003,510000003319,
110036,6102.67,17.5007,µm,Segment,Segment Position,1,2,1,100000004,510000003326,
109631,6013.2,18.4689,µm,Segment,Segment Position,1,2,1,100000011,510000003342,
109631,6013.2,18.4689,µm,Segment,Segment Position,1,2,1,100000011,510000003345,
109869,5410.01,8.91448,µm,Segment,Segment Position,2,1,1,100000000,510000000051,
109871,5370.14,10.157,µm,Segment,Segment Position,2,1,1,100000000,510000000141,
