
Segment Position X
 ==================== 
Segment Position X,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
109845,µm,Segment,Segment Position,1,1,1,100000000,510000000001,
109815,µm,Segment,Segment Position,2,2,1,100000000,510000000007,
109859,µm,Segment,Segment Position,1,1,1,100000000,510000000045,
109869,µm,Segment,Segment Position,2,1,1,100000000,510000000051,
109919,µm,Segment,Segment Position,3,1,1,100000000,510000000053,
109901,µm,Segment,Segment Position,2,2,1,100000000,510000000095,
109856,µm,Segment,Segment Position,1,1,1,100000000,510000000138,
109871,µm,Segment,Segment Position,2,1,1,100000000,510000000141,
109875,µm,Segment,Segment Position,2,2,1,100000000,510000000158,
109853,µm,Segment,Segment Position,2,2,1,100000000,510000000189,
109848,µm,Segment,Segment Position,3,2,1,100000000,510000000204,
109859,µm,Segment,Segment Position,3,3,1,100000000,510000000217,
109801,µm,Segment,Segment Position,3,1,1,100000000,510000000232,
109797,µm,Segment,Segment Position,3,2,1,100000000,510000000259,
109865,µm,Segment,Segment Position,3,2,1,100000000,510000000294,
109897,µm,Segment,Segment Position,3,2,1,100000000,510000000330,
109830,µm,Segment,Segment Position,3,1,1,100000000,510000000372,
109836,µm,Segment,Segment Position,3,2,1,100000000,510000000414,
110218,µm,Segment,Segment Position,3,1,1,100000001,510000000431,
110248,µm,Segment,Segment Position,4,1,1,100000001,510000000447,
110182,µm,Segment,Segment Position,1,1,1,100000001,510000000450,
110163,µm,Segment,Segment Position,2,1,1,100000001,510000000454,
110127,µm,Segment,Segment Position,3,1,1,100000001,510000000457,
110173,µm,Segment,Segment Position,1,1,1,100000001,510000000474,
110125,µm,Segment,Segment Position,2,1,1,100000001,510000000481,
110129,µm,Segment,Segment Position,3,2,1,100000001,510000000495,
110172,µm,Segment,Segment Position,1,1,1,100000001,510000000505,
110199,µm,Segment,Segment Position,3,2,1,100000001,510000000517,
110211,µm,Segment,Segment Position,4,2,1,100000001,510000000524,
110223,µm,Segment,Segment Position,2,2,1,100000001,510000000529,
110197,µm,Segment,Segment Position,1,1,1,100000001,510000000540,
110238,µm,Segment,Segment Position,2,1,1,100000001,510000000543,
110200,µm,Segment,Segment Position,1,1,1,100000001,510000000562,
110159,µm,Segment,Segment Position,2,2,1,100000001,510000000570,
110208,µm,Segment,Segment Position,1,1,1,100000001,510000000573,
110208,µm,Segment,Segment Position,2,2,1,100000001,510000000580,
110157,µm,Segment,Segment Position,2,2,1,100000001,510000000594,
110210,µm,Segment,Segment Position,4,3,1,100000001,510000000599,
110256,µm,Segment,Segment Position,4,2,1,100000001,510000000610,
109426,µm,Segment,Segment Position,2,1,1,100000002,510000000616,
109523,µm,Segment,Segment Position,3,1,1,100000002,510000000635,
109519,µm,Segment,Segment Position,3,2,1,100000002,510000000663,
109369,µm,Segment,Segment Position,1,1,1,100000002,510000000685,
109366,µm,Segment,Segment Position,2,1,1,100000002,510000000709,
109351,µm,Segment,Segment Position,3,1,1,100000002,510000000711,
109327,µm,Segment,Segment Position,4,1,1,100000002,510000000716,
109340,µm,Segment,Segment Position,2,2,1,100000002,510000000726,
109316,µm,Segment,Segment Position,4,2,1,100000002,510000000743,
109347,µm,Segment,Segment Position,3,2,1,100000002,510000000755,
109376,µm,Segment,Segment Position,1,1,1,100000002,510000000760,
109382,µm,Segment,Segment Position,3,1,1,100000002,510000000765,
109384,µm,Segment,Segment Position,3,2,1,100000002,510000000773,
109413,µm,Segment,Segment Position,2,2,1,100000002,510000000783,
109431,µm,Segment,Segment Position,2,2,1,100000002,510000000798,
109381,µm,Segment,Segment Position,1,1,1,100000002,510000000824,
109402,µm,Segment,Segment Position,2,2,1,100000002,510000000832,
109826,µm,Segment,Segment Position,2,1,1,100000003,510000000846,
109792,µm,Segment,Segment Position,0,1,1,100000003,510000000855,
109749,µm,Segment,Segment Position,1,1,1,100000003,510000000857,
109788,µm,Segment,Segment Position,3,2,1,100000003,510000000884,
109775,µm,Segment,Segment Position,4,2,1,100000003,510000000886,
109790,µm,Segment,Segment Position,3,3,1,100000003,510000000893,
109785,µm,Segment,Segment Position,4,3,1,100000003,510000000899,
109795,µm,Segment,Segment Position,4,4,1,100000003,510000000907,
109795,µm,Segment,Segment Position,2,3,1,100000003,510000000910,
109815,µm,Segment,Segment Position,3,3,1,100000003,510000000912,
109824,µm,Segment,Segment Position,3,4,1,100000003,510000000934,
109845,µm,Segment,Segment Position,8,4,1,100000003,510000000951,
109837,µm,Segment,Segment Position,8,5,1,100000003,510000000961,
109821,µm,Segment,Segment Position,8,5,1,100000003,510000000979,
109829,µm,Segment,Segment Position,9,5,1,100000003,510000000986,
109815,µm,Segment,Segment Position,8,6,1,100000003,510000000995,
109780,µm,Segment,Segment Position,9,6,1,100000003,510000000997,
109780,µm,Segment,Segment Position,6,5,1,100000003,510000001012,
109817,µm,Segment,Segment Position,5,4,1,100000003,510000001037,
109831,µm,Segment,Segment Position,4,4,1,100000003,510000001057,
109820,µm,Segment,Segment Position,5,5,1,100000003,510000001060,
109788,µm,Segment,Segment Position,6,5,1,100000003,510000001062,
