
Segment Position Y
 ==================== 
Segment Position Y,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
5401.36,µm,Segment,Segment Position,1,1,1,100000000,510000000001,
5451.52,µm,Segment,Segment Position,2,2,1,100000000,510000000007,
5401.66,µm,Segment,Segment Position,1,1,1,100000000,510000000045,
5410.01,µm,Segment,Segment Position,2,1,1,100000000,510000000051,
5408.46,µm,Segment,Segment Position,3,1,1,100000000,510000000053,
5368.74,µm,Segment,Segment Position,2,2,1,100000000,510000000095,
5393.11,µm,Segment,Segment Position,1,1,1,100000000,510000000138,
5370.14,µm,Segment,Segment Position,2,1,1,100000000,510000000141,
5358.48,µm,Segment,Segment Position,2,2,1,100000000,510000000158,
5375.82,µm,Segment,Segment Position,2,2,1,100000000,510000000189,
5340.82,µm,Segment,Segment Position,3,2,1,100000000,510000000204,
5345.09,µm,Segment,Segment Position,3,3,1,100000000,510000000217,
5394.52,µm,Segment,Segment Position,3,1,1,100000000,510000000232,
5433.41,µm,Segment,Segment Position,3,2,1,100000000,510000000259,
5459.9,µm,Segment,Segment Position,3,2,1,100000000,510000000294,
5462.46,µm,Segment,Segment Position,3,2,1,100000000,510000000330,
5346.75,µm,Segment,Segment Position,3,1,1,100000000,510000000372,
5388.53,µm,Segment,Segment Position,3,2,1,100000000,510000000414,
5677.53,µm,Segment,Segment Position,3,1,1,100000001,510000000431,
5639.3,µm,Segment,Segment Position,4,1,1,100000001,510000000447,
5713.07,µm,Segment,Segment Position,1,1,1,100000001,510000000450,
5722.63,µm,Segment,Segment Position,2,1,1,100000001,510000000454,
5756.71,µm,Segment,Segment Position,3,1,1,100000001,510000000457,
5717.43,µm,Segment,Segment Position,1,1,1,100000001,510000000474,
5733.18,µm,Segment,Segment Position,2,1,1,100000001,510000000481,
5736.57,µm,Segment,Segment Position,3,2,1,100000001,510000000495,
5696.21,µm,Segment,Segment Position,1,1,1,100000001,510000000505,
5681.44,µm,Segment,Segment Position,3,2,1,100000001,510000000517,
5656.49,µm,Segment,Segment Position,4,2,1,100000001,510000000524,
5701.49,µm,Segment,Segment Position,2,2,1,100000001,510000000529,
5714.48,µm,Segment,Segment Position,1,1,1,100000001,510000000540,
5750.25,µm,Segment,Segment Position,2,1,1,100000001,510000000543,
5724.11,µm,Segment,Segment Position,1,1,1,100000001,510000000562,
5717.9,µm,Segment,Segment Position,2,2,1,100000001,510000000570,
5700.85,µm,Segment,Segment Position,1,1,1,100000001,510000000573,
5759.05,µm,Segment,Segment Position,2,2,1,100000001,510000000580,
5737.91,µm,Segment,Segment Position,2,2,1,100000001,510000000594,
5635.6,µm,Segment,Segment Position,4,3,1,100000001,510000000599,
5649.39,µm,Segment,Segment Position,4,2,1,100000001,510000000610,
5164.7,µm,Segment,Segment Position,2,1,1,100000002,510000000616,
5204.29,µm,Segment,Segment Position,3,1,1,100000002,510000000635,
5118.22,µm,Segment,Segment Position,3,2,1,100000002,510000000663,
5125.6,µm,Segment,Segment Position,1,1,1,100000002,510000000685,
5176.95,µm,Segment,Segment Position,2,1,1,100000002,510000000709,
5168.21,µm,Segment,Segment Position,3,1,1,100000002,510000000711,
5139.97,µm,Segment,Segment Position,4,1,1,100000002,510000000716,
5145.93,µm,Segment,Segment Position,2,2,1,100000002,510000000726,
5160.87,µm,Segment,Segment Position,4,2,1,100000002,510000000743,
5179.71,µm,Segment,Segment Position,3,2,1,100000002,510000000755,
5188.75,µm,Segment,Segment Position,1,1,1,100000002,510000000760,
5226.24,µm,Segment,Segment Position,3,1,1,100000002,510000000765,
5229.1,µm,Segment,Segment Position,3,2,1,100000002,510000000773,
5206.29,µm,Segment,Segment Position,2,2,1,100000002,510000000783,
5251.18,µm,Segment,Segment Position,2,2,1,100000002,510000000798,
5160.64,µm,Segment,Segment Position,1,1,1,100000002,510000000824,
5156.76,µm,Segment,Segment Position,2,2,1,100000002,510000000832,
5735.89,µm,Segment,Segment Position,2,1,1,100000003,510000000846,
5753.4,µm,Segment,Segment Position,0,1,1,100000003,510000000855,
5708.23,µm,Segment,Segment Position,1,1,1,100000003,510000000857,
5766.29,µm,Segment,Segment Position,3,2,1,100000003,510000000884,
5778.95,µm,Segment,Segment Position,4,2,1,100000003,510000000886,
5779.82,µm,Segment,Segment Position,3,3,1,100000003,510000000893,
5818.1,µm,Segment,Segment Position,4,3,1,100000003,510000000899,
5808.56,µm,Segment,Segment Position,4,4,1,100000003,510000000907,
5759.25,µm,Segment,Segment Position,2,3,1,100000003,510000000910,
5774.13,µm,Segment,Segment Position,3,3,1,100000003,510000000912,
5796.68,µm,Segment,Segment Position,3,4,1,100000003,510000000934,
5957.93,µm,Segment,Segment Position,8,4,1,100000003,510000000951,
5989.6,µm,Segment,Segment Position,8,5,1,100000003,510000000961,
5984.19,µm,Segment,Segment Position,8,5,1,100000003,510000000979,
6026.48,µm,Segment,Segment Position,9,5,1,100000003,510000000986,
5969.84,µm,Segment,Segment Position,8,6,1,100000003,510000000995,
5998.79,µm,Segment,Segment Position,9,6,1,100000003,510000000997,
5902.44,µm,Segment,Segment Position,6,5,1,100000003,510000001012,
5937.34,µm,Segment,Segment Position,5,4,1,100000003,510000001037,
5878.93,µm,Segment,Segment Position,4,4,1,100000003,510000001057,
5931.44,µm,Segment,Segment Position,5,5,1,100000003,510000001060,
5953.99,µm,Segment,Segment Position,6,5,1,100000003,510000001062,
5978.13,µm,Segment,Segment Position,9,7,1,100000003,510000001072,
6023.1,µm,Segment,Segment Position,9,6,1,100000003,510000001077,
5946.51,µm,Segment,Segment Position,7,5,1,100000003,510000001085,
5771.15,µm,Segment,Segment Position,2,3,1,100000003,510000001099,
5723.28,µm,Segment,Segment Position,2,2,1,100000003,510000001118,
5732.13,µm,Segment,Segment Position,1,2,1,100000003,510000001127,
5792.06,µm,Segment,Segment Position,4,3,1,100000003,510000001138,
5717.39,µm,Segment,Segment Position,1,2,1,100000003,510000001158,
6135.69,µm,Segment,Segment Position,1,1,1,100000004,510000001175,
6074.51,µm,Segment,Segment Position,2,2,1,100000004,510000001196,
6045.12,µm,Segment,Segment Position,3,2,1,100000004,510000001204,
6035.47,µm,Segment,Segment Position,3,3,1,100000004,510000001211,
6074.43,µm,Segment,Segment Position,1,2,1,100000004,510000001218,
6088.16,µm,Segment,Segment Position,1,1,1,100000004,510000001242,
6048.17,µm,Segment,Segment Position,2,1,1,100000004,510000001244,
6083.28,µm,Segment,Segment Position,2,3,1,100000004,510000001259,
6094.02,µm,Segment,Segment Position,2,3,1,100000004,510000001270,
6107.97,µm,Segment,Segment Position,3,3,1,100000004,510000001272,
6135.6,µm,Segment,Segment Position,4,3,1,100000004,510000001275,
6136.33,µm,Segment,Segment Position,4,4,1,100000004,510000001293,
6039.89,µm,Segment,Segment Position,2,2,1,100000004,510000001302,
6129.67,µm,Segment,Segment Position,3,4,1,100000004,510000001319,
5790.02,µm,Segment,Segment Position,1,1,1,100000005,510000001337,
5757.84,µm,Segment,Segment Position,1,1,1,100000005,510000001375,
5822.9,µm,Segment,Segment Position,2,1,1,100000005,510000001403,
5849.88,µm,Segment,Segment Position,1,1,1,100000005,510000001419,
5893.61,µm,Segment,Segment Position,1,1,1,100000005,510000001434,
5825.42,µm,Segment,Segment Position,1,1,1,100000005,510000001466,
5839.61,µm,Segment,Segment Position,2,1,1,100000005,510000001468,
5942.67,µm,Segment,Segment Position,3,1,1,100000005,510000001470,
5841.35,µm,Segment,Segment Position,2,2,1,100000005,510000001515,
5905,µm,Segment,Segment Position,3,2,1,100000005,510000001517,
5884.76,µm,Segment,Segment Position,3,3,1,100000005,510000001545,
5844.04,µm,Segment,Segment Position,3,2,1,100000005,510000001563,
5799.45,µm,Segment,Segment Position,2,2,1,100000005,510000001589,
5751.32,µm,Segment,Segment Position,3,2,1,100000005,510000001599,
5763.42,µm,Segment,Segment Position,3,3,1,100000005,510000001611,
5568.08,µm,Segment,Segment Position,2,1,1,100000006,510000001633,
5508.32,µm,Segment,Segment Position,2,2,1,100000006,510000001648,
5562.2,µm,Segment,Segment Position,2,2,1,100000006,510000001680,
5594.31,µm,Segment,Segment Position,2,1,1,100000006,510000001689,
5693.16,µm,Segment,Segment Position,3,1,1,100000006,510000001692,
5609.41,µm,Segment,Segment Position,2,2,1,100000006,510000001734,
5650.45,µm,Segment,Segment Position,3,2,1,100000006,510000001744,
5655.07,µm,Segment,Segment Position,3,3,1,100000006,510000001753,
5574.75,µm,Segment,Segment Position,1,1,1,100000006,510000001759,
5605.03,µm,Segment,Segment Position,3,2,1,100000006,510000001769,
5580.87,µm,Segment,Segment Position,3,2,1,100000006,510000001778,
5602.14,µm,Segment,Segment Position,3,3,1,100000006,510000001796,
5670.09,µm,Segment,Segment Position,2,1,1,100000007,510000001816,
5653.5,µm,Segment,Segment Position,3,1,1,100000007,510000001818,
5699.38,µm,Segment,Segment Position,1,1,1,100000007,510000001834,
5676.67,µm,Segment,Segment Position,2,2,1,100000007,510000001847,
5723.62,µm,Segment,Segment Position,3,2,1,100000007,510000001850,
5616.39,µm,Segment,Segment Position,2,1,1,100000007,510000001866,
5651.66,µm,Segment,Segment Position,1,1,1,100000007,510000001885,
5611.43,µm,Segment,Segment Position,2,1,1,100000007,510000001892,
5623.45,µm,Segment,Segment Position,2,2,1,100000007,510000001903,
5655.34,µm,Segment,Segment Position,2,2,1,100000007,510000001915,
5651.08,µm,Segment,Segment Position,1,1,1,100000007,510000001923,
5688.29,µm,Segment,Segment Position,1,1,1,100000007,510000001931,
5697.04,µm,Segment,Segment Position,3,3,1,100000007,510000001949,
5665.87,µm,Segment,Segment Position,3,2,1,100000007,510000001953,
6291.66,µm,Segment,Segment Position,0,1,1,100000008,510000001968,
6305.12,µm,Segment,Segment Position,2,1,1,100000008,510000001975,
6308.25,µm,Segment,Segment Position,3,1,1,100000008,510000001977,
6333.02,µm,Segment,Segment Position,4,1,1,100000008,510000001980,
6333.6,µm,Segment,Segment Position,1,2,1,100000008,510000001997,
6343.8,µm,Segment,Segment Position,4,2,1,100000008,510000002005,
6315.26,µm,Segment,Segment Position,2,2,1,100000008,510000002022,
6283.7,µm,Segment,Segment Position,1,2,1,100000008,510000002027,
6236.93,µm,Segment,Segment Position,2,2,1,100000008,510000002031,
6287.02,µm,Segment,Segment Position,2,2,1,100000008,510000002036,
6252.89,µm,Segment,Segment Position,3,2,1,100000008,510000002040,
6242.9,µm,Segment,Segment Position,3,3,1,100000008,510000002045,
6288.46,µm,Segment,Segment Position,3,2,1,100000008,510000002056,
6302.81,µm,Segment,Segment Position,2,2,1,100000008,510000002076,
6227.41,µm,Segment,Segment Position,2,3,1,100000008,510000002093,
6205.59,µm,Segment,Segment Position,1,2,1,100000009,510000002102,
6186.17,µm,Segment,Segment Position,1,2,1,100000009,510000002111,
6163.71,µm,Segment,Segment Position,1,1,1,100000009,510000002126,
6108.05,µm,Segment,Segment Position,3,1,1,100000009,510000002129,
6112.48,µm,Segment,Segment Position,3,2,1,100000009,510000002143,
6125.19,µm,Segment,Segment Position,2,2,1,100000009,510000002148,
6088.15,µm,Segment,Segment Position,3,2,1,100000009,510000002151,
6140.69,µm,Segment,Segment Position,2,2,1,100000009,510000002156,
6095.22,µm,Segment,Segment Position,3,3,1,100000009,510000002165,
6182.41,µm,Segment,Segment Position,1,2,1,100000009,510000002171,
6206.29,µm,Segment,Segment Position,2,2,1,100000009,510000002176,
6242.88,µm,Segment,Segment Position,2,3,1,100000009,510000002180,
6275.87,µm,Segment,Segment Position,1,1,1,100000010,510000002194,
6280.39,µm,Segment,Segment Position,2,1,1,100000010,510000002196,
6289.47,µm,Segment,Segment Position,3,1,1,100000010,510000002202,
6299.65,µm,Segment,Segment Position,2,2,1,100000010,510000002218,
6349.71,µm,Segment,Segment Position,3,2,1,100000010,510000002226,
6281.23,µm,Segment,Segment Position,1,2,1,100000010,510000002246,
6345.51,µm,Segment,Segment Position,2,3,1,100000010,510000002248,
6361.88,µm,Segment,Segment Position,3,3,1,100000010,510000002263,
6301.84,µm,Segment,Segment Position,2,2,1,100000010,510000002278,
6320.39,µm,Segment,Segment Position,3,2,1,100000010,510000002281,
6375.27,µm,Segment,Segment Position,4,2,1,100000010,510000002290,
6361.54,µm,Segment,Segment Position,3,3,1,100000010,510000002302,
6400.54,µm,Segment,Segment Position,4,3,1,100000010,510000002331,
6245.37,µm,Segment,Segment Position,1,1,1,100000010,510000002342,
6206.52,µm,Segment,Segment Position,2,1,1,100000010,510000002358,
6180.14,µm,Segment,Segment Position,3,1,1,100000010,510000002363,
6178.98,µm,Segment,Segment Position,3,2,1,100000010,510000002365,
6223.15,µm,Segment,Segment Position,1,2,1,100000010,510000002368,
6257.04,µm,Segment,Segment Position,3,2,1,100000010,510000002382,
6264.02,µm,Segment,Segment Position,1,2,1,100000010,510000002396,
6244.27,µm,Segment,Segment Position,2,2,1,100000010,510000002399,
6266.92,µm,Segment,Segment Position,2,3,1,100000010,510000002407,
6270.9,µm,Segment,Segment Position,3,3,1,100000010,510000002412,
6269.86,µm,Segment,Segment Position,4,3,1,100000010,510000002417,
6278.76,µm,Segment,Segment Position,4,4,1,100000010,510000002428,
6289.78,µm,Segment,Segment Position,1,2,1,100000010,510000002431,
6309.35,µm,Segment,Segment Position,2,2,1,100000010,510000002441,
6312.47,µm,Segment,Segment Position,3,2,1,100000010,510000002444,
6312.36,µm,Segment,Segment Position,4,2,1,100000010,510000002447,
6318.04,µm,Segment,Segment Position,4,3,1,100000010,510000002454,
6339.69,µm,Segment,Segment Position,5,3,1,100000010,510000002456,
6339.97,µm,Segment,Segment Position,5,4,1,100000010,510000002459,
6329.75,µm,Segment,Segment Position,3,3,1,100000010,510000002461,
6357.32,µm,Segment,Segment Position,2,3,1,100000010,510000002466,
6192.38,µm,Segment,Segment Position,2,2,1,100000010,510000002479,
6238.53,µm,Segment,Segment Position,3,4,1,100000010,510000002488,
5991.35,µm,Segment,Segment Position,2,1,1,100000011,510000002505,
5943,µm,Segment,Segment Position,3,1,1,100000011,510000002515,
5976.42,µm,Segment,Segment Position,2,2,1,100000011,510000002528,
6009.76,µm,Segment,Segment Position,2,3,1,100000011,510000002550,
6059.67,µm,Segment,Segment Position,4,2,1,100000011,510000002565,
6049.39,µm,Segment,Segment Position,4,3,1,100000011,510000002578,
6038.93,µm,Segment,Segment Position,3,3,1,100000011,510000002584,
6049.32,µm,Segment,Segment Position,2,3,1,100000011,510000002606,
5986.96,µm,Segment,Segment Position,1,1,1,100000011,510000002630,
5981.46,µm,Segment,Segment Position,1,2,1,100000011,510000002643,
6021.55,µm,Segment,Segment Position,3,2,1,100000011,510000002661,
6026.96,µm,Segment,Segment Position,3,3,1,100000011,510000002664,
5901.85,µm,Segment,Segment Position,3,2,1,100000011,510000002675,
6028.46,µm,Segment,Segment Position,2,1,1,100000012,510000002702,
5965.74,µm,Segment,Segment Position,3,1,1,100000012,510000002709,
5909.12,µm,Segment,Segment Position,4,1,1,100000012,510000002731,
5912.37,µm,Segment,Segment Position,4,2,1,100000012,510000002740,
6035.2,µm,Segment,Segment Position,2,2,1,100000012,510000002746,
6008.33,µm,Segment,Segment Position,3,2,1,100000012,510000002752,
5948.34,µm,Segment,Segment Position,4,2,1,100000012,510000002760,
5905.48,µm,Segment,Segment Position,5,2,1,100000012,510000002776,
5897.55,µm,Segment,Segment Position,5,3,1,100000012,510000002784,
5954.32,µm,Segment,Segment Position,4,3,1,100000012,510000002791,
6056.83,µm,Segment,Segment Position,1,1,1,100000012,510000002813,
6071.08,µm,Segment,Segment Position,2,1,1,100000012,510000002820,
6046.11,µm,Segment,Segment Position,2,2,1,100000012,510000002832,
5983.4,µm,Segment,Segment Position,3,2,1,100000012,510000002836,
6056.51,µm,Segment,Segment Position,2,1,1,100000012,510000002867,
6088.22,µm,Segment,Segment Position,3,1,1,100000012,510000002869,
6106.49,µm,Segment,Segment Position,3,2,1,100000012,510000002897,
6077.66,µm,Segment,Segment Position,2,2,1,100000012,510000002921,
6142.03,µm,Segment,Segment Position,3,2,1,100000012,510000002930,
6137.37,µm,Segment,Segment Position,3,3,1,100000012,510000002947,
6100.04,µm,Segment,Segment Position,2,2,1,100000012,510000002966,
6017.13,µm,Segment,Segment Position,3,3,1,100000012,510000002982,
6011.64,µm,Segment,Segment Position,4,3,1,100000012,510000002984,
6029.55,µm,Segment,Segment Position,4,4,1,100000012,510000002999,
5993.98,µm,Segment,Segment Position,3,2,1,100000012,510000003014,
6036.58,µm,Segment,Segment Position,3,3,1,100000012,510000003020,
5394.1,µm,Segment,Segment Position,3,1,1,100000013,510000003039,
5423.46,µm,Segment,Segment Position,3,2,1,100000013,510000003056,
5395.55,µm,Segment,Segment Position,4,2,1,100000013,510000003061,
5399.94,µm,Segment,Segment Position,4,3,1,100000013,510000003074,
5433.38,µm,Segment,Segment Position,3,2,1,100000013,510000003081,
5427.46,µm,Segment,Segment Position,4,2,1,100000013,510000003083,
5433.31,µm,Segment,Segment Position,4,3,1,100000013,510000003090,
5441.96,µm,Segment,Segment Position,5,3,1,100000013,510000003093,
5438.67,µm,Segment,Segment Position,5,4,1,100000013,510000003106,
5456.29,µm,Segment,Segment Position,4,3,1,100000013,510000003111,
5467.47,µm,Segment,Segment Position,4,4,1,100000013,510000003122,
5460.4,µm,Segment,Segment Position,1,1,1,100000013,510000003143,
5452.64,µm,Segment,Segment Position,1,1,1,100000013,510000003156,
5519.58,µm,Segment,Segment Position,2,1,1,100000013,510000003160,
5475.19,µm,Segment,Segment Position,2,2,1,100000013,510000003185,
5488.05,µm,Segment,Segment Position,3,2,1,100000013,510000003188,
5499.07,µm,Segment,Segment Position,4,2,1,100000013,510000003191,
5501.13,µm,Segment,Segment Position,4,3,1,100000013,510000003206,
5442.62,µm,Segment,Segment Position,1,1,1,100000013,510000003211,
5412.21,µm,Segment,Segment Position,4,1,1,100000013,510000003215,
5452.45,µm,Segment,Segment Position,4,2,1,100000013,510000003235,
5454.4,µm,Segment,Segment Position,3,2,1,100000013,510000003244,
5443.75,µm,Segment,Segment Position,2,2,1,100000013,510000003251,
5457.54,µm,Segment,Segment Position,3,2,1,100000013,510000003253,
5526.27,µm,Segment,Segment Position,3,3,1,100000013,510000003269,
5491.54,µm,Segment,Segment Position,3,3,1,100000013,510000003292,
5408.45,µm,Segment,Segment Position,2,1,1,100000000,510000003309,
5396.04,µm,Segment,Segment Position,1,1,1,100000000,510000003310,
5392.73,µm,Segment,Segment Position,2,1,1,100000000,510000003311,
5708.96,µm,Segment,Segment Position,1,1,1,100000001,510000003312,
5702.87,µm,Segment,Segment Position,2,1,1,100000001,510000003313,
5180.38,µm,Segment,Segment Position,1,1,1,100000002,510000003314,
5180.38,µm,Segment,Segment Position,1,1,1,100000002,510000003315,
5205.09,µm,Segment,Segment Position,2,1,1,100000002,510000003316,
5755.84,µm,Segment,Segment Position,0,1,1,100000003,510000003317,
5750.34,µm,Segment,Segment Position,1,1,1,100000003,510000003318,
5750.34,µm,Segment,Segment Position,1,2,1,100000003,510000003319,
5759.93,µm,Segment,Segment Position,2,2,1,100000003,510000003320,
5948.5,µm,Segment,Segment Position,6,4,1,100000003,510000003321,
5955.52,µm,Segment,Segment Position,7,4,1,100000003,510000003322,
5955.52,µm,Segment,Segment Position,7,5,1,100000003,510000003323,
5834.88,µm,Segment,Segment Position,4,5,1,100000003,510000003324,
6095.98,µm,Segment,Segment Position,0,1,1,100000004,510000003325,
6102.67,µm,Segment,Segment Position,1,2,1,100000004,510000003326,
6095.98,µm,Segment,Segment Position,0,1,1,100000004,510000003327,
5822.27,µm,Segment,Segment Position,1,1,1,100000005,510000003328,
5581.56,µm,Segment,Segment Position,1,1,1,100000006,510000003329,
5577.49,µm,Segment,Segment Position,2,2,1,100000006,510000003330,
5581.56,µm,Segment,Segment Position,1,1,1,100000006,510000003331,
5667.09,µm,Segment,Segment Position,1,1,1,100000007,510000003332,
5667.09,µm,Segment,Segment Position,1,1,1,100000007,510000003333,
6297.94,µm,Segment,Segment Position,0,1,1,100000008,510000003334,
6302.58,µm,Segment,Segment Position,1,1,1,100000008,510000003335,
6154.49,µm,Segment,Segment Position,0,1,1,100000009,510000003336,
6138.34,µm,Segment,Segment Position,2,1,1,100000009,510000003337,
6274.15,µm,Segment,Segment Position,0,1,1,100000010,510000003338,
6274.15,µm,Segment,Segment Position,0,1,1,100000010,510000003339,
6018.2,µm,Segment,Segment Position,0,1,1,100000011,510000003340,
6013.2,µm,Segment,Segment Position,1,1,1,100000011,510000003341,
6013.2,µm,Segment,Segment Position,1,2,1,100000011,510000003342,
6015.99,µm,Segment,Segment Position,2,2,1,100000011,510000003343,
6028.58,µm,Segment,Segment Position,3,2,1,100000011,510000003344,
6013.2,µm,Segment,Segment Position,1,2,1,100000011,510000003345,
6023.05,µm,Segment,Segment Position,2,2,1,100000011,510000003346,
6018.2,µm,Segment,Segment Position,0,1,1,100000011,510000003347,
6053.56,µm,Segment,Segment Position,1,1,1,100000012,510000003348,
6053.56,µm,Segment,Segment Position,1,1,1,100000012,510000003349,
5442.77,µm,Segment,Segment Position,1,1,1,100000013,510000003350,
5432.49,µm,Segment,Segment Position,2,1,1,100000013,510000003351,
5432.49,µm,Segment,Segment Position,2,2,1,100000013,510000003352,
5433.63,µm,Segment,Segment Position,3,3,1,100000013,510000003353,
5442.17,µm,Segment,Segment Position,2,1,1,100000013,510000003354,
5441.9,µm,Segment,Segment Position,3,1,1,100000013,510000003355,
