
Segment Position Z
 ==================== 
Segment Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
9.20724,µm,Segment,Segment Position,1,1,1,100000000,510000000001,
15.2674,µm,Segment,Segment Position,2,2,1,100000000,510000000007,
9.00848,µm,Segment,Segment Position,1,1,1,100000000,510000000045,
8.91448,µm,Segment,Segment Position,2,1,1,100000000,510000000051,
10.8293,µm,Segment,Segment Position,3,1,1,100000000,510000000053,
11.1732,µm,Segment,Segment Position,2,2,1,100000000,510000000095,
8.92175,µm,Segment,Segment Position,1,1,1,100000000,510000000138,
10.157,µm,Segment,Segment Position,2,1,1,100000000,510000000141,
-1.19406,µm,Segment,Segment Position,2,2,1,100000000,510000000158,
15.6493,µm,Segment,Segment Position,2,2,1,100000000,510000000189,
14.5747,µm,Segment,Segment Position,3,2,1,100000000,510000000204,
6.29786,µm,Segment,Segment Position,3,3,1,100000000,510000000217,
13.5105,µm,Segment,Segment Position,3,1,1,100000000,510000000232,
10.9098,µm,Segment,Segment Position,3,2,1,100000000,510000000259,
9.56226,µm,Segment,Segment Position,3,2,1,100000000,510000000294,
4.58663,µm,Segment,Segment Position,3,2,1,100000000,510000000330,
11.8676,µm,Segment,Segment Position,3,1,1,100000000,510000000372,
0.308838,µm,Segment,Segment Position,3,2,1,100000000,510000000414,
16.3288,µm,Segment,Segment Position,3,1,1,100000001,510000000431,
18.9652,µm,Segment,Segment Position,4,1,1,100000001,510000000447,
3.17366,µm,Segment,Segment Position,1,1,1,100000001,510000000450,
3.10812,µm,Segment,Segment Position,2,1,1,100000001,510000000454,
7.80449,µm,Segment,Segment Position,3,1,1,100000001,510000000457,
7.39168,µm,Segment,Segment Position,1,1,1,100000001,510000000474,
16.831,µm,Segment,Segment Position,2,1,1,100000001,510000000481,
-0.458997,µm,Segment,Segment Position,3,2,1,100000001,510000000495,
13.3296,µm,Segment,Segment Position,1,1,1,100000001,510000000505,
9.67826,µm,Segment,Segment Position,3,2,1,100000001,510000000517,
15.3592,µm,Segment,Segment Position,4,2,1,100000001,510000000524,
13.1096,µm,Segment,Segment Position,2,2,1,100000001,510000000529,
5.12395,µm,Segment,Segment Position,1,1,1,100000001,510000000540,
11.8333,µm,Segment,Segment Position,2,1,1,100000001,510000000543,
1.16843,µm,Segment,Segment Position,1,1,1,100000001,510000000562,
1.99183,µm,Segment,Segment Position,2,2,1,100000001,510000000570,
3.32595,µm,Segment,Segment Position,1,1,1,100000001,510000000573,
12.8046,µm,Segment,Segment Position,2,2,1,100000001,510000000580,
15.1428,µm,Segment,Segment Position,2,2,1,100000001,510000000594,
8.16639,µm,Segment,Segment Position,4,3,1,100000001,510000000599,
16.9087,µm,Segment,Segment Position,4,2,1,100000001,510000000610,
12.8386,µm,Segment,Segment Position,2,1,1,100000002,510000000616,
14.6957,µm,Segment,Segment Position,3,1,1,100000002,510000000635,
13.417,µm,Segment,Segment Position,3,2,1,100000002,510000000663,
16.8377,µm,Segment,Segment Position,1,1,1,100000002,510000000685,
3.49781,µm,Segment,Segment Position,2,1,1,100000002,510000000709,
1.0131,µm,Segment,Segment Position,3,1,1,100000002,510000000711,
-0.59278,µm,Segment,Segment Position,4,1,1,100000002,510000000716,
9.37994,µm,Segment,Segment Position,2,2,1,100000002,510000000726,
-6.37835,µm,Segment,Segment Position,4,2,1,100000002,510000000743,
0.461019,µm,Segment,Segment Position,3,2,1,100000002,510000000755,
7.13724,µm,Segment,Segment Position,1,1,1,100000002,510000000760,
5.85757,µm,Segment,Segment Position,3,1,1,100000002,510000000765,
13.7298,µm,Segment,Segment Position,3,2,1,100000002,510000000773,
9.05787,µm,Segment,Segment Position,2,2,1,100000002,510000000783,
13.4573,µm,Segment,Segment Position,2,2,1,100000002,510000000798,
3.35618,µm,Segment,Segment Position,1,1,1,100000002,510000000824,
2.59676,µm,Segment,Segment Position,2,2,1,100000002,510000000832,
19.2007,µm,Segment,Segment Position,2,1,1,100000003,510000000846,
20.4494,µm,Segment,Segment Position,0,1,1,100000003,510000000855,
11.1814,µm,Segment,Segment Position,1,1,1,100000003,510000000857,
15.6185,µm,Segment,Segment Position,3,2,1,100000003,510000000884,
10.7978,µm,Segment,Segment Position,4,2,1,100000003,510000000886,
17.9069,µm,Segment,Segment Position,3,3,1,100000003,510000000893,
18.58,µm,Segment,Segment Position,4,3,1,100000003,510000000899,
19.6376,µm,Segment,Segment Position,4,4,1,100000003,510000000907,
16.107,µm,Segment,Segment Position,2,3,1,100000003,510000000910,
-7.47091,µm,Segment,Segment Position,3,3,1,100000003,510000000912,
14.5828,µm,Segment,Segment Position,3,4,1,100000003,510000000934,
10.3755,µm,Segment,Segment Position,8,4,1,100000003,510000000951,
12.1094,µm,Segment,Segment Position,8,5,1,100000003,510000000961,
2.77292,µm,Segment,Segment Position,8,5,1,100000003,510000000979,
4.18818,µm,Segment,Segment Position,9,5,1,100000003,510000000986,
3.15812,µm,Segment,Segment Position,8,6,1,100000003,510000000995,
5.48761,µm,Segment,Segment Position,9,6,1,100000003,510000000997,
-0.477608,µm,Segment,Segment Position,6,5,1,100000003,510000001012,
7.86845,µm,Segment,Segment Position,5,4,1,100000003,510000001037,
12.5493,µm,Segment,Segment Position,4,4,1,100000003,510000001057,
7.63432,µm,Segment,Segment Position,5,5,1,100000003,510000001060,
2.21103,µm,Segment,Segment Position,6,5,1,100000003,510000001062,
1.80959,µm,Segment,Segment Position,9,7,1,100000003,510000001072,
2.25728,µm,Segment,Segment Position,9,6,1,100000003,510000001077,
13.7786,µm,Segment,Segment Position,7,5,1,100000003,510000001085,
11.4137,µm,Segment,Segment Position,2,3,1,100000003,510000001099,
19.2354,µm,Segment,Segment Position,2,2,1,100000003,510000001118,
10.1449,µm,Segment,Segment Position,1,2,1,100000003,510000001127,
-5.21145,µm,Segment,Segment Position,4,3,1,100000003,510000001138,
13.6219,µm,Segment,Segment Position,1,2,1,100000003,510000001158,
11.7356,µm,Segment,Segment Position,1,1,1,100000004,510000001175,
14.3157,µm,Segment,Segment Position,2,2,1,100000004,510000001196,
8.89244,µm,Segment,Segment Position,3,2,1,100000004,510000001204,
12.3198,µm,Segment,Segment Position,3,3,1,100000004,510000001211,
15.4904,µm,Segment,Segment Position,1,2,1,100000004,510000001218,
19.3606,µm,Segment,Segment Position,1,1,1,100000004,510000001242,
18.5396,µm,Segment,Segment Position,2,1,1,100000004,510000001244,
14.8283,µm,Segment,Segment Position,2,3,1,100000004,510000001259,
16.5638,µm,Segment,Segment Position,2,3,1,100000004,510000001270,
15.3297,µm,Segment,Segment Position,3,3,1,100000004,510000001272,
-0.374342,µm,Segment,Segment Position,4,3,1,100000004,510000001275,
14.1086,µm,Segment,Segment Position,4,4,1,100000004,510000001293,
15.493,µm,Segment,Segment Position,2,2,1,100000004,510000001302,
5.54081,µm,Segment,Segment Position,3,4,1,100000004,510000001319,
3.74996,µm,Segment,Segment Position,1,1,1,100000005,510000001337,
12.9071,µm,Segment,Segment Position,1,1,1,100000005,510000001375,
15.9308,µm,Segment,Segment Position,2,1,1,100000005,510000001403,
-1.05399,µm,Segment,Segment Position,1,1,1,100000005,510000001419,
9.92233,µm,Segment,Segment Position,1,1,1,100000005,510000001434,
5.84493,µm,Segment,Segment Position,1,1,1,100000005,510000001466,
9.04671,µm,Segment,Segment Position,2,1,1,100000005,510000001468,
9.03917,µm,Segment,Segment Position,3,1,1,100000005,510000001470,
7.94863,µm,Segment,Segment Position,2,2,1,100000005,510000001515,
7.1515,µm,Segment,Segment Position,3,2,1,100000005,510000001517,
14.5187,µm,Segment,Segment Position,3,3,1,100000005,510000001545,
12.437,µm,Segment,Segment Position,3,2,1,100000005,510000001563,
5.80045,µm,Segment,Segment Position,2,2,1,100000005,510000001589,
4.24113,µm,Segment,Segment Position,3,2,1,100000005,510000001599,
3.79295,µm,Segment,Segment Position,3,3,1,100000005,510000001611,
14.5748,µm,Segment,Segment Position,2,1,1,100000006,510000001633,
14.9628,µm,Segment,Segment Position,2,2,1,100000006,510000001648,
13.4476,µm,Segment,Segment Position,2,2,1,100000006,510000001680,
19.1747,µm,Segment,Segment Position,2,1,1,100000006,510000001689,
7.69238,µm,Segment,Segment Position,3,1,1,100000006,510000001692,
18.6615,µm,Segment,Segment Position,2,2,1,100000006,510000001734,
12.1645,µm,Segment,Segment Position,3,2,1,100000006,510000001744,
18.5007,µm,Segment,Segment Position,3,3,1,100000006,510000001753,
18.8812,µm,Segment,Segment Position,1,1,1,100000006,510000001759,
18.9196,µm,Segment,Segment Position,3,2,1,100000006,510000001769,
13.2808,µm,Segment,Segment Position,3,2,1,100000006,510000001778,
14.9262,µm,Segment,Segment Position,3,3,1,100000006,510000001796,
12.6634,µm,Segment,Segment Position,2,1,1,100000007,510000001816,
6.83729,µm,Segment,Segment Position,3,1,1,100000007,510000001818,
7.86567,µm,Segment,Segment Position,1,1,1,100000007,510000001834,
13.4861,µm,Segment,Segment Position,2,2,1,100000007,510000001847,
18.3786,µm,Segment,Segment Position,3,2,1,100000007,510000001850,
13.0747,µm,Segment,Segment Position,2,1,1,100000007,510000001866,
12.688,µm,Segment,Segment Position,1,1,1,100000007,510000001885,
15.1428,µm,Segment,Segment Position,2,1,1,100000007,510000001892,
17.5204,µm,Segment,Segment Position,2,2,1,100000007,510000001903,
5.87163,µm,Segment,Segment Position,2,2,1,100000007,510000001915,
11.3733,µm,Segment,Segment Position,1,1,1,100000007,510000001923,
11.7125,µm,Segment,Segment Position,1,1,1,100000007,510000001931,
18.5541,µm,Segment,Segment Position,3,3,1,100000007,510000001949,
18.4358,µm,Segment,Segment Position,3,2,1,100000007,510000001953,
20.2498,µm,Segment,Segment Position,0,1,1,100000008,510000001968,
14.3093,µm,Segment,Segment Position,2,1,1,100000008,510000001975,
9.53129,µm,Segment,Segment Position,3,1,1,100000008,510000001977,
-9.04199,µm,Segment,Segment Position,4,1,1,100000008,510000001980,
16.9985,µm,Segment,Segment Position,1,2,1,100000008,510000001997,
-8.28123,µm,Segment,Segment Position,4,2,1,100000008,510000002005,
16.404,µm,Segment,Segment Position,2,2,1,100000008,510000002022,
18.0815,µm,Segment,Segment Position,1,2,1,100000008,510000002027,
15.7485,µm,Segment,Segment Position,2,2,1,100000008,510000002031,
14.4617,µm,Segment,Segment Position,2,2,1,100000008,510000002036,
8.81562,µm,Segment,Segment Position,3,2,1,100000008,510000002040,
7.26688,µm,Segment,Segment Position,3,3,1,100000008,510000002045,
-5.96002,µm,Segment,Segment Position,3,2,1,100000008,510000002056,
12.7317,µm,Segment,Segment Position,2,2,1,100000008,510000002076,
17.5129,µm,Segment,Segment Position,2,3,1,100000008,510000002093,
14.293,µm,Segment,Segment Position,1,2,1,100000009,510000002102,
2.26495,µm,Segment,Segment Position,1,2,1,100000009,510000002111,
17.757,µm,Segment,Segment Position,1,1,1,100000009,510000002126,
4.196,µm,Segment,Segment Position,3,1,1,100000009,510000002129,
18.0364,µm,Segment,Segment Position,3,2,1,100000009,510000002143,
14.8433,µm,Segment,Segment Position,2,2,1,100000009,510000002148,
15.4557,µm,Segment,Segment Position,3,2,1,100000009,510000002151,
9.16236,µm,Segment,Segment Position,2,2,1,100000009,510000002156,
9.94137,µm,Segment,Segment Position,3,3,1,100000009,510000002165,
17.8857,µm,Segment,Segment Position,1,2,1,100000009,510000002171,
17.9545,µm,Segment,Segment Position,2,2,1,100000009,510000002176,
13.6797,µm,Segment,Segment Position,2,3,1,100000009,510000002180,
-22.5791,µm,Segment,Segment Position,1,1,1,100000010,510000002194,
-14.9804,µm,Segment,Segment Position,2,1,1,100000010,510000002196,
4.56681,µm,Segment,Segment Position,3,1,1,100000010,510000002202,
-12.1383,µm,Segment,Segment Position,2,2,1,100000010,510000002218,
10.321,µm,Segment,Segment Position,3,2,1,100000010,510000002226,
-22.504,µm,Segment,Segment Position,1,2,1,100000010,510000002246,
-18.1203,µm,Segment,Segment Position,2,3,1,100000010,510000002248,
-11.7585,µm,Segment,Segment Position,3,3,1,100000010,510000002263,
-16.5052,µm,Segment,Segment Position,2,2,1,100000010,510000002278,
-4.48407,µm,Segment,Segment Position,3,2,1,100000010,510000002281,
-5.4174,µm,Segment,Segment Position,4,2,1,100000010,510000002290,
8.76584,µm,Segment,Segment Position,3,3,1,100000010,510000002302,
6.76717,µm,Segment,Segment Position,4,3,1,100000010,510000002331,
-8.34352,µm,Segment,Segment Position,1,1,1,100000010,510000002342,
11.0633,µm,Segment,Segment Position,2,1,1,100000010,510000002358,
13.3287,µm,Segment,Segment Position,3,1,1,100000010,510000002363,
15.5823,µm,Segment,Segment Position,3,2,1,100000010,510000002365,
-16.1484,µm,Segment,Segment Position,1,2,1,100000010,510000002368,
6.2451,µm,Segment,Segment Position,3,2,1,100000010,510000002382,
-21.707,µm,Segment,Segment Position,1,2,1,100000010,510000002396,
-20.6833,µm,Segment,Segment Position,2,2,1,100000010,510000002399,
-14.6363,µm,Segment,Segment Position,2,3,1,100000010,510000002407,
-4.41373,µm,Segment,Segment Position,3,3,1,100000010,510000002412,
10.4483,µm,Segment,Segment Position,4,3,1,100000010,510000002417,
4.37573,µm,Segment,Segment Position,4,4,1,100000010,510000002428,
-14.3935,µm,Segment,Segment Position,1,2,1,100000010,510000002431,
-2.16369,µm,Segment,Segment Position,2,2,1,100000010,510000002441,
2.86536,µm,Segment,Segment Position,3,2,1,100000010,510000002444,
