
Segment Resistance
 ==================== 
Segment Resistance,Unit,Category,Depth,Level,Time,FilamentID,ID,
1.34098,1/µm,Segment,1,1,1,100000000,510000000001,
12.2468,1/µm,Segment,2,2,1,100000000,510000000007,
1.22405,1/µm,Segment,1,1,1,100000000,510000000045,
0.456517,1/µm,Segment,2,1,1,100000000,510000000051,
13.7331,1/µm,Segment,3,1,1,100000000,510000000053,
17.5836,1/µm,Segment,2,2,1,100000000,510000000095,
0.627231,1/µm,Segment,1,1,1,100000000,510000000138,
5.55926,1/µm,Segment,2,1,1,100000000,510000000141,
11.6966,1/µm,Segment,2,2,1,100000000,510000000158,
3.90522,1/µm,Segment,2,2,1,100000000,510000000189,
4.54056,1/µm,Segment,3,2,1,100000000,510000000204,
5.26887,1/µm,Segment,3,3,1,100000000,510000000217,
11.0614,1/µm,Segment,3,1,1,100000000,510000000232,
15.2221,1/µm,Segment,3,2,1,100000000,510000000259,
14.802,1/µm,Segment,3,2,1,100000000,510000000294,
16.8928,1/µm,Segment,3,2,1,100000000,510000000330,
16.0301,1/µm,Segment,3,1,1,100000000,510000000372,
6.15633,1/µm,Segment,3,2,1,100000000,510000000414,
5.76417,1/µm,Segment,3,1,1,100000001,510000000431,
1.6719,1/µm,Segment,4,1,1,100000001,510000000447,
1.54814,1/µm,Segment,1,1,1,100000001,510000000450,
1.54137,1/µm,Segment,2,1,1,100000001,510000000454,
14.0653,1/µm,Segment,3,1,1,100000001,510000000457,
3.07639,1/µm,Segment,1,1,1,100000001,510000000474,
11.9258,1/µm,Segment,2,1,1,100000001,510000000481,
10.3853,1/µm,Segment,3,2,1,100000001,510000000495,
7.27646,1/µm,Segment,1,1,1,100000001,510000000505,
6.39555,1/µm,Segment,3,2,1,100000001,510000000517,
4.84406,1/µm,Segment,4,2,1,100000001,510000000524,
10.2233,1/µm,Segment,2,2,1,100000001,510000000529,
1.21042,1/µm,Segment,1,1,1,100000001,510000000540,
14.3551,1/µm,Segment,2,1,1,100000001,510000000543,
5.50185,1/µm,Segment,1,1,1,100000001,510000000562,
4.1272,1/µm,Segment,2,2,1,100000001,510000000570,
4.72944,1/µm,Segment,1,1,1,100000001,510000000573,
14.8379,1/µm,Segment,2,2,1,100000001,510000000580,
5.35001,1/µm,Segment,2,2,1,100000001,510000000594,
11.6677,1/µm,Segment,4,3,1,100000001,510000000599,
5.11544,1/µm,Segment,4,2,1,100000001,510000000610,
5.53628,1/µm,Segment,2,1,1,100000002,510000000616,
11.9233,1/µm,Segment,3,1,1,100000002,510000000635,
12.6208,1/µm,Segment,3,2,1,100000002,510000000663,
8.84242,1/µm,Segment,1,1,1,100000002,510000000685,
0.503517,1/µm,Segment,2,1,1,100000002,510000000709,
1.60254,1/µm,Segment,3,1,1,100000002,510000000711,
4.34696,1/µm,Segment,4,1,1,100000002,510000000716,
8.8882,1/µm,Segment,2,2,1,100000002,510000000726,
4.85944,1/µm,Segment,4,2,1,100000002,510000000743,
2.9827,1/µm,Segment,3,2,1,100000002,510000000755,
1.0055,1/µm,Segment,1,1,1,100000002,510000000760,
3.51751,1/µm,Segment,3,1,1,100000002,510000000765,
4.94683,1/µm,Segment,3,2,1,100000002,510000000773,
7.14154,1/µm,Segment,2,2,1,100000002,510000000783,
14.7567,1/µm,Segment,2,2,1,100000002,510000000798,
2.88921,1/µm,Segment,1,1,1,100000002,510000000824,
5.32669,1/µm,Segment,2,2,1,100000002,510000000832,
0.955609,1/µm,Segment,2,1,1,100000003,510000000846,
0.153002,1/µm,Segment,0,1,1,100000003,510000000855,
1.89419,1/µm,Segment,1,1,1,100000003,510000000857,
0.174515,1/µm,Segment,3,2,1,100000003,510000000884,
