
Segment Straightness
 ==================== 
Segment Straightness,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.988481,,Segment,1,1,1,100000000,510000000001,
0.961017,,Segment,2,2,1,100000000,510000000007,
0.991758,,Segment,1,1,1,100000000,510000000045,
0.999869,,Segment,2,1,1,100000000,510000000051,
0.876116,,Segment,3,1,1,100000000,510000000053,
0.937819,,Segment,2,2,1,100000000,510000000095,
0.989223,,Segment,1,1,1,100000000,510000000138,
0.963243,,Segment,2,1,1,100000000,510000000141,
0.897576,,Segment,2,2,1,100000000,510000000158,
0.973937,,Segment,2,2,1,100000000,510000000189,
0.918285,,Segment,3,2,1,100000000,510000000204,
0.970048,,Segment,3,3,1,100000000,510000000217,
0.95975,,Segment,3,1,1,100000000,510000000232,
0.947691,,Segment,3,2,1,100000000,510000000259,
0.932517,,Segment,3,2,1,100000000,510000000294,
0.959903,,Segment,3,2,1,100000000,510000000330,
0.910514,,Segment,3,1,1,100000000,510000000372,
0.941477,,Segment,3,2,1,100000000,510000000414,
0.975957,,Segment,3,1,1,100000001,510000000431,
0.995544,,Segment,4,1,1,100000001,510000000447,
0.985728,,Segment,1,1,1,100000001,510000000450,
0.999815,,Segment,2,1,1,100000001,510000000454,
0.98109,,Segment,3,1,1,100000001,510000000457,
0.996877,,Segment,1,1,1,100000001,510000000474,
0.979486,,Segment,2,1,1,100000001,510000000481,
0.97391,,Segment,3,2,1,100000001,510000000495,
0.92986,,Segment,1,1,1,100000001,510000000505,
0.9602,,Segment,3,2,1,100000001,510000000517,
0.971848,,Segment,4,2,1,100000001,510000000524,
0.971816,,Segment,2,2,1,100000001,510000000529,
0.99777,,Segment,1,1,1,100000001,510000000540,
0.923765,,Segment,2,1,1,100000001,510000000543,
0.819179,,Segment,1,1,1,100000001,510000000562,
0.982227,,Segment,2,2,1,100000001,510000000570,
0.96786,,Segment,1,1,1,100000001,510000000573,
0.970162,,Segment,2,2,1,100000001,510000000580,
0.984248,,Segment,2,2,1,100000001,510000000594,
0.962895,,Segment,4,3,1,100000001,510000000599,
0.987705,,Segment,4,2,1,100000001,510000000610,
