
Filament Distance from Origin
 ==================== 
Filament Distance from Origin,Unit,Category,Collection,Time,ID,
109991,µm,Filament,Filament Distance from Origin,1,100000000,
110337,µm,Filament,Filament Distance from Origin,1,100000001,
109537,µm,Filament,Filament Distance from Origin,1,100000002,
109958,µm,Filament,Filament Distance from Origin,1,100000003,
110224,µm,Filament,Filament Distance from Origin,1,100000004,
110588,µm,Filament,Filament Distance from Origin,1,100000005,
109600,µm,Filament,Filament Distance from Origin,1,100000006,
109258,µm,Filament,Filament Distance from Origin,1,100000007,
109439,µm,Filament,Filament Distance from Origin,1,100000008,
110353,µm,Filament,Filament Distance from Origin,1,100000009,
109678,µm,Filament,Filament Distance from Origin,1,100000010,
109802,µm,Filament,Filament Distance from Origin,1,100000011,
110712,µm,Filament,Filament Distance from Origin,1,100000012,
110163,µm,Filament,Filament Distance from Origin,1,100000013,
