
Filament Position
 ==================== 
Filament Position X,Filament Position Y,Filament Position Z,Unit,Category,Collection,Time,ID,
109858,5401.32,9.45775,µm,Filament,Filament Position,1,100000000,
110189,5714.44,10.8714,µm,Filament,Filament Position,1,100000001,
109415,5176.36,9.77045,µm,Filament,Filament Position,1,100000002,
109802,5847.75,7.57492,µm,Filament,Filament Position,1,100000003,
110056,6090.55,11.3496,µm,Filament,Filament Position,1,100000004,
110433,5847.21,8.60868,µm,Filament,Filament Position,1,100000005,
109456,5603.65,13.2037,µm,Filament,Filament Position,1,100000006,
109111,5661.23,13.2276,µm,Filament,Filament Position,1,100000007,
109258,6296.52,3.65101,µm,Filament,Filament Position,1,100000008,
110181,6161.81,9.43317,µm,Filament,Filament Position,1,100000009,
109497,6303.85,-0.138641,µm,Filament,Filament Position,1,100000010,
109638,5995.06,11.8961,µm,Filament,Filament Position,1,100000011,
110548,6029,10.915,µm,Filament,Filament Position,1,100000012,
110028,5462.03,9.0929,µm,Filament,Filament Position,1,100000013,
