
Filament Position X
 ==================== 
Filament Position X,Unit,Category,Collection,Time,ID,
109858,µm,Filament,Filament Position,1,100000000,
110189,µm,Filament,Filament Position,1,100000001,
109415,µm,Filament,Filament Position,1,100000002,
109802,µm,Filament,Filament Position,1,100000003,
110056,µm,Filament,Filament Position,1,100000004,
110433,µm,Filament,Filament Position,1,100000005,
109456,µm,Filament,Filament Position,1,100000006,
109111,µm,Filament,Filament Position,1,100000007,
109258,µm,Filament,Filament Position,1,100000008,
110181,µm,Filament,Filament Position,1,100000009,
109497,µm,Filament,Filament Position,1,100000010,
109638,µm,Filament,Filament Position,1,100000011,
110548,µm,Filament,Filament Position,1,100000012,
110028,µm,Filament,Filament Position,1,100000013,
