
Filament Segment Area (sum)
 ==================== 
Filament Segment Area (sum),Unit,Category,Time,ID,
11620.7,µm^2,Filament,1,100000000,
10775.4,µm^2,Filament,1,100000001,
15733,µm^2,Filament,1,100000002,
28631.2,µm^2,Filament,1,100000003,
16490.8,µm^2,Filament,1,100000004,
39270.9,µm^2,Filament,1,100000005,
20084.2,µm^2,Filament,1,100000006,
13036.7,µm^2,Filament,1,100000007,
21408.3,µm^2,Filament,1,100000008,
12026.2,µm^2,Filament,1,100000009,
35448.5,µm^2,Filament,1,100000010,
18557.7,µm^2,Filament,1,100000011,
42910.9,µm^2,Filament,1,100000012,
22253.7,µm^2,Filament,1,100000013,
