
Filament Segment Volume (sum)
 ==================== 
Filament Segment Volume (sum),Unit,Category,Time,ID,
9558.76,µm^3,Filament,1,100000000,
11090.7,µm^3,Filament,1,100000001,
17727.5,µm^3,Filament,1,100000002,
48796,µm^3,Filament,1,100000003,
28009.8,µm^3,Filament,1,100000004,
87185,µm^3,Filament,1,100000005,
38758.4,µm^3,Filament,1,100000006,
17877.9,µm^3,Filament,1,100000007,
41501,µm^3,Filament,1,100000008,
19105.9,µm^3,Filament,1,100000009,
51454.9,µm^3,Filament,1,100000010,
28741.1,µm^3,Filament,1,100000011,
89291.7,µm^3,Filament,1,100000012,
34423.2,µm^3,Filament,1,100000013,
