
Pt Time Type=Segment Terminal
 ==================== 
Pt Time,Unit,Category,Depth,Time,Type,FilamentID,ID,
0,s,Point,2,1,Segment Terminal,100000000,800000001,
0,s,Point,3,1,Segment Terminal,100000000,800000002,
0,s,Point,2,1,Segment Terminal,100000000,800000004,
0,s,Point,2,1,Segment Terminal,100000000,800000005,
0,s,Point,2,1,Segment Terminal,100000000,800000007,
0,s,Point,3,1,Segment Terminal,100000000,800000008,
0,s,Point,3,1,Segment Terminal,100000000,800000010,
0,s,Point,3,1,Segment Terminal,100000000,800000012,
0,s,Point,3,1,Segment Terminal,100000000,800000014,
0,s,Point,3,1,Segment Terminal,100000000,800000016,
0,s,Point,3,1,Segment Terminal,100000000,800000017,
0,s,Point,3,1,Segment Terminal,100000000,800000019,
0,s,Point,3,1,Segment Terminal,100000000,800000021,
0,s,Point,4,1,Segment Terminal,100000001,800000045,
0,s,Point,3,1,Segment Terminal,100000001,800000046,
0,s,Point,2,1,Segment Terminal,100000001,800000047,
0,s,Point,3,1,Segment Terminal,100000001,800000049,
0,s,Point,1,1,Segment Terminal,100000001,800000050,
0,s,Point,4,1,Segment Terminal,100000001,800000052,
0,s,Point,2,1,Segment Terminal,100000001,800000054,
0,s,Point,2,1,Segment Terminal,100000001,800000055,
0,s,Point,1,1,Segment Terminal,100000001,800000056,
0,s,Point,2,1,Segment Terminal,100000001,800000058,
0,s,Point,1,1,Segment Terminal,100000001,800000059,
0,s,Point,2,1,Segment Terminal,100000001,800000061,
0,s,Point,2,1,Segment Terminal,100000001,800000063,
0,s,Point,4,1,Segment Terminal,100000001,800000065,
0,s,Point,4,1,Segment Terminal,100000001,800000067,
0,s,Point,3,1,Segment Terminal,100000002,800000069,
0,s,Point,3,1,Segment Terminal,100000002,800000071,
0,s,Point,1,1,Segment Terminal,100000002,800000072,
0,s,Point,4,1,Segment Terminal,100000002,800000073,
0,s,Point,2,1,Segment Terminal,100000002,800000075,
0,s,Point,4,1,Segment Terminal,100000002,800000077,
0,s,Point,3,1,Segment Terminal,100000002,800000079,
0,s,Point,3,1,Segment Terminal,100000002,800000080,
0,s,Point,3,1,Segment Terminal,100000002,800000082,
0,s,Point,2,1,Segment Terminal,100000002,800000084,
0,s,Point,2,1,Segment Terminal,100000002,800000086,
0,s,Point,1,1,Segment Terminal,100000002,800000087,
0,s,Point,2,1,Segment Terminal,100000002,800000088,
0,s,Point,2,1,Segment Terminal,100000003,800000113,
0,s,Point,1,1,Segment Terminal,100000003,800000114,
0,s,Point,4,1,Segment Terminal,100000003,800000116,
0,s,Point,4,1,Segment Terminal,100000003,800000118,
0,s,Point,4,1,Segment Terminal,100000003,800000120,
0,s,Point,3,1,Segment Terminal,100000003,800000122,
0,s,Point,8,1,Segment Terminal,100000003,800000126,
0,s,Point,8,1,Segment Terminal,100000003,800000127,
0,s,Point,9,1,Segment Terminal,100000003,800000130,
0,s,Point,9,1,Segment Terminal,100000003,800000132,
0,s,Point,6,1,Segment Terminal,100000003,800000134,
0,s,Point,4,1,Segment Terminal,100000003,800000137,
0,s,Point,5,1,Segment Terminal,100000003,800000138,
0,s,Point,6,1,Segment Terminal,100000003,800000139,
0,s,Point,9,1,Segment Terminal,100000003,800000140,
0,s,Point,9,1,Segment Terminal,100000003,800000141,
0,s,Point,7,1,Segment Terminal,100000003,800000142,
0,s,Point,2,1,Segment Terminal,100000003,800000143,
0,s,Point,2,1,Segment Terminal,100000003,800000145,
0,s,Point,1,1,Segment Terminal,100000003,800000147,
0,s,Point,4,1,Segment Terminal,100000003,800000149,
0,s,Point,1,1,Segment Terminal,100000003,800000150,
0,s,Point,1,1,Segment Terminal,100000004,800000152,
0,s,Point,3,1,Segment Terminal,100000004,800000154,
0,s,Point,3,1,Segment Terminal,100000004,800000156,
0,s,Point,1,1,Segment Terminal,100000004,800000157,
0,s,Point,2,1,Segment Terminal,100000004,800000159,
0,s,Point,2,1,Segment Terminal,100000004,800000161,
0,s,Point,4,1,Segment Terminal,100000004,800000162,
0,s,Point,4,1,Segment Terminal,100000004,800000164,
0,s,Point,2,1,Segment Terminal,100000004,800000166,
0,s,Point,3,1,Segment Terminal,100000004,800000168,
0,s,Point,1,1,Segment Terminal,100000005,800000170,
