
Segment Branching Angle
 ==================== 
Segment Branching Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
0,°,Segment,1,1,1,100000000,510000000001,
8.94786,°,Segment,2,2,1,100000000,510000000007,
0,°,Segment,1,1,1,100000000,510000000045,
0.67782,°,Segment,2,1,1,100000000,510000000051,
4.63591,°,Segment,3,1,1,100000000,510000000053,
62.9136,°,Segment,2,2,1,100000000,510000000095,
0,°,Segment,1,1,1,100000000,510000000138,
11.3578,°,Segment,2,1,1,100000000,510000000141,
85.5344,°,Segment,2,2,1,100000000,510000000158,
5.65908,°,Segment,2,2,1,100000000,510000000189,
9.55232,°,Segment,3,2,1,100000000,510000000204,
95.1036,°,Segment,3,3,1,100000000,510000000217,
8.50073,°,Segment,3,1,1,100000000,510000000232,
94.5359,°,Segment,3,2,1,100000000,510000000259,
73.9867,°,Segment,3,2,1,100000000,510000000294,
17.847,°,Segment,3,2,1,100000000,510000000330,
14.2835,°,Segment,3,1,1,100000000,510000000372,
83.7576,°,Segment,3,2,1,100000000,510000000414,
2.19998,°,Segment,3,1,1,100000001,510000000431,
12.6864,°,Segment,4,1,1,100000001,510000000447,
0,°,Segment,1,1,1,100000001,510000000450,
5.18228,°,Segment,2,1,1,100000001,510000000454,
1.75402,°,Segment,3,1,1,100000001,510000000457,
0,°,Segment,1,1,1,100000001,510000000474,
8.09553,°,Segment,2,1,1,100000001,510000000481,
21.782,°,Segment,3,2,1,100000001,510000000495,
0,°,Segment,1,1,1,100000001,510000000505,
47.4035,°,Segment,3,2,1,100000001,510000000517,
6.14414,°,Segment,4,2,1,100000001,510000000524,
61.5592,°,Segment,2,2,1,100000001,510000000529,
0,°,Segment,1,1,1,100000001,510000000540,
24.6372,°,Segment,2,1,1,100000001,510000000543,
0,°,Segment,1,1,1,100000001,510000000562,
46.7454,°,Segment,2,2,1,100000001,510000000570,
0,°,Segment,1,1,1,100000001,510000000573,
63.0299,°,Segment,2,2,1,100000001,510000000580,
94.9918,°,Segment,2,2,1,100000001,510000000594,
37.725,°,Segment,4,3,1,100000001,510000000599,
95.3847,°,Segment,4,2,1,100000001,510000000610,
5.15138,°,Segment,2,1,1,100000002,510000000616,
