
Segment Center Intensity Max Ch=3 Img=1
 ==================== 
Segment Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
168,,Segment,3,1,Image 1,1,1,100000000,510000000001,
205,,Segment,3,2,Image 1,2,1,100000000,510000000007,
82,,Segment,3,1,Image 1,1,1,100000000,510000000045,
79,,Segment,3,2,Image 1,1,1,100000000,510000000051,
191,,Segment,3,3,Image 1,1,1,100000000,510000000053,
201,,Segment,3,2,Image 1,2,1,100000000,510000000095,
180,,Segment,3,1,Image 1,1,1,100000000,510000000138,
180,,Segment,3,2,Image 1,1,1,100000000,510000000141,
198,,Segment,3,2,Image 1,2,1,100000000,510000000158,
147,,Segment,3,2,Image 1,2,1,100000000,510000000189,
193,,Segment,3,3,Image 1,2,1,100000000,510000000204,
199,,Segment,3,3,Image 1,3,1,100000000,510000000217,
197,,Segment,3,3,Image 1,1,1,100000000,510000000232,
198,,Segment,3,3,Image 1,2,1,100000000,510000000259,
208,,Segment,3,3,Image 1,2,1,100000000,510000000294,
203,,Segment,3,3,Image 1,2,1,100000000,510000000330,
200,,Segment,3,3,Image 1,1,1,100000000,510000000372,
192,,Segment,3,3,Image 1,2,1,100000000,510000000414,
182,,Segment,3,3,Image 1,1,1,100000001,510000000431,
128,,Segment,3,4,Image 1,1,1,100000001,510000000447,
73,,Segment,3,1,Image 1,1,1,100000001,510000000450,
193,,Segment,3,2,Image 1,1,1,100000001,510000000454,
210,,Segment,3,3,Image 1,1,1,100000001,510000000457,
186,,Segment,3,1,Image 1,1,1,100000001,510000000474,
204,,Segment,3,2,Image 1,1,1,100000001,510000000481,
200,,Segment,3,3,Image 1,2,1,100000001,510000000495,
201,,Segment,3,1,Image 1,1,1,100000001,510000000505,
194,,Segment,3,3,Image 1,2,1,100000001,510000000517,
162,,Segment,3,4,Image 1,2,1,100000001,510000000524,
201,,Segment,3,2,Image 1,2,1,100000001,510000000529,
189,,Segment,3,1,Image 1,1,1,100000001,510000000540,
200,,Segment,3,2,Image 1,1,1,100000001,510000000543,
178,,Segment,3,1,Image 1,1,1,100000001,510000000562,
193,,Segment,3,2,Image 1,2,1,100000001,510000000570,
195,,Segment,3,1,Image 1,1,1,100000001,510000000573,
206,,Segment,3,2,Image 1,2,1,100000001,510000000580,
186,,Segment,3,2,Image 1,2,1,100000001,510000000594,
186,,Segment,3,4,Image 1,3,1,100000001,510000000599,
210,,Segment,3,4,Image 1,2,1,100000001,510000000610,
199,,Segment,3,2,Image 1,1,1,100000002,510000000616,
209,,Segment,3,3,Image 1,1,1,100000002,510000000635,
203,,Segment,3,3,Image 1,2,1,100000002,510000000663,
191,,Segment,3,1,Image 1,1,1,100000002,510000000685,
126,,Segment,3,2,Image 1,1,1,100000002,510000000709,
156,,Segment,3,3,Image 1,1,1,100000002,510000000711,
177,,Segment,3,4,Image 1,1,1,100000002,510000000716,
208,,Segment,3,2,Image 1,2,1,100000002,510000000726,
188,,Segment,3,4,Image 1,2,1,100000002,510000000743,
185,,Segment,3,3,Image 1,2,1,100000002,510000000755,
178,,Segment,3,1,Image 1,1,1,100000002,510000000760,
195,,Segment,3,3,Image 1,1,1,100000002,510000000765,
191,,Segment,3,3,Image 1,2,1,100000002,510000000773,
206,,Segment,3,2,Image 1,2,1,100000002,510000000783,
201,,Segment,3,2,Image 1,2,1,100000002,510000000798,
203,,Segment,3,1,Image 1,1,1,100000002,510000000824,
203,,Segment,3,2,Image 1,2,1,100000002,510000000832,
162,,Segment,3,2,Image 1,1,1,100000003,510000000846,
80,,Segment,3,0,Image 1,1,1,100000003,510000000855,
194,,Segment,3,1,Image 1,1,1,100000003,510000000857,
103,,Segment,3,3,Image 1,2,1,100000003,510000000884,
160,,Segment,3,4,Image 1,2,1,100000003,510000000886,
155,,Segment,3,3,Image 1,3,1,100000003,510000000893,
203,,Segment,3,4,Image 1,3,1,100000003,510000000899,
169,,Segment,3,4,Image 1,4,1,100000003,510000000907,
65,,Segment,3,2,Image 1,3,1,100000003,510000000910,
197,,Segment,3,3,Image 1,3,1,100000003,510000000912,
203,,Segment,3,3,Image 1,4,1,100000003,510000000934,
198,,Segment,3,8,Image 1,4,1,100000003,510000000951,
193,,Segment,3,8,Image 1,5,1,100000003,510000000961,
196,,Segment,3,8,Image 1,5,1,100000003,510000000979,
190,,Segment,3,9,Image 1,5,1,100000003,510000000986,
194,,Segment,3,8,Image 1,6,1,100000003,510000000995,
208,,Segment,3,9,Image 1,6,1,100000003,510000000997,
205,,Segment,3,6,Image 1,5,1,100000003,510000001012,
188,,Segment,3,5,Image 1,4,1,100000003,510000001037,
196,,Segment,3,4,Image 1,4,1,100000003,510000001057,
184,,Segment,3,5,Image 1,5,1,100000003,510000001060,
175,,Segment,3,6,Image 1,5,1,100000003,510000001062,
214,,Segment,3,9,Image 1,7,1,100000003,510000001072,
208,,Segment,3,9,Image 1,6,1,100000003,510000001077,
199,,Segment,3,7,Image 1,5,1,100000003,510000001085,
181,,Segment,3,2,Image 1,3,1,100000003,510000001099,
196,,Segment,3,2,Image 1,2,1,100000003,510000001118,
200,,Segment,3,1,Image 1,2,1,100000003,510000001127,
189,,Segment,3,4,Image 1,3,1,100000003,510000001138,
204,,Segment,3,1,Image 1,2,1,100000003,510000001158,
184,,Segment,3,1,Image 1,1,1,100000004,510000001175,
207,,Segment,3,2,Image 1,2,1,100000004,510000001196,
175,,Segment,3,3,Image 1,2,1,100000004,510000001204,
186,,Segment,3,3,Image 1,3,1,100000004,510000001211,
199,,Segment,3,1,Image 1,2,1,100000004,510000001218,
165,,Segment,3,1,Image 1,1,1,100000004,510000001242,
182,,Segment,3,2,Image 1,1,1,100000004,510000001244,
196,,Segment,3,2,Image 1,3,1,100000004,510000001259,
144,,Segment,3,2,Image 1,3,1,100000004,510000001270,
181,,Segment,3,3,Image 1,3,1,100000004,510000001272,
200,,Segment,3,4,Image 1,3,1,100000004,510000001275,
181,,Segment,3,4,Image 1,4,1,100000004,510000001293,
198,,Segment,3,2,Image 1,2,1,100000004,510000001302,
173,,Segment,3,3,Image 1,4,1,100000004,510000001319,
204,,Segment,3,1,Image 1,1,1,100000005,510000001337,
209,,Segment,3,1,Image 1,1,1,100000005,510000001375,
193,,Segment,3,2,Image 1,1,1,100000005,510000001403,
192,,Segment,3,1,Image 1,1,1,100000005,510000001419,
200,,Segment,3,1,Image 1,1,1,100000005,510000001434,
131,,Segment,3,1,Image 1,1,1,100000005,510000001466,
152,,Segment,3,2,Image 1,1,1,100000005,510000001468,
208,,Segment,3,3,Image 1,1,1,100000005,510000001470,
182,,Segment,3,2,Image 1,2,1,100000005,510000001515,
204,,Segment,3,3,Image 1,2,1,100000005,510000001517,
212,,Segment,3,3,Image 1,3,1,100000005,510000001545,
201,,Segment,3,3,Image 1,2,1,100000005,510000001563,
197,,Segment,3,2,Image 1,2,1,100000005,510000001589,
200,,Segment,3,3,Image 1,2,1,100000005,510000001599,
203,,Segment,3,3,Image 1,3,1,100000005,510000001611,
186,,Segment,3,2,Image 1,1,1,100000006,510000001633,
202,,Segment,3,2,Image 1,2,1,100000006,510000001648,
209,,Segment,3,2,Image 1,2,1,100000006,510000001680,
160,,Segment,3,2,Image 1,1,1,100000006,510000001689,
199,,Segment,3,3,Image 1,1,1,100000006,510000001692,
168,,Segment,3,2,Image 1,2,1,100000006,510000001734,
197,,Segment,3,3,Image 1,2,1,100000006,510000001744,
188,,Segment,3,3,Image 1,3,1,100000006,510000001753,
