
Segment Center Intensity Mean Ch=1 Img=1
 ==================== 
Segment Center Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
203.286,,Segment,1,1,Image 1,1,1,100000000,510000000001,
193.154,,Segment,1,2,Image 1,2,1,100000000,510000000007,
254.143,,Segment,1,1,Image 1,1,1,100000000,510000000045,
255,,Segment,1,2,Image 1,1,1,100000000,510000000051,
217.674,,Segment,1,3,Image 1,1,1,100000000,510000000053,
157.864,,Segment,1,2,Image 1,2,1,100000000,510000000095,
196,,Segment,1,1,Image 1,1,1,100000000,510000000138,
214.389,,Segment,1,2,Image 1,1,1,100000000,510000000141,
176,,Segment,1,2,Image 1,2,1,100000000,510000000158,
229.438,,Segment,1,2,Image 1,2,1,100000000,510000000189,
205.214,,Segment,1,3,Image 1,2,1,100000000,510000000204,
139.333,,Segment,1,3,Image 1,3,1,100000000,510000000217,
214.643,,Segment,1,3,Image 1,1,1,100000000,510000000232,
192.472,,Segment,1,3,Image 1,2,1,100000000,510000000259,
173.568,,Segment,1,3,Image 1,2,1,100000000,510000000294,
168.595,,Segment,1,3,Image 1,2,1,100000000,510000000330,
163.256,,Segment,1,3,Image 1,1,1,100000000,510000000372,
167.4,,Segment,1,3,Image 1,2,1,100000000,510000000414,
208.059,,Segment,1,3,Image 1,1,1,100000001,510000000431,
243,,Segment,1,4,Image 1,1,1,100000001,510000000447,
255,,Segment,1,1,Image 1,1,1,100000001,510000000450,
130.25,,Segment,1,2,Image 1,1,1,100000001,510000000454,
123.444,,Segment,1,3,Image 1,1,1,100000001,510000000457,
193.375,,Segment,1,1,Image 1,1,1,100000001,510000000474,
115.6,,Segment,1,2,Image 1,1,1,100000001,510000000481,
136.091,,Segment,1,3,Image 1,2,1,100000001,510000000495,
141.333,,Segment,1,1,Image 1,1,1,100000001,510000000505,
162.375,,Segment,1,3,Image 1,2,1,100000001,510000000517,
178.833,,Segment,1,4,Image 1,2,1,100000001,510000000524,
179,,Segment,1,2,Image 1,2,1,100000001,510000000529,
197.5,,Segment,1,1,Image 1,1,1,100000001,510000000540,
174.2,,Segment,1,2,Image 1,1,1,100000001,510000000543,
201.556,,Segment,1,1,Image 1,1,1,100000001,510000000562,
212.5,,Segment,1,2,Image 1,2,1,100000001,510000000570,
198,,Segment,1,1,Image 1,1,1,100000001,510000000573,
146.4,,Segment,1,2,Image 1,2,1,100000001,510000000580,
182.6,,Segment,1,2,Image 1,2,1,100000001,510000000594,
165.583,,Segment,1,4,Image 1,3,1,100000001,510000000599,
166.2,,Segment,1,4,Image 1,2,1,100000001,510000000610,
135.05,,Segment,1,2,Image 1,1,1,100000002,510000000616,
108.241,,Segment,1,3,Image 1,1,1,100000002,510000000635,
146.435,,Segment,1,3,Image 1,2,1,100000002,510000000663,
200.25,,Segment,1,1,Image 1,1,1,100000002,510000000685,
248.667,,Segment,1,2,Image 1,1,1,100000002,510000000709,
218.167,,Segment,1,3,Image 1,1,1,100000002,510000000711,
225.727,,Segment,1,4,Image 1,1,1,100000002,510000000716,
178.389,,Segment,1,2,Image 1,2,1,100000002,510000000726,
166.923,,Segment,1,4,Image 1,2,1,100000002,510000000743,
190,,Segment,1,3,Image 1,2,1,100000002,510000000755,
217,,Segment,1,1,Image 1,1,1,100000002,510000000760,
141.444,,Segment,1,3,Image 1,1,1,100000002,510000000765,
136.8,,Segment,1,3,Image 1,2,1,100000002,510000000773,
137.938,,Segment,1,2,Image 1,2,1,100000002,510000000783,
162.593,,Segment,1,2,Image 1,2,1,100000002,510000000798,
113,,Segment,1,1,Image 1,1,1,100000002,510000000824,
145.167,,Segment,1,2,Image 1,2,1,100000002,510000000832,
205.444,,Segment,1,2,Image 1,1,1,100000003,510000000846,
