
Segment Center Intensity Median Ch=2 Img=1
 ==================== 
Segment Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
100.125,,Segment,2,1,Image 1,1,1,100000000,510000000001,
139.125,,Segment,2,2,Image 1,2,1,100000000,510000000007,
61.0312,,Segment,2,1,Image 1,1,1,100000000,510000000045,
48.0078,,Segment,2,2,Image 1,1,1,100000000,510000000051,
129.125,,Segment,2,3,Image 1,1,1,100000000,510000000053,
176.125,,Segment,2,2,Image 1,2,1,100000000,510000000095,
100.125,,Segment,2,1,Image 1,1,1,100000000,510000000138,
114.062,,Segment,2,2,Image 1,1,1,100000000,510000000141,
148.125,,Segment,2,2,Image 1,2,1,100000000,510000000158,
99.5625,,Segment,2,2,Image 1,2,1,100000000,510000000189,
147.062,,Segment,2,3,Image 1,2,1,100000000,510000000204,
176.062,,Segment,2,3,Image 1,3,1,100000000,510000000217,
127.062,,Segment,2,3,Image 1,1,1,100000000,510000000232,
137.562,,Segment,2,3,Image 1,2,1,100000000,510000000259,
159.125,,Segment,2,3,Image 1,2,1,100000000,510000000294,
155.125,,Segment,2,3,Image 1,2,1,100000000,510000000330,
158.062,,Segment,2,3,Image 1,1,1,100000000,510000000372,
157.062,,Segment,2,3,Image 1,2,1,100000000,510000000414,
129.125,,Segment,2,3,Image 1,1,1,100000001,510000000431,
91.0625,,Segment,2,4,Image 1,1,1,100000001,510000000447,
27.0312,,Segment,2,1,Image 1,1,1,100000001,510000000450,
184.625,,Segment,2,2,Image 1,1,1,100000001,510000000454,
189.625,,Segment,2,3,Image 1,1,1,100000001,510000000457,
142.625,,Segment,2,1,Image 1,1,1,100000001,510000000474,
183.062,,Segment,2,2,Image 1,1,1,100000001,510000000481,
180.031,,Segment,2,3,Image 1,2,1,100000001,510000000495,
175.125,,Segment,2,1,Image 1,1,1,100000001,510000000505,
135.062,,Segment,2,3,Image 1,2,1,100000001,510000000517,
144.531,,Segment,2,4,Image 1,2,1,100000001,510000000524,
151.625,,Segment,2,2,Image 1,2,1,100000001,510000000529,
103.625,,Segment,2,1,Image 1,1,1,100000001,510000000540,
162.562,,Segment,2,2,Image 1,1,1,100000001,510000000543,
131.125,,Segment,2,1,Image 1,1,1,100000001,510000000562,
100.625,,Segment,2,2,Image 1,2,1,100000001,510000000570,
117.125,,Segment,2,1,Image 1,1,1,100000001,510000000573,
170.125,,Segment,2,2,Image 1,2,1,100000001,510000000580,
167.062,,Segment,2,2,Image 1,2,1,100000001,510000000594,
155.562,,Segment,2,4,Image 1,3,1,100000001,510000000599,
144.125,,Segment,2,4,Image 1,2,1,100000001,510000000610,
177.062,,Segment,2,2,Image 1,1,1,100000002,510000000616,
183.062,,Segment,2,3,Image 1,1,1,100000002,510000000635,
175.125,,Segment,2,3,Image 1,2,1,100000002,510000000663,
137.125,,Segment,2,1,Image 1,1,1,100000002,510000000685,
45.0625,,Segment,2,2,Image 1,1,1,100000002,510000000709,
128.625,,Segment,2,3,Image 1,1,1,100000002,510000000711,
131.031,,Segment,2,4,Image 1,1,1,100000002,510000000716,
144.125,,Segment,2,2,Image 1,2,1,100000002,510000000726,
164.031,,Segment,2,4,Image 1,2,1,100000002,510000000743,
160.625,,Segment,2,3,Image 1,2,1,100000002,510000000755,
85.125,,Segment,2,1,Image 1,1,1,100000002,510000000760,
170.031,,Segment,2,3,Image 1,1,1,100000002,510000000765,
171.062,,Segment,2,3,Image 1,2,1,100000002,510000000773,
173.625,,Segment,2,2,Image 1,2,1,100000002,510000000783,
165.062,,Segment,2,2,Image 1,2,1,100000002,510000000798,
183.125,,Segment,2,1,Image 1,1,1,100000002,510000000824,
171.562,,Segment,2,2,Image 1,2,1,100000002,510000000832,
138.062,,Segment,2,2,Image 1,1,1,100000003,510000000846,
68.5156,,Segment,2,0,Image 1,1,1,100000003,510000000855,
171.562,,Segment,2,1,Image 1,1,1,100000003,510000000857,
63.0312,,Segment,2,3,Image 1,2,1,100000003,510000000884,
97.625,,Segment,2,4,Image 1,2,1,100000003,510000000886,
81.0625,,Segment,2,3,Image 1,3,1,100000003,510000000893,
163.062,,Segment,2,4,Image 1,3,1,100000003,510000000899,
142.031,,Segment,2,4,Image 1,4,1,100000003,510000000907,
27.0312,,Segment,2,2,Image 1,3,1,100000003,510000000910,
174.125,,Segment,2,3,Image 1,3,1,100000003,510000000912,
181.125,,Segment,2,3,Image 1,4,1,100000003,510000000934,
164.062,,Segment,2,8,Image 1,4,1,100000003,510000000951,
169.031,,Segment,2,8,Image 1,5,1,100000003,510000000961,
167.625,,Segment,2,8,Image 1,5,1,100000003,510000000979,
149.625,,Segment,2,9,Image 1,5,1,100000003,510000000986,
155.031,,Segment,2,8,Image 1,6,1,100000003,510000000995,
176.062,,Segment,2,9,Image 1,6,1,100000003,510000000997,
167.625,,Segment,2,6,Image 1,5,1,100000003,510000001012,
179.125,,Segment,2,5,Image 1,4,1,100000003,510000001037,
153.125,,Segment,2,4,Image 1,4,1,100000003,510000001057,
179.031,,Segment,2,5,Image 1,5,1,100000003,510000001060,
140.125,,Segment,2,6,Image 1,5,1,100000003,510000001062,
161.125,,Segment,2,9,Image 1,7,1,100000003,510000001072,
192.062,,Segment,2,9,Image 1,6,1,100000003,510000001077,
167.125,,Segment,2,7,Image 1,5,1,100000003,510000001085,
91.125,,Segment,2,2,Image 1,3,1,100000003,510000001099,
158.062,,Segment,2,2,Image 1,2,1,100000003,510000001118,
142.062,,Segment,2,1,Image 1,2,1,100000003,510000001127,
