
Segment Center Intensity Min Ch=3 Img=1
 ==================== 
Segment Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
24,,Segment,3,1,Image 1,1,1,100000000,510000000001,
77,,Segment,3,2,Image 1,2,1,100000000,510000000007,
24,,Segment,3,1,Image 1,1,1,100000000,510000000045,
53,,Segment,3,2,Image 1,1,1,100000000,510000000051,
78,,Segment,3,3,Image 1,1,1,100000000,510000000053,
53,,Segment,3,2,Image 1,2,1,100000000,510000000095,
24,,Segment,3,1,Image 1,1,1,100000000,510000000138,
55,,Segment,3,2,Image 1,1,1,100000000,510000000141,
9,,Segment,3,2,Image 1,2,1,100000000,510000000158,
41,,Segment,3,2,Image 1,2,1,100000000,510000000189,
71,,Segment,3,3,Image 1,2,1,100000000,510000000204,
121,,Segment,3,3,Image 1,3,1,100000000,510000000217,
85,,Segment,3,3,Image 1,1,1,100000000,510000000232,
89,,Segment,3,3,Image 1,2,1,100000000,510000000259,
61,,Segment,3,3,Image 1,2,1,100000000,510000000294,
67,,Segment,3,3,Image 1,2,1,100000000,510000000330,
96,,Segment,3,3,Image 1,1,1,100000000,510000000372,
76,,Segment,3,3,Image 1,2,1,100000000,510000000414,
50,,Segment,3,3,Image 1,1,1,100000001,510000000431,
50,,Segment,3,4,Image 1,1,1,100000001,510000000447,
6,,Segment,3,1,Image 1,1,1,100000001,510000000450,
73,,Segment,3,2,Image 1,1,1,100000001,510000000454,
44,,Segment,3,3,Image 1,1,1,100000001,510000000457,
26,,Segment,3,1,Image 1,1,1,100000001,510000000474,
102,,Segment,3,2,Image 1,1,1,100000001,510000000481,
175,,Segment,3,3,Image 1,2,1,100000001,510000000495,
26,,Segment,3,1,Image 1,1,1,100000001,510000000505,
97,,Segment,3,3,Image 1,2,1,100000001,510000000517,
126,,Segment,3,4,Image 1,2,1,100000001,510000000524,
69,,Segment,3,2,Image 1,2,1,100000001,510000000529,
26,,Segment,3,1,Image 1,1,1,100000001,510000000540,
95,,Segment,3,2,Image 1,1,1,100000001,510000000543,
26,,Segment,3,1,Image 1,1,1,100000001,510000000562,
62,,Segment,3,2,Image 1,2,1,100000001,510000000570,
7,,Segment,3,1,Image 1,1,1,100000001,510000000573,
61,,Segment,3,2,Image 1,2,1,100000001,510000000580,
109,,Segment,3,2,Image 1,2,1,100000001,510000000594,
122,,Segment,3,4,Image 1,3,1,100000001,510000000599,
50,,Segment,3,4,Image 1,2,1,100000001,510000000610,
126,,Segment,3,2,Image 1,1,1,100000002,510000000616,
123,,Segment,3,3,Image 1,1,1,100000002,510000000635,
78,,Segment,3,3,Image 1,2,1,100000002,510000000663,
28,,Segment,3,1,Image 1,1,1,100000002,510000000685,
8,,Segment,3,2,Image 1,1,1,100000002,510000000709,
8,,Segment,3,3,Image 1,1,1,100000002,510000000711,
86,,Segment,3,4,Image 1,1,1,100000002,510000000716,
41,,Segment,3,2,Image 1,2,1,100000002,510000000726,
135,,Segment,3,4,Image 1,2,1,100000002,510000000743,
0,,Segment,3,3,Image 1,2,1,100000002,510000000755,
28,,Segment,3,1,Image 1,1,1,100000002,510000000760,
142,,Segment,3,3,Image 1,1,1,100000002,510000000765,
95,,Segment,3,3,Image 1,2,1,100000002,510000000773,
79,,Segment,3,2,Image 1,2,1,100000002,510000000783,
89,,Segment,3,2,Image 1,2,1,100000002,510000000798,
28,,Segment,3,1,Image 1,1,1,100000002,510000000824,
126,,Segment,3,2,Image 1,2,1,100000002,510000000832,
97,,Segment,3,2,Image 1,1,1,100000003,510000000846,
57,,Segment,3,0,Image 1,1,1,100000003,510000000855,
80,,Segment,3,1,Image 1,1,1,100000003,510000000857,
32,,Segment,3,3,Image 1,2,1,100000003,510000000884,
64,,Segment,3,4,Image 1,2,1,100000003,510000000886,
32,,Segment,3,3,Image 1,3,1,100000003,510000000893,
