
Segment Center Intensity StdDev Ch=2 Img=1
 ==================== 
Segment Center Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
48.24,,Segment,2,1,Image 1,1,1,100000000,510000000001,
35.1382,,Segment,2,2,Image 1,2,1,100000000,510000000007,
15.9502,,Segment,2,1,Image 1,1,1,100000000,510000000045,
3.77124,,Segment,2,2,Image 1,1,1,100000000,510000000051,
35.4219,,Segment,2,3,Image 1,1,1,100000000,510000000053,
32.4609,,Segment,2,2,Image 1,2,1,100000000,510000000095,
65.6368,,Segment,2,1,Image 1,1,1,100000000,510000000138,
31.2258,,Segment,2,2,Image 1,1,1,100000000,510000000141,
58.4149,,Segment,2,2,Image 1,2,1,100000000,510000000158,
23.7552,,Segment,2,2,Image 1,2,1,100000000,510000000189,
37.4899,,Segment,2,3,Image 1,2,1,100000000,510000000204,
25.0399,,Segment,2,3,Image 1,3,1,100000000,510000000217,
30.5942,,Segment,2,3,Image 1,1,1,100000000,510000000232,
34.7858,,Segment,2,3,Image 1,2,1,100000000,510000000259,
48.1279,,Segment,2,3,Image 1,2,1,100000000,510000000294,
43.4232,,Segment,2,3,Image 1,2,1,100000000,510000000330,
31.6994,,Segment,2,3,Image 1,1,1,100000000,510000000372,
41.0932,,Segment,2,3,Image 1,2,1,100000000,510000000414,
30.5328,,Segment,2,3,Image 1,1,1,100000001,510000000431,
32.9886,,Segment,2,4,Image 1,1,1,100000001,510000000447,
19.9038,,Segment,2,1,Image 1,1,1,100000001,510000000450,
55.1696,,Segment,2,2,Image 1,1,1,100000001,510000000454,
48.7117,,Segment,2,3,Image 1,1,1,100000001,510000000457,
46.8582,,Segment,2,1,Image 1,1,1,100000001,510000000474,
28.6004,,Segment,2,2,Image 1,1,1,100000001,510000000481,
10.7234,,Segment,2,3,Image 1,2,1,100000001,510000000495,
47.2543,,Segment,2,1,Image 1,1,1,100000001,510000000505,
33.1851,,Segment,2,3,Image 1,2,1,100000001,510000000517,
19.6758,,Segment,2,4,Image 1,2,1,100000001,510000000524,
37.7274,,Segment,2,2,Image 1,2,1,100000001,510000000529,
58.0189,,Segment,2,1,Image 1,1,1,100000001,510000000540,
36.1979,,Segment,2,2,Image 1,1,1,100000001,510000000543,
57.3198,,Segment,2,1,Image 1,1,1,100000001,510000000562,
72.3788,,Segment,2,2,Image 1,2,1,100000001,510000000570,
73.0719,,Segment,2,1,Image 1,1,1,100000001,510000000573,
36.5613,,Segment,2,2,Image 1,2,1,100000001,510000000580,
36.4933,,Segment,2,2,Image 1,2,1,100000001,510000000594,
24.483,,Segment,2,4,Image 1,3,1,100000001,510000000599,
50.7425,,Segment,2,4,Image 1,2,1,100000001,510000000610,
22.4777,,Segment,2,2,Image 1,1,1,100000002,510000000616,
19.5376,,Segment,2,3,Image 1,1,1,100000002,510000000635,
34.3413,,Segment,2,3,Image 1,2,1,100000002,510000000663,
36.4702,,Segment,2,1,Image 1,1,1,100000002,510000000685,
42.5284,,Segment,2,2,Image 1,1,1,100000002,510000000709,
48.7388,,Segment,2,3,Image 1,1,1,100000002,510000000711,
17.2526,,Segment,2,4,Image 1,1,1,100000002,510000000716,
42.8667,,Segment,2,2,Image 1,2,1,100000002,510000000726,
18.6655,,Segment,2,4,Image 1,2,1,100000002,510000000743,
80.671,,Segment,2,3,Image 1,2,1,100000002,510000000755,
51.96,,Segment,2,1,Image 1,1,1,100000002,510000000760,
18.2817,,Segment,2,3,Image 1,1,1,100000002,510000000765,
27.508,,Segment,2,3,Image 1,2,1,100000002,510000000773,
43.5147,,Segment,2,2,Image 1,2,1,100000002,510000000783,
30.1871,,Segment,2,2,Image 1,2,1,100000002,510000000798,
49.3741,,Segment,2,1,Image 1,1,1,100000002,510000000824,
20.9543,,Segment,2,2,Image 1,2,1,100000002,510000000832,
29.8333,,Segment,2,2,Image 1,1,1,100000003,510000000846,
