
Segment Center Intensity Sum Ch=3 Img=1
 ==================== 
Segment Center Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
739,,Segment,3,1,Image 1,1,1,100000000,510000000001,
5653,,Segment,3,2,Image 1,2,1,100000000,510000000007,
402,,Segment,3,1,Image 1,1,1,100000000,510000000045,
193,,Segment,3,2,Image 1,1,1,100000000,510000000051,
5844,,Segment,3,3,Image 1,1,1,100000000,510000000053,
7515,,Segment,3,2,Image 1,2,1,100000000,510000000095,
399,,Segment,3,1,Image 1,1,1,100000000,510000000138,
2085,,Segment,3,2,Image 1,1,1,100000000,510000000141,
4373,,Segment,3,2,Image 1,2,1,100000000,510000000158,
1727,,Segment,3,2,Image 1,2,1,100000000,510000000189,
1964,,Segment,3,3,Image 1,2,1,100000000,510000000204,
2511,,Segment,3,3,Image 1,3,1,100000000,510000000217,
4081,,Segment,3,3,Image 1,1,1,100000000,510000000232,
5296,,Segment,3,3,Image 1,2,1,100000000,510000000259,
5707,,Segment,3,3,Image 1,2,1,100000000,510000000294,
6560,,Segment,3,3,Image 1,2,1,100000000,510000000330,
6757,,Segment,3,3,Image 1,1,1,100000000,510000000372,
2221,,Segment,3,3,Image 1,2,1,100000000,510000000414,
2269,,Segment,3,3,Image 1,1,1,100000001,510000000431,
361,,Segment,3,4,Image 1,1,1,100000001,510000000447,
172,,Segment,3,1,Image 1,1,1,100000001,510000000450,
627,,Segment,3,2,Image 1,1,1,100000001,510000000454,
3179,,Segment,3,3,Image 1,1,1,100000001,510000000457,
1051,,Segment,3,1,Image 1,1,1,100000001,510000000474,
2677,,Segment,3,2,Image 1,1,1,100000001,510000000481,
2076,,Segment,3,3,Image 1,2,1,100000001,510000000495,
1877,,Segment,3,1,Image 1,1,1,100000001,510000000505,
1170,,Segment,3,3,Image 1,2,1,100000001,510000000517,
881,,Segment,3,4,Image 1,2,1,100000001,510000000524,
1806,,Segment,3,2,Image 1,2,1,100000001,510000000529,
435,,Segment,3,1,Image 1,1,1,100000001,510000000540,
