
Segment Intensity Max Ch=3 Img=1
 ==================== 
Segment Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
189,,Segment,3,1,Image 1,1,1,100000000,510000000001,
205,,Segment,3,2,Image 1,2,1,100000000,510000000007,
162,,Segment,3,1,Image 1,1,1,100000000,510000000045,
180,,Segment,3,2,Image 1,1,1,100000000,510000000051,
211,,Segment,3,3,Image 1,1,1,100000000,510000000053,
219,,Segment,3,2,Image 1,2,1,100000000,510000000095,
201,,Segment,3,1,Image 1,1,1,100000000,510000000138,
201,,Segment,3,2,Image 1,1,1,100000000,510000000141,
210,,Segment,3,2,Image 1,2,1,100000000,510000000158,
205,,Segment,3,2,Image 1,2,1,100000000,510000000189,
197,,Segment,3,3,Image 1,2,1,100000000,510000000204,
206,,Segment,3,3,Image 1,3,1,100000000,510000000217,
214,,Segment,3,3,Image 1,1,1,100000000,510000000232,
210,,Segment,3,3,Image 1,2,1,100000000,510000000259,
216,,Segment,3,3,Image 1,2,1,100000000,510000000294,
216,,Segment,3,3,Image 1,2,1,100000000,510000000330,
213,,Segment,3,3,Image 1,1,1,100000000,510000000372,
198,,Segment,3,3,Image 1,2,1,100000000,510000000414,
210,,Segment,3,3,Image 1,1,1,100000001,510000000431,
165,,Segment,3,4,Image 1,1,1,100000001,510000000447,
218,,Segment,3,1,Image 1,1,1,100000001,510000000450,
218,,Segment,3,2,Image 1,1,1,100000001,510000000454,
222,,Segment,3,3,Image 1,1,1,100000001,510000000457,
204,,Segment,3,1,Image 1,1,1,100000001,510000000474,
214,,Segment,3,2,Image 1,1,1,100000001,510000000481,
217,,Segment,3,3,Image 1,2,1,100000001,510000000495,
208,,Segment,3,1,Image 1,1,1,100000001,510000000505,
202,,Segment,3,3,Image 1,2,1,100000001,510000000517,
203,,Segment,3,4,Image 1,2,1,100000001,510000000524,
210,,Segment,3,2,Image 1,2,1,100000001,510000000529,
216,,Segment,3,1,Image 1,1,1,100000001,510000000540,
212,,Segment,3,2,Image 1,1,1,100000001,510000000543,
227,,Segment,3,1,Image 1,1,1,100000001,510000000562,
218,,Segment,3,2,Image 1,2,1,100000001,510000000570,
211,,Segment,3,1,Image 1,1,1,100000001,510000000573,
211,,Segment,3,2,Image 1,2,1,100000001,510000000580,
206,,Segment,3,2,Image 1,2,1,100000001,510000000594,
195,,Segment,3,4,Image 1,3,1,100000001,510000000599,
216,,Segment,3,4,Image 1,2,1,100000001,510000000610,
217,,Segment,3,2,Image 1,1,1,100000002,510000000616,
218,,Segment,3,3,Image 1,1,1,100000002,510000000635,
227,,Segment,3,3,Image 1,2,1,100000002,510000000663,
219,,Segment,3,1,Image 1,1,1,100000002,510000000685,
