
Segment Intensity Mean Ch=3 Img=1
 ==================== 
Segment Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
48.5091,,Segment,3,1,Image 1,1,1,100000000,510000000001,
147.969,,Segment,3,2,Image 1,2,1,100000000,510000000007,
35.4091,,Segment,3,1,Image 1,1,1,100000000,510000000045,
74.6,,Segment,3,2,Image 1,1,1,100000000,510000000051,
144.534,,Segment,3,3,Image 1,1,1,100000000,510000000053,
167.254,,Segment,3,2,Image 1,2,1,100000000,510000000095,
40.0743,,Segment,3,1,Image 1,1,1,100000000,510000000138,
131.606,,Segment,3,2,Image 1,1,1,100000000,510000000141,
142.13,,Segment,3,2,Image 1,2,1,100000000,510000000158,
118.619,,Segment,3,2,Image 1,2,1,100000000,510000000189,
155.263,,Segment,3,3,Image 1,2,1,100000000,510000000204,
165.397,,Segment,3,3,Image 1,3,1,100000000,510000000217,
154.072,,Segment,3,3,Image 1,1,1,100000000,510000000232,
150.133,,Segment,3,3,Image 1,2,1,100000000,510000000259,
161.674,,Segment,3,3,Image 1,2,1,100000000,510000000294,
159.837,,Segment,3,3,Image 1,2,1,100000000,510000000330,
159.646,,Segment,3,3,Image 1,1,1,100000000,510000000372,
142.293,,Segment,3,3,Image 1,2,1,100000000,510000000414,
140.79,,Segment,3,3,Image 1,1,1,100000001,510000000431,
121.712,,Segment,3,4,Image 1,1,1,100000001,510000000447,
49.2018,,Segment,3,1,Image 1,1,1,100000001,510000000450,
153.189,,Segment,3,2,Image 1,1,1,100000001,510000000454,
180.897,,Segment,3,3,Image 1,1,1,100000001,510000000457,
65.2789,,Segment,3,1,Image 1,1,1,100000001,510000000474,
176.596,,Segment,3,2,Image 1,1,1,100000001,510000000481,
181.34,,Segment,3,3,Image 1,2,1,100000001,510000000495,
77.8855,,Segment,3,1,Image 1,1,1,100000001,510000000505,
143.989,,Segment,3,3,Image 1,2,1,100000001,510000000517,
152.041,,Segment,3,4,Image 1,2,1,100000001,510000000524,
145.75,,Segment,3,2,Image 1,2,1,100000001,510000000529,
67.8916,,Segment,3,1,Image 1,1,1,100000001,510000000540,
151.038,,Segment,3,2,Image 1,1,1,100000001,510000000543,
67.3596,,Segment,3,1,Image 1,1,1,100000001,510000000562,
147.951,,Segment,3,2,Image 1,2,1,100000001,510000000570,
76.9221,,Segment,3,1,Image 1,1,1,100000001,510000000573,
159.432,,Segment,3,2,Image 1,2,1,100000001,510000000580,
171.866,,Segment,3,2,Image 1,2,1,100000001,510000000594,
148.904,,Segment,3,4,Image 1,3,1,100000001,510000000599,
161.139,,Segment,3,4,Image 1,2,1,100000001,510000000610,
169.315,,Segment,3,2,Image 1,1,1,100000002,510000000616,
181.13,,Segment,3,3,Image 1,1,1,100000002,510000000635,
175.451,,Segment,3,3,Image 1,2,1,100000002,510000000663,
106.21,,Segment,3,1,Image 1,1,1,100000002,510000000685,
110.524,,Segment,3,2,Image 1,1,1,100000002,510000000709,
139.5,,Segment,3,3,Image 1,1,1,100000002,510000000711,
150.335,,Segment,3,4,Image 1,1,1,100000002,510000000716,
140.992,,Segment,3,2,Image 1,2,1,100000002,510000000726,
166.469,,Segment,3,4,Image 1,2,1,100000002,510000000743,
161.931,,Segment,3,3,Image 1,2,1,100000002,510000000755,
70.7809,,Segment,3,1,Image 1,1,1,100000002,510000000760,
160.805,,Segment,3,3,Image 1,1,1,100000002,510000000765,
161.864,,Segment,3,3,Image 1,2,1,100000002,510000000773,
169.662,,Segment,3,2,Image 1,2,1,100000002,510000000783,
165.527,,Segment,3,2,Image 1,2,1,100000002,510000000798,
99.244,,Segment,3,1,Image 1,1,1,100000002,510000000824,
