
Segment Intensity Min Ch=2 Img=1
 ==================== 
Segment Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Segment,2,1,Image 1,1,1,100000000,510000000001,
27,,Segment,2,2,Image 1,2,1,100000000,510000000007,
0,,Segment,2,1,Image 1,1,1,100000000,510000000045,
0,,Segment,2,2,Image 1,1,1,100000000,510000000051,
0,,Segment,2,3,Image 1,1,1,100000000,510000000053,
1,,Segment,2,2,Image 1,2,1,100000000,510000000095,
0,,Segment,2,1,Image 1,1,1,100000000,510000000138,
0,,Segment,2,2,Image 1,1,1,100000000,510000000141,
0,,Segment,2,2,Image 1,2,1,100000000,510000000158,
10,,Segment,2,2,Image 1,2,1,100000000,510000000189,
61,,Segment,2,3,Image 1,2,1,100000000,510000000204,
0,,Segment,2,3,Image 1,3,1,100000000,510000000217,
8,,Segment,2,3,Image 1,1,1,100000000,510000000232,
8,,Segment,2,3,Image 1,2,1,100000000,510000000259,
0,,Segment,2,3,Image 1,2,1,100000000,510000000294,
0,,Segment,2,3,Image 1,2,1,100000000,510000000330,
0,,Segment,2,3,Image 1,1,1,100000000,510000000372,
0,,Segment,2,3,Image 1,2,1,100000000,510000000414,
31,,Segment,2,3,Image 1,1,1,100000001,510000000431,
48,,Segment,2,4,Image 1,1,1,100000001,510000000447,
0,,Segment,2,1,Image 1,1,1,100000001,510000000450,
0,,Segment,2,2,Image 1,1,1,100000001,510000000454,
0,,Segment,2,3,Image 1,1,1,100000001,510000000457,
0,,Segment,2,1,Image 1,1,1,100000001,510000000474,
12,,Segment,2,2,Image 1,1,1,100000001,510000000481,
0,,Segment,2,3,Image 1,2,1,100000001,510000000495,
0,,Segment,2,1,Image 1,1,1,100000001,510000000505,
5,,Segment,2,3,Image 1,2,1,100000001,510000000517,
14,,Segment,2,4,Image 1,2,1,100000001,510000000524,
0,,Segment,2,2,Image 1,2,1,100000001,510000000529,
0,,Segment,2,1,Image 1,1,1,100000001,510000000540,
11,,Segment,2,2,Image 1,1,1,100000001,510000000543,
0,,Segment,2,1,Image 1,1,1,100000001,510000000562,
0,,Segment,2,2,Image 1,2,1,100000001,510000000570,
0,,Segment,2,1,Image 1,1,1,100000001,510000000573,
0,,Segment,2,2,Image 1,2,1,100000001,510000000580,
47,,Segment,2,2,Image 1,2,1,100000001,510000000594,
7,,Segment,2,4,Image 1,3,1,100000001,510000000599,
42,,Segment,2,4,Image 1,2,1,100000001,510000000610,
21,,Segment,2,2,Image 1,1,1,100000002,510000000616,
0,,Segment,2,3,Image 1,1,1,100000002,510000000635,
0,,Segment,2,3,Image 1,2,1,100000002,510000000663,
0,,Segment,2,1,Image 1,1,1,100000002,510000000685,
0,,Segment,2,2,Image 1,1,1,100000002,510000000709,
0,,Segment,2,3,Image 1,1,1,100000002,510000000711,
0,,Segment,2,4,Image 1,1,1,100000002,510000000716,
0,,Segment,2,2,Image 1,2,1,100000002,510000000726,
51,,Segment,2,4,Image 1,2,1,100000002,510000000743,
0,,Segment,2,3,Image 1,2,1,100000002,510000000755,
0,,Segment,2,1,Image 1,1,1,100000002,510000000760,
0,,Segment,2,3,Image 1,1,1,100000002,510000000765,
18,,Segment,2,3,Image 1,2,1,100000002,510000000773,
0,,Segment,2,2,Image 1,2,1,100000002,510000000783,
0,,Segment,2,2,Image 1,2,1,100000002,510000000798,
0,,Segment,2,1,Image 1,1,1,100000002,510000000824,
0,,Segment,2,2,Image 1,2,1,100000002,510000000832,
50,,Segment,2,2,Image 1,1,1,100000003,510000000846,
5,,Segment,2,0,Image 1,1,1,100000003,510000000855,
9,,Segment,2,1,Image 1,1,1,100000003,510000000857,
0,,Segment,2,3,Image 1,2,1,100000003,510000000884,
0,,Segment,2,4,Image 1,2,1,100000003,510000000886,
0,,Segment,2,3,Image 1,3,1,100000003,510000000893,
34,,Segment,2,4,Image 1,3,1,100000003,510000000899,
49,,Segment,2,4,Image 1,4,1,100000003,510000000907,
6,,Segment,2,2,Image 1,3,1,100000003,510000000910,
6,,Segment,2,3,Image 1,3,1,100000003,510000000912,
4,,Segment,2,3,Image 1,4,1,100000003,510000000934,
63,,Segment,2,8,Image 1,4,1,100000003,510000000951,
21,,Segment,2,8,Image 1,5,1,100000003,510000000961,
0,,Segment,2,8,Image 1,5,1,100000003,510000000979,
0,,Segment,2,9,Image 1,5,1,100000003,510000000986,
0,,Segment,2,8,Image 1,6,1,100000003,510000000995,
32,,Segment,2,9,Image 1,6,1,100000003,510000000997,
0,,Segment,2,6,Image 1,5,1,100000003,510000001012,
0,,Segment,2,5,Image 1,4,1,100000003,510000001037,
