
Segment Intensity StdDev Ch=1 Img=1
 ==================== 
Segment Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
33.4531,,Segment,1,1,Image 1,1,1,100000000,510000000001,
52.4609,,Segment,1,2,Image 1,2,1,100000000,510000000007,
14.1246,,Segment,1,1,Image 1,1,1,100000000,510000000045,
29.1797,,Segment,1,2,Image 1,1,1,100000000,510000000051,
50.5034,,Segment,1,3,Image 1,1,1,100000000,510000000053,
47.0935,,Segment,1,2,Image 1,2,1,100000000,510000000095,
38.9009,,Segment,1,1,Image 1,1,1,100000000,510000000138,
65.8799,,Segment,1,2,Image 1,1,1,100000000,510000000141,
70.9891,,Segment,1,2,Image 1,2,1,100000000,510000000158,
50.4463,,Segment,1,2,Image 1,2,1,100000000,510000000189,
47.456,,Segment,1,3,Image 1,2,1,100000000,510000000204,
61.2491,,Segment,1,3,Image 1,3,1,100000000,510000000217,
49.6687,,Segment,1,3,Image 1,1,1,100000000,510000000232,
57.8451,,Segment,1,3,Image 1,2,1,100000000,510000000259,
69.1164,,Segment,1,3,Image 1,2,1,100000000,510000000294,
65.8227,,Segment,1,3,Image 1,2,1,100000000,510000000330,
57.9343,,Segment,1,3,Image 1,1,1,100000000,510000000372,
66.5637,,Segment,1,3,Image 1,2,1,100000000,510000000414,
47.4131,,Segment,1,3,Image 1,1,1,100000001,510000000431,
28.2265,,Segment,1,4,Image 1,1,1,100000001,510000000447,
28.8406,,Segment,1,1,Image 1,1,1,100000001,510000000450,
72.0652,,Segment,1,2,Image 1,1,1,100000001,510000000454,
62.3814,,Segment,1,3,Image 1,1,1,100000001,510000000457,
42.7772,,Segment,1,1,Image 1,1,1,100000001,510000000474,
45.9472,,Segment,1,2,Image 1,1,1,100000001,510000000481,
53.9285,,Segment,1,3,Image 1,2,1,100000001,510000000495,
70.7505,,Segment,1,1,Image 1,1,1,100000001,510000000505,
67.2979,,Segment,1,3,Image 1,2,1,100000001,510000000517,
51.1005,,Segment,1,4,Image 1,2,1,100000001,510000000524,
68.2545,,Segment,1,2,Image 1,2,1,100000001,510000000529,
63.1558,,Segment,1,1,Image 1,1,1,100000001,510000000540,
58.1737,,Segment,1,2,Image 1,1,1,100000001,510000000543,
55.7807,,Segment,1,1,Image 1,1,1,100000001,510000000562,
74.24,,Segment,1,2,Image 1,2,1,100000001,510000000570,
73.8879,,Segment,1,1,Image 1,1,1,100000001,510000000573,
63.4315,,Segment,1,2,Image 1,2,1,100000001,510000000580,
55.3412,,Segment,1,2,Image 1,2,1,100000001,510000000594,
61.8869,,Segment,1,4,Image 1,3,1,100000001,510000000599,
71.299,,Segment,1,4,Image 1,2,1,100000001,510000000610,
51.4901,,Segment,1,2,Image 1,1,1,100000002,510000000616,
55.6321,,Segment,1,3,Image 1,1,1,100000002,510000000635,
58.3745,,Segment,1,3,Image 1,2,1,100000002,510000000663,
53.5951,,Segment,1,1,Image 1,1,1,100000002,510000000685,
73.5218,,Segment,1,2,Image 1,1,1,100000002,510000000709,
43.6976,,Segment,1,3,Image 1,1,1,100000002,510000000711,
47.3339,,Segment,1,4,Image 1,1,1,100000002,510000000716,
70.6181,,Segment,1,2,Image 1,2,1,100000002,510000000726,
58.9304,,Segment,1,4,Image 1,2,1,100000002,510000000743,
77.5008,,Segment,1,3,Image 1,2,1,100000002,510000000755,
42.6927,,Segment,1,1,Image 1,1,1,100000002,510000000760,
56.8633,,Segment,1,3,Image 1,1,1,100000002,510000000765,
53.6143,,Segment,1,3,Image 1,2,1,100000002,510000000773,
59.0415,,Segment,1,2,Image 1,2,1,100000002,510000000783,
58.7633,,Segment,1,2,Image 1,2,1,100000002,510000000798,
85.2861,,Segment,1,1,Image 1,1,1,100000002,510000000824,
66.3616,,Segment,1,2,Image 1,2,1,100000002,510000000832,
65.7668,,Segment,1,2,Image 1,1,1,100000003,510000000846,
38.6466,,Segment,1,0,Image 1,1,1,100000003,510000000855,
54.5598,,Segment,1,1,Image 1,1,1,100000003,510000000857,
38.0438,,Segment,1,3,Image 1,2,1,100000003,510000000884,
67.5509,,Segment,1,4,Image 1,2,1,100000003,510000000886,
54.8055,,Segment,1,3,Image 1,3,1,100000003,510000000893,
58.6936,,Segment,1,4,Image 1,3,1,100000003,510000000899,
57.7263,,Segment,1,4,Image 1,4,1,100000003,510000000907,
3.23754,,Segment,1,2,Image 1,3,1,100000003,510000000910,
55.3632,,Segment,1,3,Image 1,3,1,100000003,510000000912,
70.9469,,Segment,1,3,Image 1,4,1,100000003,510000000934,
55.4285,,Segment,1,8,Image 1,4,1,100000003,510000000951,
56.6319,,Segment,1,8,Image 1,5,1,100000003,510000000961,
62.0576,,Segment,1,8,Image 1,5,1,100000003,510000000979,
52.0307,,Segment,1,9,Image 1,5,1,100000003,510000000986,
72.4579,,Segment,1,8,Image 1,6,1,100000003,510000000995,
53.4674,,Segment,1,9,Image 1,6,1,100000003,510000000997,
69.2712,,Segment,1,6,Image 1,5,1,100000003,510000001012,
98.2484,,Segment,1,5,Image 1,4,1,100000003,510000001037,
65.7425,,Segment,1,4,Image 1,4,1,100000003,510000001057,
40.8588,,Segment,1,5,Image 1,5,1,100000003,510000001060,
67.0244,,Segment,1,6,Image 1,5,1,100000003,510000001062,
58.2949,,Segment,1,9,Image 1,7,1,100000003,510000001072,
61.251,,Segment,1,9,Image 1,6,1,100000003,510000001077,
64.0325,,Segment,1,7,Image 1,5,1,100000003,510000001085,
67.2439,,Segment,1,2,Image 1,3,1,100000003,510000001099,
53.603,,Segment,1,2,Image 1,2,1,100000003,510000001118,
72.243,,Segment,1,1,Image 1,2,1,100000003,510000001127,
49.937,,Segment,1,4,Image 1,3,1,100000003,510000001138,
68.2869,,Segment,1,1,Image 1,2,1,100000003,510000001158,
74.1139,,Segment,1,1,Image 1,1,1,100000004,510000001175,
74.8099,,Segment,1,2,Image 1,2,1,100000004,510000001196,
68.8584,,Segment,1,3,Image 1,2,1,100000004,510000001204,
67.5229,,Segment,1,3,Image 1,3,1,100000004,510000001211,
57.3272,,Segment,1,1,Image 1,2,1,100000004,510000001218,
41.9915,,Segment,1,1,Image 1,1,1,100000004,510000001242,
48.3624,,Segment,1,2,Image 1,1,1,100000004,510000001244,
75.5645,,Segment,1,2,Image 1,3,1,100000004,510000001259,
40.7555,,Segment,1,2,Image 1,3,1,100000004,510000001270,
64.4467,,Segment,1,3,Image 1,3,1,100000004,510000001272,
50.0885,,Segment,1,4,Image 1,3,1,100000004,510000001275,
43.1337,,Segment,1,4,Image 1,4,1,100000004,510000001293,
58.4172,,Segment,1,2,Image 1,2,1,100000004,510000001302,
65.2917,,Segment,1,3,Image 1,4,1,100000004,510000001319,
75.571,,Segment,1,1,Image 1,1,1,100000005,510000001337,
83.5133,,Segment,1,1,Image 1,1,1,100000005,510000001375,
66.2349,,Segment,1,2,Image 1,1,1,100000005,510000001403,
77.2109,,Segment,1,1,Image 1,1,1,100000005,510000001419,
70.113,,Segment,1,1,Image 1,1,1,100000005,510000001434,
52.9615,,Segment,1,1,Image 1,1,1,100000005,510000001466,
62.7332,,Segment,1,2,Image 1,1,1,100000005,510000001468,
64.4234,,Segment,1,3,Image 1,1,1,100000005,510000001470,
64.6647,,Segment,1,2,Image 1,2,1,100000005,510000001515,
63.5827,,Segment,1,3,Image 1,2,1,100000005,510000001517,
50.6985,,Segment,1,3,Image 1,3,1,100000005,510000001545,
60.697,,Segment,1,3,Image 1,2,1,100000005,510000001563,
82.3219,,Segment,1,2,Image 1,2,1,100000005,510000001589,
70.6551,,Segment,1,3,Image 1,2,1,100000005,510000001599,
67.6647,,Segment,1,3,Image 1,3,1,100000005,510000001611,
72.1168,,Segment,1,2,Image 1,1,1,100000006,510000001633,
66.1165,,Segment,1,2,Image 1,2,1,100000006,510000001648,
80.4769,,Segment,1,2,Image 1,2,1,100000006,510000001680,
45.366,,Segment,1,2,Image 1,1,1,100000006,510000001689,
57.684,,Segment,1,3,Image 1,1,1,100000006,510000001692,
40.1518,,Segment,1,2,Image 1,2,1,100000006,510000001734,
50.1068,,Segment,1,3,Image 1,2,1,100000006,510000001744,
38.1485,,Segment,1,3,Image 1,3,1,100000006,510000001753,
81.59,,Segment,1,1,Image 1,1,1,100000006,510000001759,
54.986,,Segment,1,3,Image 1,2,1,100000006,510000001769,
64.6967,,Segment,1,3,Image 1,2,1,100000006,510000001778,
72.8405,,Segment,1,3,Image 1,3,1,100000006,510000001796,
53.3277,,Segment,1,2,Image 1,1,1,100000007,510000001816,
60.275,,Segment,1,3,Image 1,1,1,100000007,510000001818,
55.1907,,Segment,1,1,Image 1,1,1,100000007,510000001834,
52.1672,,Segment,1,2,Image 1,2,1,100000007,510000001847,
39.2298,,Segment,1,3,Image 1,2,1,100000007,510000001850,
57.2288,,Segment,1,2,Image 1,1,1,100000007,510000001866,
49.9745,,Segment,1,1,Image 1,1,1,100000007,510000001885,
39.4212,,Segment,1,2,Image 1,1,1,100000007,510000001892,
44.526,,Segment,1,2,Image 1,2,1,100000007,510000001903,
72.7772,,Segment,1,2,Image 1,2,1,100000007,510000001915,
71.4678,,Segment,1,1,Image 1,1,1,100000007,510000001923,
66.4,,Segment,1,1,Image 1,1,1,100000007,510000001931,
39.1759,,Segment,1,3,Image 1,3,1,100000007,510000001949,
58.5224,,Segment,1,3,Image 1,2,1,100000007,510000001953,
86.7204,,Segment,1,0,Image 1,1,1,100000008,510000001968,
55.2288,,Segment,1,2,Image 1,1,1,100000008,510000001975,
55.9117,,Segment,1,3,Image 1,1,1,100000008,510000001977,
32.8645,,Segment,1,4,Image 1,1,1,100000008,510000001980,
68.843,,Segment,1,1,Image 1,2,1,100000008,510000001997,
55.8001,,Segment,1,4,Image 1,2,1,100000008,510000002005,
74.077,,Segment,1,2,Image 1,2,1,100000008,510000002022,
49.8618,,Segment,1,1,Image 1,2,1,100000008,510000002027,
37.3126,,Segment,1,2,Image 1,2,1,100000008,510000002031,
55.6402,,Segment,1,2,Image 1,2,1,100000008,510000002036,
61.5106,,Segment,1,3,Image 1,2,1,100000008,510000002040,
40.6819,,Segment,1,3,Image 1,3,1,100000008,510000002045,
73.6174,,Segment,1,3,Image 1,2,1,100000008,510000002056,
70.0602,,Segment,1,2,Image 1,2,1,100000008,510000002076,
47.5215,,Segment,1,2,Image 1,3,1,100000008,510000002093,
59.4333,,Segment,1,1,Image 1,2,1,100000009,510000002102,
55.1994,,Segment,1,1,Image 1,2,1,100000009,510000002111,
41.546,,Segment,1,1,Image 1,1,1,100000009,510000002126,
42.4976,,Segment,1,3,Image 1,1,1,100000009,510000002129,
56.3254,,Segment,1,3,Image 1,2,1,100000009,510000002143,
50.423,,Segment,1,2,Image 1,2,1,100000009,510000002148,
21.1327,,Segment,1,3,Image 1,2,1,100000009,510000002151,
72.2012,,Segment,1,2,Image 1,2,1,100000009,510000002156,
40.5231,,Segment,1,3,Image 1,3,1,100000009,510000002165,
56.2533,,Segment,1,1,Image 1,2,1,100000009,510000002171,
54.3494,,Segment,1,2,Image 1,2,1,100000009,510000002176,
53.7068,,Segment,1,2,Image 1,3,1,100000009,510000002180,
13.4747,,Segment,1,1,Image 1,1,1,100000010,510000002194,
15.6814,,Segment,1,2,Image 1,1,1,100000010,510000002196,
58.9072,,Segment,1,3,Image 1,1,1,100000010,510000002202,
21.1248,,Segment,1,2,Image 1,2,1,100000010,510000002218,
53.438,,Segment,1,3,Image 1,2,1,100000010,510000002226,
12.9516,,Segment,1,1,Image 1,2,1,100000010,510000002246,
33.9926,,Segment,1,2,Image 1,3,1,100000010,510000002248,
60.0108,,Segment,1,3,Image 1,3,1,100000010,510000002263,
14.9408,,Segment,1,2,Image 1,2,1,100000010,510000002278,
30.3657,,Segment,1,3,Image 1,2,1,100000010,510000002281,
42.7035,,Segment,1,4,Image 1,2,1,100000010,510000002290,
54.6855,,Segment,1,3,Image 1,3,1,100000010,510000002302,
60.4451,,Segment,1,4,Image 1,3,1,100000010,510000002331,
31.9252,,Segment,1,1,Image 1,1,1,100000010,510000002342,
50.548,,Segment,1,2,Image 1,1,1,100000010,510000002358,
37.927,,Segment,1,3,Image 1,1,1,100000010,510000002363,
45.0348,,Segment,1,3,Image 1,2,1,100000010,510000002365,
28.8803,,Segment,1,1,Image 1,2,1,100000010,510000002368,
39.7875,,Segment,1,3,Image 1,2,1,100000010,510000002382,
12.7723,,Segment,1,1,Image 1,2,1,100000010,510000002396,
18.4094,,Segment,1,2,Image 1,2,1,100000010,510000002399,
