
Segment Intensity Sum Ch=2 Img=1
 ==================== 
Segment Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
164477,,Segment,2,1,Image 1,1,1,100000000,510000000001,
548375,,Segment,2,2,Image 1,2,1,100000000,510000000007,
109878,,Segment,2,1,Image 1,1,1,100000000,510000000045,
23426,,Segment,2,2,Image 1,1,1,100000000,510000000051,
548194,,Segment,2,3,Image 1,1,1,100000000,510000000053,
539192,,Segment,2,2,Image 1,2,1,100000000,510000000095,
104578,,Segment,2,1,Image 1,1,1,100000000,510000000138,
222113,,Segment,2,2,Image 1,1,1,100000000,510000000141,
311921,,Segment,2,2,Image 1,2,1,100000000,510000000158,
200674,,Segment,2,2,Image 1,2,1,100000000,510000000189,
149867,,Segment,2,3,Image 1,2,1,100000000,510000000204,
164035,,Segment,2,3,Image 1,3,1,100000000,510000000217,
315871,,Segment,2,3,Image 1,1,1,100000000,510000000232,
372907,,Segment,2,3,Image 1,2,1,100000000,510000000259,
407100,,Segment,2,3,Image 1,2,1,100000000,510000000294,
476430,,Segment,2,3,Image 1,2,1,100000000,510000000330,
505392,,Segment,2,3,Image 1,1,1,100000000,510000000372,
157213,,Segment,2,3,Image 1,2,1,100000000,510000000414,
615878,,Segment,2,3,Image 1,1,1,100000001,510000000431,
77035,,Segment,2,4,Image 1,1,1,100000001,510000000447,
264884,,Segment,2,1,Image 1,1,1,100000001,510000000450,
111766,,Segment,2,2,Image 1,1,1,100000001,510000000454,
417528,,Segment,2,3,Image 1,1,1,100000001,510000000457,
396854,,Segment,2,1,Image 1,1,1,100000001,510000000474,
332597,,Segment,2,2,Image 1,1,1,100000001,510000000481,
208098,,Segment,2,3,Image 1,2,1,100000001,510000000495,
424498,,Segment,2,1,Image 1,1,1,100000001,510000000505,
194712,,Segment,2,3,Image 1,2,1,100000001,510000000517,
67247,,Segment,2,4,Image 1,2,1,100000001,510000000524,
281571,,Segment,2,2,Image 1,2,1,100000001,510000000529,
363430,,Segment,2,1,Image 1,1,1,100000001,510000000540,
393898,,Segment,2,2,Image 1,1,1,100000001,510000000543,
363563,,Segment,2,1,Image 1,1,1,100000001,510000000562,
111456,,Segment,2,2,Image 1,2,1,100000001,510000000570,
437093,,Segment,2,1,Image 1,1,1,100000001,510000000573,
275640,,Segment,2,2,Image 1,2,1,100000001,510000000580,
125471,,Segment,2,2,Image 1,2,1,100000001,510000000594,
139239,,Segment,2,4,Image 1,3,1,100000001,510000000599,
128232,,Segment,2,4,Image 1,2,1,100000001,510000000610,
1.25064e+06,,Segment,2,2,Image 1,1,1,100000002,510000000616,
1.11267e+06,,Segment,2,3,Image 1,1,1,100000002,510000000635,
833529,,Segment,2,3,Image 1,2,1,100000002,510000000663,
1.34439e+06,,Segment,2,1,Image 1,1,1,100000002,510000000685,
141616,,Segment,2,2,Image 1,1,1,100000002,510000000709,
280347,,Segment,2,3,Image 1,1,1,100000002,510000000711,
361863,,Segment,2,4,Image 1,1,1,100000002,510000000716,
632645,,Segment,2,2,Image 1,2,1,100000002,510000000726,
350084,,Segment,2,4,Image 1,2,1,100000002,510000000743,
271344,,Segment,2,3,Image 1,2,1,100000002,510000000755,
486895,,Segment,2,1,Image 1,1,1,100000002,510000000760,
339729,,Segment,2,3,Image 1,1,1,100000002,510000000765,
347387,,Segment,2,3,Image 1,2,1,100000002,510000000773,
662567,,Segment,2,2,Image 1,2,1,100000002,510000000783,
963286,,Segment,2,2,Image 1,2,1,100000002,510000000798,
843394,,Segment,2,1,Image 1,1,1,100000002,510000000824,
530131,,Segment,2,2,Image 1,2,1,100000002,510000000832,
1.65158e+06,,Segment,2,2,Image 1,1,1,100000003,510000000846,
720344,,Segment,2,0,Image 1,1,1,100000003,510000000855,
3.70492e+06,,Segment,2,1,Image 1,1,1,100000003,510000000857,
204763,,Segment,2,3,Image 1,2,1,100000003,510000000884,
1.02966e+06,,Segment,2,4,Image 1,2,1,100000003,510000000886,
736108,,Segment,2,3,Image 1,3,1,100000003,510000000893,
1.36826e+06,,Segment,2,4,Image 1,3,1,100000003,510000000899,
730771,,Segment,2,4,Image 1,4,1,100000003,510000000907,
113781,,Segment,2,2,Image 1,3,1,100000003,510000000910,
2.13118e+06,,Segment,2,3,Image 1,3,1,100000003,510000000912,
2.55216e+06,,Segment,2,3,Image 1,4,1,100000003,510000000934,
267550,,Segment,2,8,Image 1,4,1,100000003,510000000951,
321520,,Segment,2,8,Image 1,5,1,100000003,510000000961,
287659,,Segment,2,8,Image 1,5,1,100000003,510000000979,
187308,,Segment,2,9,Image 1,5,1,100000003,510000000986,
126062,,Segment,2,8,Image 1,6,1,100000003,510000000995,
269680,,Segment,2,9,Image 1,6,1,100000003,510000000997,
625738,,Segment,2,6,Image 1,5,1,100000003,510000001012,
113000,,Segment,2,5,Image 1,4,1,100000003,510000001037,
315800,,Segment,2,4,Image 1,4,1,100000003,510000001057,
55175,,Segment,2,5,Image 1,5,1,100000003,510000001060,
199048,,Segment,2,6,Image 1,5,1,100000003,510000001062,
114128,,Segment,2,9,Image 1,7,1,100000003,510000001072,
186006,,Segment,2,9,Image 1,6,1,100000003,510000001077,
581771,,Segment,2,7,Image 1,5,1,100000003,510000001085,
1.89222e+06,,Segment,2,2,Image 1,3,1,100000003,510000001099,
1.75524e+06,,Segment,2,2,Image 1,2,1,100000003,510000001118,
1.41973e+06,,Segment,2,1,Image 1,2,1,100000003,510000001127,
1.86693e+06,,Segment,2,4,Image 1,3,1,100000003,510000001138,
2.47392e+06,,Segment,2,1,Image 1,2,1,100000003,510000001158,
3.26364e+06,,Segment,2,1,Image 1,1,1,100000004,510000001175,
924121,,Segment,2,2,Image 1,2,1,100000004,510000001196,
632513,,Segment,2,3,Image 1,2,1,100000004,510000001204,
928195,,Segment,2,3,Image 1,3,1,100000004,510000001211,
2.76843e+06,,Segment,2,1,Image 1,2,1,100000004,510000001218,
561018,,Segment,2,1,Image 1,1,1,100000004,510000001242,
1.6386e+06,,Segment,2,2,Image 1,1,1,100000004,510000001244,
1.17894e+06,,Segment,2,2,Image 1,3,1,100000004,510000001259,
214326,,Segment,2,2,Image 1,3,1,100000004,510000001270,
325403,,Segment,2,3,Image 1,3,1,100000004,510000001272,
1.05076e+06,,Segment,2,4,Image 1,3,1,100000004,510000001275,
1.05681e+06,,Segment,2,4,Image 1,4,1,100000004,510000001293,
1.64264e+06,,Segment,2,2,Image 1,2,1,100000004,510000001302,
1.0303e+06,,Segment,2,3,Image 1,4,1,100000004,510000001319,
1.20783e+07,,Segment,2,1,Image 1,1,1,100000005,510000001337,
5.99641e+06,,Segment,2,1,Image 1,1,1,100000005,510000001375,
2.95274e+06,,Segment,2,2,Image 1,1,1,100000005,510000001403,
3.71977e+06,,Segment,2,1,Image 1,1,1,100000005,510000001419,
5.34288e+06,,Segment,2,1,Image 1,1,1,100000005,510000001434,
1.39288e+06,,Segment,2,1,Image 1,1,1,100000005,510000001466,
695028,,Segment,2,2,Image 1,1,1,100000005,510000001468,
