
Segment Length
 ==================== 
Segment Length,Unit,Category,Depth,Level,Time,FilamentID,ID,
22.5433,µm,Segment,1,1,1,100000000,510000000001,
100.641,µm,Segment,2,2,1,100000000,510000000007,
19.9327,µm,Segment,1,1,1,100000000,510000000045,
5.48961,µm,Segment,2,1,1,100000000,510000000051,
111.983,µm,Segment,3,1,1,100000000,510000000053,
118.127,µm,Segment,2,2,1,100000000,510000000095,
12.0266,µm,Segment,1,1,1,100000000,510000000138,
45.8432,µm,Segment,2,1,1,100000000,510000000141,
78.1408,µm,Segment,2,2,1,100000000,510000000158,
40.7403,µm,Segment,2,2,1,100000000,510000000189,
32.3415,µm,Segment,3,2,1,100000000,510000000204,
34.0753,µm,Segment,3,3,1,100000000,510000000217,
73.1435,µm,Segment,3,1,1,100000000,510000000232,
96.5197,µm,Segment,3,2,1,100000000,510000000259,
99.0045,µm,Segment,3,2,1,100000000,510000000294,
113.22,µm,Segment,3,2,1,100000000,510000000330,
109.583,µm,Segment,3,1,1,100000000,510000000372,
40.0733,µm,Segment,3,2,1,100000000,510000000414,
76.085,µm,Segment,3,1,1,100000001,510000000431,
15.9841,µm,Segment,4,1,1,100000001,510000000447,
27.5803,µm,Segment,1,1,1,100000001,510000000450,
15.6321,µm,Segment,2,1,1,100000001,510000000454,
84.7633,µm,Segment,3,1,1,100000001,510000000457,
43.205,µm,Segment,1,1,1,100000001,510000000474,
70.8557,µm,Segment,2,1,1,100000001,510000000481,
51.4229,µm,Segment,3,2,1,100000001,510000000495,
57.0221,µm,Segment,1,1,1,100000001,510000000505,
40.5948,µm,Segment,3,2,1,100000001,510000000517,
21.875,µm,Segment,4,2,1,100000001,510000000524,
60.595,µm,Segment,2,2,1,100000001,510000000529,
25.0638,µm,Segment,1,1,1,100000001,510000000540,
93.6201,µm,Segment,2,1,1,100000001,510000000543,
46.5621,µm,Segment,1,1,1,100000001,510000000562,
24.3152,µm,Segment,2,2,1,100000001,510000000570,
43.285,µm,Segment,1,1,1,100000001,510000000573,
74.9192,µm,Segment,2,2,1,100000001,510000000580,
28.4178,µm,Segment,2,2,1,100000001,510000000594,
50.7062,µm,Segment,4,3,1,100000001,510000000599,
28.655,µm,Segment,4,2,1,100000001,510000000610,
96.6564,µm,Segment,2,1,1,100000002,510000000616,
132.918,µm,Segment,3,1,1,100000002,510000000635,
122.152,µm,Segment,3,2,1,100000002,510000000663,
125.251,µm,Segment,1,1,1,100000002,510000000685,
10.9178,µm,Segment,2,1,1,100000002,510000000709,
25.7831,µm,Segment,3,1,1,100000002,510000000711,
48.2754,µm,Segment,4,1,1,100000002,510000000716,
94.8235,µm,Segment,2,2,1,100000002,510000000726,
47.7738,µm,Segment,4,2,1,100000002,510000000743,
32.7952,µm,Segment,3,2,1,100000002,510000000755,
24.9533,µm,Segment,1,1,1,100000002,510000000760,
40.1591,µm,Segment,3,1,1,100000002,510000000765,
48.9856,µm,Segment,3,2,1,100000002,510000000773,
77.763,µm,Segment,2,2,1,100000002,510000000783,
145.037,µm,Segment,2,2,1,100000002,510000000798,
47.6009,µm,Segment,1,1,1,100000002,510000000824,
58.8181,µm,Segment,2,2,1,100000002,510000000832,
48.3652,µm,Segment,2,1,1,100000003,510000000846,
16.4839,µm,Segment,0,1,1,100000003,510000000855,
97.6218,µm,Segment,1,1,1,100000003,510000000857,
8.07162,µm,Segment,3,2,1,100000003,510000000884,
33.6118,µm,Segment,4,2,1,100000003,510000000886,
37.4902,µm,Segment,3,3,1,100000003,510000000893,
42.1959,µm,Segment,4,3,1,100000003,510000000899,
26.1578,µm,Segment,4,4,1,100000003,510000000907,
9.46755,µm,Segment,2,3,1,100000003,510000000910,
71.6199,µm,Segment,3,3,1,100000003,510000000912,
89.8591,µm,Segment,3,4,1,100000003,510000000934,
41.4268,µm,Segment,8,4,1,100000003,510000000951,
77.0556,µm,Segment,8,5,1,100000003,510000000961,
39.9184,µm,Segment,8,5,1,100000003,510000000979,
47.2121,µm,Segment,9,5,1,100000003,510000000986,
17.1396,µm,Segment,8,6,1,100000003,510000000995,
74.6482,µm,Segment,9,6,1,100000003,510000000997,
117.462,µm,Segment,6,5,1,100000003,510000001012,
21.6121,µm,Segment,5,4,1,100000003,510000001037,
102.325,µm,Segment,4,4,1,100000003,510000001057,
14.0113,µm,Segment,5,5,1,100000003,510000001060,
52.9743,µm,Segment,6,5,1,100000003,510000001062,
32.1033,µm,Segment,9,7,1,100000003,510000001072,
42.4897,µm,Segment,9,6,1,100000003,510000001077,
74.6579,µm,Segment,7,5,1,100000003,510000001085,
87.5471,µm,Segment,2,3,1,100000003,510000001099,
56.5451,µm,Segment,2,2,1,100000003,510000001118,
42.415,µm,Segment,1,2,1,100000003,510000001127,
61.0156,µm,Segment,4,3,1,100000003,510000001138,
75.137,µm,Segment,1,2,1,100000003,510000001158,
88.4441,µm,Segment,1,1,1,100000004,510000001175,
43.2646,µm,Segment,2,2,1,100000004,510000001196,
29.8925,µm,Segment,3,2,1,100000004,510000001204,
41.8155,µm,Segment,3,3,1,100000004,510000001211,
119.579,µm,Segment,1,2,1,100000004,510000001218,
19.6786,µm,Segment,1,1,1,100000004,510000001242,
79.6659,µm,Segment,2,1,1,100000004,510000001244,
61.5708,µm,Segment,2,3,1,100000004,510000001259,
18.289,µm,Segment,2,3,1,100000004,510000001270,
13.9643,µm,Segment,3,3,1,100000004,510000001272,
50.7666,µm,Segment,4,3,1,100000004,510000001275,
52.411,µm,Segment,4,4,1,100000004,510000001293,
82.233,µm,Segment,2,2,1,100000004,510000001302,
55.6445,µm,Segment,3,4,1,100000004,510000001319,
145.659,µm,Segment,1,1,1,100000005,510000001337,
143.568,µm,Segment,1,1,1,100000005,510000001375,
80.0939,µm,Segment,2,1,1,100000005,510000001403,
82.4756,µm,Segment,1,1,1,100000005,510000001419,
153.772,µm,Segment,1,1,1,100000005,510000001434,
16.9163,µm,Segment,1,1,1,100000005,510000001466,
9.78589,µm,Segment,2,1,1,100000005,510000001468,
213.626,µm,Segment,3,1,1,100000005,510000001470,
18.9064,µm,Segment,2,2,1,100000005,510000001515,
132.012,µm,Segment,3,2,1,100000005,510000001517,
96.595,µm,Segment,3,3,1,100000005,510000001545,
127.686,µm,Segment,3,2,1,100000005,510000001563,
64.0143,µm,Segment,2,2,1,100000005,510000001589,
62.4515,µm,Segment,3,2,1,100000005,510000001599,
95.8294,µm,Segment,3,3,1,100000005,510000001611,
72.5426,µm,Segment,2,1,1,100000006,510000001633,
167.002,µm,Segment,2,2,1,100000006,510000001648,
45.3033,µm,Segment,2,2,1,100000006,510000001680,
18.5193,µm,Segment,2,1,1,100000006,510000001689,
