
Segment Mean Diameter
 ==================== 
Segment Mean Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
4.92451,µm,Segment,1,1,1,100000000,510000000001,
3.2727,µm,Segment,2,2,1,100000000,510000000007,
4.9602,µm,Segment,1,1,1,100000000,510000000045,
3.91354,µm,Segment,2,1,1,100000000,510000000051,
3.25567,µm,Segment,3,1,1,100000000,510000000053,
2.93253,µm,Segment,2,2,1,100000000,510000000095,
5.56353,µm,Segment,1,1,1,100000000,510000000138,
3.2902,µm,Segment,2,1,1,100000000,510000000141,
2.94182,µm,Segment,2,2,1,100000000,510000000158,
3.69295,µm,Segment,2,2,1,100000000,510000000189,
3.00957,µm,Segment,3,2,1,100000000,510000000204,
2.87554,µm,Segment,3,3,1,100000000,510000000217,
2.90381,µm,Segment,3,1,1,100000000,510000000232,
2.84164,µm,Segment,3,2,1,100000000,510000000259,
2.92461,µm,Segment,3,2,1,100000000,510000000294,
2.92046,µm,Segment,3,2,1,100000000,510000000330,
2.95582,µm,Segment,3,1,1,100000000,510000000372,
2.87431,µm,Segment,3,2,1,100000000,510000000414,
4.21245,µm,Segment,3,1,1,100000001,510000000431,
3.49028,µm,Segment,4,1,1,100000001,510000000447,
5.64639,µm,Segment,1,1,1,100000001,510000000450,
3.59905,µm,Segment,2,1,1,100000001,510000000454,
2.81121,µm,Segment,3,1,1,100000001,510000000457,
4.80384,µm,Segment,1,1,1,100000001,510000000474,
2.82287,µm,Segment,2,1,1,100000001,510000000481,
2.50047,µm,Segment,3,2,1,100000001,510000000495,
3.82576,µm,Segment,1,1,1,100000001,510000000505,
2.94996,µm,Segment,3,2,1,100000001,510000000517,
2.40122,µm,Segment,4,2,1,100000001,510000000524,
2.82691,µm,Segment,2,2,1,100000001,510000000529,
6.08431,µm,Segment,1,1,1,100000001,510000000540,
2.98121,µm,Segment,2,1,1,100000001,510000000543,
4.12165,µm,Segment,1,1,1,100000001,510000000562,
2.79995,µm,Segment,2,2,1,100000001,510000000570,
4.19277,µm,Segment,1,1,1,100000001,510000000573,
2.55366,µm,Segment,2,2,1,100000001,510000000580,
2.5745,µm,Segment,2,2,1,100000001,510000000594,
2.3473,µm,Segment,4,3,1,100000001,510000000599,
2.66597,µm,Segment,4,2,1,100000001,510000000610,
4.76802,µm,Segment,2,1,1,100000002,510000000616,
3.7672,µm,Segment,3,1,1,100000002,510000000635,
3.50543,µm,Segment,3,2,1,100000002,510000000663,
4.60597,µm,Segment,1,1,1,100000002,510000000685,
5.28671,µm,Segment,2,1,1,100000002,510000000709,
4.54194,µm,Segment,3,1,1,100000002,510000000711,
3.76353,µm,Segment,4,1,1,100000002,510000000716,
3.72413,µm,Segment,2,2,1,100000002,510000000726,
3.51861,µm,Segment,4,2,1,100000002,510000000743,
3.77366,µm,Segment,3,2,1,100000002,510000000755,
6.60743,µm,Segment,1,1,1,100000002,510000000760,
3.82867,µm,Segment,3,1,1,100000002,510000000765,
3.56635,µm,Segment,3,2,1,100000002,510000000773,
3.71966,µm,Segment,2,2,1,100000002,510000000783,
3.5367,µm,Segment,2,2,1,100000002,510000000798,
5.1944,µm,Segment,1,1,1,100000002,510000000824,
3.77678,µm,Segment,2,2,1,100000002,510000000832,
8.08459,µm,Segment,2,1,1,100000003,510000000846,
12.8576,µm,Segment,0,1,1,100000003,510000000855,
8.01127,µm,Segment,1,1,1,100000003,510000000857,
7.67607,µm,Segment,3,2,1,100000003,510000000884,
7.44242,µm,Segment,4,2,1,100000003,510000000886,
7.41376,µm,Segment,3,3,1,100000003,510000000893,
7.31105,µm,Segment,4,3,1,100000003,510000000899,
7.30557,µm,Segment,4,4,1,100000003,510000000907,
7.64246,µm,Segment,2,3,1,100000003,510000000910,
7.35442,µm,Segment,3,3,1,100000003,510000000912,
7.01937,µm,Segment,3,4,1,100000003,510000000934,
3.03082,µm,Segment,8,4,1,100000003,510000000951,
2.63097,µm,Segment,8,5,1,100000003,510000000961,
3.63179,µm,Segment,8,5,1,100000003,510000000979,
2.67532,µm,Segment,9,5,1,100000003,510000000986,
3.44476,µm,Segment,8,6,1,100000003,510000000995,
2.49612,µm,Segment,9,6,1,100000003,510000000997,
3.08941,µm,Segment,6,5,1,100000003,510000001012,
3.16834,µm,Segment,5,4,1,100000003,510000001037,
2.49284,µm,Segment,4,4,1,100000003,510000001057,
2.48361,µm,Segment,5,5,1,100000003,510000001060,
2.71482,µm,Segment,6,5,1,100000003,510000001062,
2.42611,µm,Segment,9,7,1,100000003,510000001072,
2.45938,µm,Segment,9,6,1,100000003,510000001077,
3.73481,µm,Segment,7,5,1,100000003,510000001085,
7.37646,µm,Segment,2,3,1,100000003,510000001099,
7.62131,µm,Segment,2,2,1,100000003,510000001118,
7.66274,µm,Segment,1,2,1,100000003,510000001127,
7.33309,µm,Segment,4,3,1,100000003,510000001138,
7.70375,µm,Segment,1,2,1,100000003,510000001158,
8.39882,µm,Segment,1,1,1,100000004,510000001175,
6.42539,µm,Segment,2,2,1,100000004,510000001196,
6.11296,µm,Segment,3,2,1,100000004,510000001204,
6.06711,µm,Segment,3,3,1,100000004,510000001211,
6.57268,µm,Segment,1,2,1,100000004,510000001218,
6.84555,µm,Segment,1,1,1,100000004,510000001242,
6.15051,µm,Segment,2,1,1,100000004,510000001244,
6.15576,µm,Segment,2,3,1,100000004,510000001259,
6.40859,µm,Segment,2,3,1,100000004,510000001270,
6.142,µm,Segment,3,3,1,100000004,510000001272,
6.06292,µm,Segment,4,3,1,100000004,510000001275,
6.04287,µm,Segment,4,4,1,100000004,510000001293,
6.06714,µm,Segment,2,2,1,100000004,510000001302,
6.04389,µm,Segment,3,4,1,100000004,510000001319,
11.4741,µm,Segment,1,1,1,100000005,510000001337,
8.67867,µm,Segment,1,1,1,100000005,510000001375,
8.31855,µm,Segment,2,1,1,100000005,510000001403,
8.94208,µm,Segment,1,1,1,100000005,510000001419,
8.50414,µm,Segment,1,1,1,100000005,510000001434,
12.9363,µm,Segment,1,1,1,100000005,510000001466,
9.5503,µm,Segment,2,1,1,100000005,510000001468,
8.14792,µm,Segment,3,1,1,100000005,510000001470,
8.44874,µm,Segment,2,2,1,100000005,510000001515,
7.46164,µm,Segment,3,2,1,100000005,510000001517,
7.35471,µm,Segment,3,3,1,100000005,510000001545,
7.54079,µm,Segment,3,2,1,100000005,510000001563,
7.92375,µm,Segment,2,2,1,100000005,510000001589,
7.40409,µm,Segment,3,2,1,100000005,510000001599,
7.32108,µm,Segment,3,3,1,100000005,510000001611,
10.2484,µm,Segment,2,1,1,100000006,510000001633,
9.86773,µm,Segment,2,2,1,100000006,510000001648,
6.97712,µm,Segment,2,2,1,100000006,510000001680,
7.98747,µm,Segment,2,1,1,100000006,510000001689,
6.65803,µm,Segment,3,1,1,100000006,510000001692,
4.7243,µm,Segment,2,2,1,100000006,510000001734,
3.90179,µm,Segment,3,2,1,100000006,510000001744,
3.81098,µm,Segment,3,3,1,100000006,510000001753,
5.70032,µm,Segment,1,1,1,100000006,510000001759,
