
Segment No. Spines
 ==================== 
Segment No. Spines,Unit,Category,Depth,Level,Time,FilamentID,ID,
0,,Segment,1,1,1,100000000,510000000001,
0,,Segment,2,2,1,100000000,510000000007,
0,,Segment,1,1,1,100000000,510000000045,
0,,Segment,2,1,1,100000000,510000000051,
0,,Segment,3,1,1,100000000,510000000053,
0,,Segment,2,2,1,100000000,510000000095,
0,,Segment,1,1,1,100000000,510000000138,
0,,Segment,2,1,1,100000000,510000000141,
0,,Segment,2,2,1,100000000,510000000158,
0,,Segment,2,2,1,100000000,510000000189,
0,,Segment,3,2,1,100000000,510000000204,
0,,Segment,3,3,1,100000000,510000000217,
0,,Segment,3,1,1,100000000,510000000232,
0,,Segment,3,2,1,100000000,510000000259,
0,,Segment,3,2,1,100000000,510000000294,
0,,Segment,3,2,1,100000000,510000000330,
0,,Segment,3,1,1,100000000,510000000372,
0,,Segment,3,2,1,100000000,510000000414,
0,,Segment,3,1,1,100000001,510000000431,
0,,Segment,4,1,1,100000001,510000000447,
0,,Segment,1,1,1,100000001,510000000450,
0,,Segment,2,1,1,100000001,510000000454,
0,,Segment,3,1,1,100000001,510000000457,
0,,Segment,1,1,1,100000001,510000000474,
0,,Segment,2,1,1,100000001,510000000481,
0,,Segment,3,2,1,100000001,510000000495,
0,,Segment,1,1,1,100000001,510000000505,
0,,Segment,3,2,1,100000001,510000000517,
0,,Segment,4,2,1,100000001,510000000524,
0,,Segment,2,2,1,100000001,510000000529,
0,,Segment,1,1,1,100000001,510000000540,
0,,Segment,2,1,1,100000001,510000000543,
0,,Segment,1,1,1,100000001,510000000562,
0,,Segment,2,2,1,100000001,510000000570,
0,,Segment,1,1,1,100000001,510000000573,
0,,Segment,2,2,1,100000001,510000000580,
0,,Segment,2,2,1,100000001,510000000594,
0,,Segment,4,3,1,100000001,510000000599,
0,,Segment,4,2,1,100000001,510000000610,
0,,Segment,2,1,1,100000002,510000000616,
0,,Segment,3,1,1,100000002,510000000635,
0,,Segment,3,2,1,100000002,510000000663,
0,,Segment,1,1,1,100000002,510000000685,
0,,Segment,2,1,1,100000002,510000000709,
0,,Segment,3,1,1,100000002,510000000711,
0,,Segment,4,1,1,100000002,510000000716,
0,,Segment,2,2,1,100000002,510000000726,
0,,Segment,4,2,1,100000002,510000000743,
0,,Segment,3,2,1,100000002,510000000755,
0,,Segment,1,1,1,100000002,510000000760,
0,,Segment,3,1,1,100000002,510000000765,
0,,Segment,3,2,1,100000002,510000000773,
0,,Segment,2,2,1,100000002,510000000783,
0,,Segment,2,2,1,100000002,510000000798,
0,,Segment,1,1,1,100000002,510000000824,
0,,Segment,2,2,1,100000002,510000000832,
0,,Segment,2,1,1,100000003,510000000846,
0,,Segment,0,1,1,100000003,510000000855,
0,,Segment,1,1,1,100000003,510000000857,
0,,Segment,3,2,1,100000003,510000000884,
0,,Segment,4,2,1,100000003,510000000886,
0,,Segment,3,3,1,100000003,510000000893,
0,,Segment,4,3,1,100000003,510000000899,
0,,Segment,4,4,1,100000003,510000000907,
0,,Segment,2,3,1,100000003,510000000910,
0,,Segment,3,3,1,100000003,510000000912,
0,,Segment,3,4,1,100000003,510000000934,
0,,Segment,8,4,1,100000003,510000000951,
0,,Segment,8,5,1,100000003,510000000961,
0,,Segment,8,5,1,100000003,510000000979,
0,,Segment,9,5,1,100000003,510000000986,
0,,Segment,8,6,1,100000003,510000000995,
0,,Segment,9,6,1,100000003,510000000997,
0,,Segment,6,5,1,100000003,510000001012,
0,,Segment,5,4,1,100000003,510000001037,
0,,Segment,4,4,1,100000003,510000001057,
0,,Segment,5,5,1,100000003,510000001060,
0,,Segment,6,5,1,100000003,510000001062,
0,,Segment,9,7,1,100000003,510000001072,
0,,Segment,9,6,1,100000003,510000001077,
0,,Segment,7,5,1,100000003,510000001085,
0,,Segment,2,3,1,100000003,510000001099,
0,,Segment,2,2,1,100000003,510000001118,
0,,Segment,1,2,1,100000003,510000001127,
0,,Segment,4,3,1,100000003,510000001138,
0,,Segment,1,2,1,100000003,510000001158,
0,,Segment,1,1,1,100000004,510000001175,
0,,Segment,2,2,1,100000004,510000001196,
0,,Segment,3,2,1,100000004,510000001204,
0,,Segment,3,3,1,100000004,510000001211,
0,,Segment,1,2,1,100000004,510000001218,
0,,Segment,1,1,1,100000004,510000001242,
0,,Segment,2,1,1,100000004,510000001244,
0,,Segment,2,3,1,100000004,510000001259,
0,,Segment,2,3,1,100000004,510000001270,
0,,Segment,3,3,1,100000004,510000001272,
0,,Segment,4,3,1,100000004,510000001275,
0,,Segment,4,4,1,100000004,510000001293,
0,,Segment,2,2,1,100000004,510000001302,
0,,Segment,3,4,1,100000004,510000001319,
0,,Segment,1,1,1,100000005,510000001337,
0,,Segment,1,1,1,100000005,510000001375,
0,,Segment,2,1,1,100000005,510000001403,
0,,Segment,1,1,1,100000005,510000001419,
0,,Segment,1,1,1,100000005,510000001434,
0,,Segment,1,1,1,100000005,510000001466,
0,,Segment,2,1,1,100000005,510000001468,
0,,Segment,3,1,1,100000005,510000001470,
0,,Segment,2,2,1,100000005,510000001515,
0,,Segment,3,2,1,100000005,510000001517,
0,,Segment,3,3,1,100000005,510000001545,
0,,Segment,3,2,1,100000005,510000001563,
0,,Segment,2,2,1,100000005,510000001589,
0,,Segment,3,2,1,100000005,510000001599,
