
Segment Orientation Angle
 ==================== 
Segment Orientation Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
146.099,°,Segment,1,1,1,100000000,510000000001,
115.64,°,Segment,2,2,1,100000000,510000000007,
42.2841,°,Segment,1,1,1,100000000,510000000045,
46.1903,°,Segment,2,1,1,100000000,510000000051,
-18.5989,°,Segment,3,1,1,100000000,510000000053,
-57.3103,°,Segment,2,2,1,100000000,510000000095,
-55.788,°,Segment,1,1,1,100000000,510000000138,
-52.6353,°,Segment,2,1,1,100000000,510000000141,
-53.7434,°,Segment,2,2,1,100000000,510000000158,
-87.8687,°,Segment,2,2,1,100000000,510000000189,
-117.258,°,Segment,3,2,1,100000000,510000000204,
-57.6076,°,Segment,3,3,1,100000000,510000000217,
-160.765,°,Segment,3,1,1,100000000,510000000232,
146.502,°,Segment,3,2,1,100000000,510000000259,
106.195,°,Segment,3,2,1,100000000,510000000294,
62.4967,°,Segment,3,2,1,100000000,510000000330,
-110.674,°,Segment,3,1,1,100000000,510000000372,
-164.291,°,Segment,3,2,1,100000000,510000000414,
-49.1434,°,Segment,3,1,1,100000001,510000000431,
-78.5353,°,Segment,4,1,1,100000001,510000000447,
154.644,°,Segment,1,1,1,100000001,510000000450,
147.437,°,Segment,2,1,1,100000001,510000000454,
128.046,°,Segment,3,1,1,100000001,510000000457,
155.206,°,Segment,1,1,1,100000001,510000000474,
160.906,°,Segment,2,1,1,100000001,510000000481,
160.705,°,Segment,3,2,1,100000001,510000000495,
-157.339,°,Segment,1,1,1,100000001,510000000505,
-78.6932,°,Segment,3,2,1,100000001,510000000517,
-31.1546,°,Segment,4,2,1,100000001,510000000524,
-9.05502,°,Segment,2,2,1,100000001,510000000529,
44.0159,°,Segment,1,1,1,100000001,510000000540,
52.8713,°,Segment,2,1,1,100000001,510000000543,
81.3409,°,Segment,1,1,1,100000001,510000000562,
-152.613,°,Segment,2,2,1,100000001,510000000570,
-31.0431,°,Segment,1,1,1,100000001,510000000573,
87.6268,°,Segment,2,2,1,100000001,510000000580,
72.1343,°,Segment,2,2,1,100000001,510000000594,
-79.3975,°,Segment,4,3,1,100000001,510000000599,
29.2847,°,Segment,4,2,1,100000001,510000000610,
-11.7494,°,Segment,2,1,1,100000002,510000000616,
44.4556,°,Segment,3,1,1,100000002,510000000635,
-37.3369,°,Segment,3,2,1,100000002,510000000663,
-92.3464,°,Segment,1,1,1,100000002,510000000685,
-156.809,°,Segment,2,1,1,100000002,510000000709,
-138.967,°,Segment,3,1,1,100000002,510000000711,
-132.17,°,Segment,4,1,1,100000002,510000000716,
-121.173,°,Segment,2,2,1,100000002,510000000726,
173.932,°,Segment,4,2,1,100000002,510000000743,
158.153,°,Segment,3,2,1,100000002,510000000755,
86.7069,°,Segment,1,1,1,100000002,510000000760,
82.6722,°,Segment,3,1,1,100000002,510000000765,
65.6045,°,Segment,3,2,1,100000002,510000000773,
45.5395,°,Segment,2,2,1,100000002,510000000783,
41.4839,°,Segment,2,2,1,100000002,510000000798,
-75.1345,°,Segment,1,1,1,100000002,510000000824,
-43.7676,°,Segment,2,2,1,100000002,510000000832,
-36.3616,°,Segment,2,1,1,100000003,510000000846,
-135.017,°,Segment,0,1,1,100000003,510000000855,
-126.932,°,Segment,1,1,1,100000003,510000000857,
122.55,°,Segment,3,2,1,100000003,510000000884,
146.668,°,Segment,4,2,1,100000003,510000000886,
89.0549,°,Segment,3,3,1,100000003,510000000893,
107.278,°,Segment,4,3,1,100000003,510000000899,
53.9771,°,Segment,4,4,1,100000003,510000000907,
-20.6222,°,Segment,2,3,1,100000003,510000000910,
45.0434,°,Segment,3,3,1,100000003,510000000912,
61.1512,°,Segment,3,4,1,100000003,510000000934,
-1.92556,°,Segment,8,4,1,100000003,510000000951,
