
Segment Time Index
 ==================== 
Segment Time Index,Unit,Category,Depth,Level,Time,FilamentID,ID,
1,,Segment,1,1,1,100000000,510000000001,
1,,Segment,2,2,1,100000000,510000000007,
1,,Segment,1,1,1,100000000,510000000045,
1,,Segment,2,1,1,100000000,510000000051,
1,,Segment,3,1,1,100000000,510000000053,
1,,Segment,2,2,1,100000000,510000000095,
1,,Segment,1,1,1,100000000,510000000138,
1,,Segment,2,1,1,100000000,510000000141,
1,,Segment,2,2,1,100000000,510000000158,
1,,Segment,2,2,1,100000000,510000000189,
1,,Segment,3,2,1,100000000,510000000204,
1,,Segment,3,3,1,100000000,510000000217,
1,,Segment,3,1,1,100000000,510000000232,
1,,Segment,3,2,1,100000000,510000000259,
1,,Segment,3,2,1,100000000,510000000294,
1,,Segment,3,2,1,100000000,510000000330,
1,,Segment,3,1,1,100000000,510000000372,
1,,Segment,3,2,1,100000000,510000000414,
1,,Segment,3,1,1,100000001,510000000431,
1,,Segment,4,1,1,100000001,510000000447,
1,,Segment,1,1,1,100000001,510000000450,
1,,Segment,2,1,1,100000001,510000000454,
1,,Segment,3,1,1,100000001,510000000457,
1,,Segment,1,1,1,100000001,510000000474,
1,,Segment,2,1,1,100000001,510000000481,
1,,Segment,3,2,1,100000001,510000000495,
1,,Segment,1,1,1,100000001,510000000505,
1,,Segment,3,2,1,100000001,510000000517,
1,,Segment,4,2,1,100000001,510000000524,
1,,Segment,2,2,1,100000001,510000000529,
1,,Segment,1,1,1,100000001,510000000540,
1,,Segment,2,1,1,100000001,510000000543,
1,,Segment,1,1,1,100000001,510000000562,
1,,Segment,2,2,1,100000001,510000000570,
1,,Segment,1,1,1,100000001,510000000573,
1,,Segment,2,2,1,100000001,510000000580,
1,,Segment,2,2,1,100000001,510000000594,
1,,Segment,4,3,1,100000001,510000000599,
1,,Segment,4,2,1,100000001,510000000610,
1,,Segment,2,1,1,100000002,510000000616,
1,,Segment,3,1,1,100000002,510000000635,
1,,Segment,3,2,1,100000002,510000000663,
1,,Segment,1,1,1,100000002,510000000685,
1,,Segment,2,1,1,100000002,510000000709,
1,,Segment,3,1,1,100000002,510000000711,
1,,Segment,4,1,1,100000002,510000000716,
1,,Segment,2,2,1,100000002,510000000726,
1,,Segment,4,2,1,100000002,510000000743,
1,,Segment,3,2,1,100000002,510000000755,
1,,Segment,1,1,1,100000002,510000000760,
1,,Segment,3,1,1,100000002,510000000765,
1,,Segment,3,2,1,100000002,510000000773,
1,,Segment,2,2,1,100000002,510000000783,
1,,Segment,2,2,1,100000002,510000000798,
1,,Segment,1,1,1,100000002,510000000824,
1,,Segment,2,2,1,100000002,510000000832,
1,,Segment,2,1,1,100000003,510000000846,
1,,Segment,0,1,1,100000003,510000000855,
1,,Segment,1,1,1,100000003,510000000857,
1,,Segment,3,2,1,100000003,510000000884,
1,,Segment,4,2,1,100000003,510000000886,
1,,Segment,3,3,1,100000003,510000000893,
1,,Segment,4,3,1,100000003,510000000899,
1,,Segment,4,4,1,100000003,510000000907,
1,,Segment,2,3,1,100000003,510000000910,
1,,Segment,3,3,1,100000003,510000000912,
1,,Segment,3,4,1,100000003,510000000934,
1,,Segment,8,4,1,100000003,510000000951,
1,,Segment,8,5,1,100000003,510000000961,
1,,Segment,8,5,1,100000003,510000000979,
1,,Segment,9,5,1,100000003,510000000986,
1,,Segment,8,6,1,100000003,510000000995,
1,,Segment,9,6,1,100000003,510000000997,
1,,Segment,6,5,1,100000003,510000001012,
1,,Segment,5,4,1,100000003,510000001037,
1,,Segment,4,4,1,100000003,510000001057,
1,,Segment,5,5,1,100000003,510000001060,
1,,Segment,6,5,1,100000003,510000001062,
1,,Segment,9,7,1,100000003,510000001072,
1,,Segment,9,6,1,100000003,510000001077,
1,,Segment,7,5,1,100000003,510000001085,
1,,Segment,2,3,1,100000003,510000001099,
1,,Segment,2,2,1,100000003,510000001118,
1,,Segment,1,2,1,100000003,510000001127,
1,,Segment,4,3,1,100000003,510000001138,
1,,Segment,1,2,1,100000003,510000001158,
1,,Segment,1,1,1,100000004,510000001175,
1,,Segment,2,2,1,100000004,510000001196,
1,,Segment,3,2,1,100000004,510000001204,
1,,Segment,3,3,1,100000004,510000001211,
1,,Segment,1,2,1,100000004,510000001218,
1,,Segment,1,1,1,100000004,510000001242,
1,,Segment,2,1,1,100000004,510000001244,
1,,Segment,2,3,1,100000004,510000001259,
1,,Segment,2,3,1,100000004,510000001270,
1,,Segment,3,3,1,100000004,510000001272,
1,,Segment,4,3,1,100000004,510000001275,
1,,Segment,4,4,1,100000004,510000001293,
1,,Segment,2,2,1,100000004,510000001302,
1,,Segment,3,4,1,100000004,510000001319,
1,,Segment,1,1,1,100000005,510000001337,
1,,Segment,1,1,1,100000005,510000001375,
1,,Segment,2,1,1,100000005,510000001403,
1,,Segment,1,1,1,100000005,510000001419,
1,,Segment,1,1,1,100000005,510000001434,
1,,Segment,1,1,1,100000005,510000001466,
1,,Segment,2,1,1,100000005,510000001468,
1,,Segment,3,1,1,100000005,510000001470,
1,,Segment,2,2,1,100000005,510000001515,
1,,Segment,3,2,1,100000005,510000001517,
1,,Segment,3,3,1,100000005,510000001545,
1,,Segment,3,2,1,100000005,510000001563,
1,,Segment,2,2,1,100000005,510000001589,
1,,Segment,3,2,1,100000005,510000001599,
1,,Segment,3,3,1,100000005,510000001611,
1,,Segment,2,1,1,100000006,510000001633,
1,,Segment,2,2,1,100000006,510000001648,
1,,Segment,2,2,1,100000006,510000001680,
1,,Segment,2,1,1,100000006,510000001689,
1,,Segment,3,1,1,100000006,510000001692,
1,,Segment,2,2,1,100000006,510000001734,
1,,Segment,3,2,1,100000006,510000001744,
1,,Segment,3,3,1,100000006,510000001753,
1,,Segment,1,1,1,100000006,510000001759,
1,,Segment,3,2,1,100000006,510000001769,
1,,Segment,3,2,1,100000006,510000001778,
1,,Segment,3,3,1,100000006,510000001796,
1,,Segment,2,1,1,100000007,510000001816,
1,,Segment,3,1,1,100000007,510000001818,
1,,Segment,1,1,1,100000007,510000001834,
1,,Segment,2,2,1,100000007,510000001847,
1,,Segment,3,2,1,100000007,510000001850,
1,,Segment,2,1,1,100000007,510000001866,
1,,Segment,1,1,1,100000007,510000001885,
1,,Segment,2,1,1,100000007,510000001892,
1,,Segment,2,2,1,100000007,510000001903,
1,,Segment,2,2,1,100000007,510000001915,
1,,Segment,1,1,1,100000007,510000001923,
1,,Segment,1,1,1,100000007,510000001931,
1,,Segment,3,3,1,100000007,510000001949,
1,,Segment,3,2,1,100000007,510000001953,
1,,Segment,0,1,1,100000008,510000001968,
1,,Segment,2,1,1,100000008,510000001975,
1,,Segment,3,1,1,100000008,510000001977,
1,,Segment,4,1,1,100000008,510000001980,
1,,Segment,1,2,1,100000008,510000001997,
1,,Segment,4,2,1,100000008,510000002005,
1,,Segment,2,2,1,100000008,510000002022,
1,,Segment,1,2,1,100000008,510000002027,
1,,Segment,2,2,1,100000008,510000002031,
1,,Segment,2,2,1,100000008,510000002036,
1,,Segment,3,2,1,100000008,510000002040,
1,,Segment,3,3,1,100000008,510000002045,
1,,Segment,3,2,1,100000008,510000002056,
1,,Segment,2,2,1,100000008,510000002076,
1,,Segment,2,3,1,100000008,510000002093,
1,,Segment,1,2,1,100000009,510000002102,
1,,Segment,1,2,1,100000009,510000002111,
1,,Segment,1,1,1,100000009,510000002126,
1,,Segment,3,1,1,100000009,510000002129,
1,,Segment,3,2,1,100000009,510000002143,
1,,Segment,2,2,1,100000009,510000002148,
1,,Segment,3,2,1,100000009,510000002151,
1,,Segment,2,2,1,100000009,510000002156,
1,,Segment,3,3,1,100000009,510000002165,
1,,Segment,1,2,1,100000009,510000002171,
1,,Segment,2,2,1,100000009,510000002176,
1,,Segment,2,3,1,100000009,510000002180,
1,,Segment,1,1,1,100000010,510000002194,
1,,Segment,2,1,1,100000010,510000002196,
1,,Segment,3,1,1,100000010,510000002202,
1,,Segment,2,2,1,100000010,510000002218,
1,,Segment,3,2,1,100000010,510000002226,
1,,Segment,1,2,1,100000010,510000002246,
1,,Segment,2,3,1,100000010,510000002248,
1,,Segment,3,3,1,100000010,510000002263,
1,,Segment,2,2,1,100000010,510000002278,
1,,Segment,3,2,1,100000010,510000002281,
1,,Segment,4,2,1,100000010,510000002290,
1,,Segment,3,3,1,100000010,510000002302,
1,,Segment,4,3,1,100000010,510000002331,
1,,Segment,1,1,1,100000010,510000002342,
1,,Segment,2,1,1,100000010,510000002358,
1,,Segment,3,1,1,100000010,510000002363,
1,,Segment,3,2,1,100000010,510000002365,
1,,Segment,1,2,1,100000010,510000002368,
1,,Segment,3,2,1,100000010,510000002382,
1,,Segment,1,2,1,100000010,510000002396,
1,,Segment,2,2,1,100000010,510000002399,
1,,Segment,2,3,1,100000010,510000002407,
1,,Segment,3,3,1,100000010,510000002412,
1,,Segment,4,3,1,100000010,510000002417,
1,,Segment,4,4,1,100000010,510000002428,
1,,Segment,1,2,1,100000010,510000002431,
1,,Segment,2,2,1,100000010,510000002441,
1,,Segment,3,2,1,100000010,510000002444,
1,,Segment,4,2,1,100000010,510000002447,
1,,Segment,4,3,1,100000010,510000002454,
1,,Segment,5,3,1,100000010,510000002456,
1,,Segment,5,4,1,100000010,510000002459,
1,,Segment,3,3,1,100000010,510000002461,
1,,Segment,2,3,1,100000010,510000002466,
1,,Segment,2,2,1,100000010,510000002479,
1,,Segment,3,4,1,100000010,510000002488,
1,,Segment,2,1,1,100000011,510000002505,
1,,Segment,3,1,1,100000011,510000002515,
1,,Segment,2,2,1,100000011,510000002528,
1,,Segment,2,3,1,100000011,510000002550,
1,,Segment,4,2,1,100000011,510000002565,
1,,Segment,4,3,1,100000011,510000002578,
1,,Segment,3,3,1,100000011,510000002584,
1,,Segment,2,3,1,100000011,510000002606,
1,,Segment,1,1,1,100000011,510000002630,
1,,Segment,1,2,1,100000011,510000002643,
1,,Segment,3,2,1,100000011,510000002661,
1,,Segment,3,3,1,100000011,510000002664,
1,,Segment,3,2,1,100000011,510000002675,
1,,Segment,2,1,1,100000012,510000002702,
1,,Segment,3,1,1,100000012,510000002709,
1,,Segment,4,1,1,100000012,510000002731,
1,,Segment,4,2,1,100000012,510000002740,
1,,Segment,2,2,1,100000012,510000002746,
1,,Segment,3,2,1,100000012,510000002752,
1,,Segment,4,2,1,100000012,510000002760,
1,,Segment,5,2,1,100000012,510000002776,
1,,Segment,5,3,1,100000012,510000002784,
1,,Segment,4,3,1,100000012,510000002791,
1,,Segment,1,1,1,100000012,510000002813,
1,,Segment,2,1,1,100000012,510000002820,
1,,Segment,2,2,1,100000012,510000002832,
1,,Segment,3,2,1,100000012,510000002836,
1,,Segment,2,1,1,100000012,510000002867,
1,,Segment,3,1,1,100000012,510000002869,
1,,Segment,3,2,1,100000012,510000002897,
1,,Segment,2,2,1,100000012,510000002921,
1,,Segment,3,2,1,100000012,510000002930,
1,,Segment,3,3,1,100000012,510000002947,
1,,Segment,2,2,1,100000012,510000002966,
1,,Segment,3,3,1,100000012,510000002982,
1,,Segment,4,3,1,100000012,510000002984,
1,,Segment,4,4,1,100000012,510000002999,
1,,Segment,3,2,1,100000012,510000003014,
1,,Segment,3,3,1,100000012,510000003020,
1,,Segment,3,1,1,100000013,510000003039,
1,,Segment,3,2,1,100000013,510000003056,
1,,Segment,4,2,1,100000013,510000003061,
1,,Segment,4,3,1,100000013,510000003074,
1,,Segment,3,2,1,100000013,510000003081,
1,,Segment,4,2,1,100000013,510000003083,
1,,Segment,4,3,1,100000013,510000003090,
1,,Segment,5,3,1,100000013,510000003093,
1,,Segment,5,4,1,100000013,510000003106,
1,,Segment,4,3,1,100000013,510000003111,
1,,Segment,4,4,1,100000013,510000003122,
1,,Segment,1,1,1,100000013,510000003143,
1,,Segment,1,1,1,100000013,510000003156,
1,,Segment,2,1,1,100000013,510000003160,
1,,Segment,2,2,1,100000013,510000003185,
1,,Segment,3,2,1,100000013,510000003188,
1,,Segment,4,2,1,100000013,510000003191,
1,,Segment,4,3,1,100000013,510000003206,
1,,Segment,1,1,1,100000013,510000003211,
1,,Segment,4,1,1,100000013,510000003215,
1,,Segment,4,2,1,100000013,510000003235,
1,,Segment,3,2,1,100000013,510000003244,
1,,Segment,2,2,1,100000013,510000003251,
1,,Segment,3,2,1,100000013,510000003253,
1,,Segment,3,3,1,100000013,510000003269,
1,,Segment,3,3,1,100000013,510000003292,
1,,Segment,2,1,1,100000000,510000003309,
1,,Segment,1,1,1,100000000,510000003310,
1,,Segment,2,1,1,100000000,510000003311,
1,,Segment,1,1,1,100000001,510000003312,
1,,Segment,2,1,1,100000001,510000003313,
1,,Segment,1,1,1,100000002,510000003314,
1,,Segment,1,1,1,100000002,510000003315,
1,,Segment,2,1,1,100000002,510000003316,
1,,Segment,0,1,1,100000003,510000003317,
1,,Segment,1,1,1,100000003,510000003318,
1,,Segment,1,2,1,100000003,510000003319,
1,,Segment,2,2,1,100000003,510000003320,
1,,Segment,6,4,1,100000003,510000003321,
1,,Segment,7,4,1,100000003,510000003322,
1,,Segment,7,5,1,100000003,510000003323,
1,,Segment,4,5,1,100000003,510000003324,
1,,Segment,0,1,1,100000004,510000003325,
1,,Segment,1,2,1,100000004,510000003326,
1,,Segment,0,1,1,100000004,510000003327,
1,,Segment,1,1,1,100000005,510000003328,
1,,Segment,1,1,1,100000006,510000003329,
1,,Segment,2,2,1,100000006,510000003330,
1,,Segment,1,1,1,100000006,510000003331,
1,,Segment,1,1,1,100000007,510000003332,
1,,Segment,1,1,1,100000007,510000003333,
1,,Segment,0,1,1,100000008,510000003334,
1,,Segment,1,1,1,100000008,510000003335,
1,,Segment,0,1,1,100000009,510000003336,
1,,Segment,2,1,1,100000009,510000003337,
1,,Segment,0,1,1,100000010,510000003338,
1,,Segment,0,1,1,100000010,510000003339,
1,,Segment,0,1,1,100000011,510000003340,
1,,Segment,1,1,1,100000011,510000003341,
1,,Segment,1,2,1,100000011,510000003342,
1,,Segment,2,2,1,100000011,510000003343,
1,,Segment,3,2,1,100000011,510000003344,
1,,Segment,1,2,1,100000011,510000003345,
1,,Segment,2,2,1,100000011,510000003346,
1,,Segment,0,1,1,100000011,510000003347,
1,,Segment,1,1,1,100000012,510000003348,
1,,Segment,1,1,1,100000012,510000003349,
1,,Segment,1,1,1,100000013,510000003350,
1,,Segment,2,1,1,100000013,510000003351,
1,,Segment,2,2,1,100000013,510000003352,
1,,Segment,3,3,1,100000013,510000003353,
1,,Segment,2,1,1,100000013,510000003354,
1,,Segment,3,1,1,100000013,510000003355,
