
Segment Volume
 ==================== 
Segment Volume,Unit,Category,Depth,Level,Time,FilamentID,ID,
514.609,µm^3,Segment,1,1,1,100000000,510000000001,
855.86,µm^3,Segment,2,2,1,100000000,510000000007,
424.232,µm^3,Segment,1,1,1,100000000,510000000045,
66.0267,µm^3,Segment,2,1,1,100000000,510000000051,
942.776,µm^3,Segment,3,1,1,100000000,510000000053,
800.753,µm^3,Segment,2,2,1,100000000,510000000095,
324.576,µm^3,Segment,1,1,1,100000000,510000000138,
391.638,µm^3,Segment,2,1,1,100000000,510000000141,
525.573,µm^3,Segment,2,2,1,100000000,510000000158,
436.945,µm^3,Segment,2,2,1,100000000,510000000189,
231.96,µm^3,Segment,3,2,1,100000000,510000000204,
221.044,µm^3,Segment,3,3,1,100000000,510000000217,
484.654,µm^3,Segment,3,1,1,100000000,510000000232,
612.447,µm^3,Segment,3,2,1,100000000,510000000259,
667.842,µm^3,Segment,3,2,1,100000000,510000000294,
765.969,µm^3,Segment,3,2,1,100000000,510000000330,
752.662,µm^3,Segment,3,1,1,100000000,510000000372,
261.89,µm^3,Segment,3,2,1,100000000,510000000414,
1038.65,µm^3,Segment,3,1,1,100000001,510000000431,
152.949,µm^3,Segment,4,1,1,100000001,510000000447,
812.529,µm^3,Segment,1,1,1,100000001,510000000450,
159.015,µm^3,Segment,2,1,1,100000001,510000000454,
536.732,µm^3,Segment,3,1,1,100000001,510000000457,
1017.54,µm^3,Segment,1,1,1,100000001,510000000474,
440.351,µm^3,Segment,2,1,1,100000001,510000000481,
265.066,µm^3,Segment,3,2,1,100000001,510000000495,
815.978,µm^3,Segment,1,1,1,100000001,510000000505,
298.415,µm^3,Segment,3,2,1,100000001,510000000517,
98.9264,µm^3,Segment,4,2,1,100000001,510000000524,
438.461,µm^3,Segment,2,2,1,100000001,510000000529,
873.101,µm^3,Segment,1,1,1,100000001,510000000540,
661.997,µm^3,Segment,2,1,1,100000001,510000000543,
836.746,µm^3,Segment,1,1,1,100000001,510000000562,
156.929,µm^3,Segment,2,2,1,100000001,510000000570,
926.757,µm^3,Segment,1,1,1,100000001,510000000573,
400.124,µm^3,Segment,2,2,1,100000001,510000000580,
159.038,µm^3,Segment,2,2,1,100000001,510000000594,
220.58,µm^3,Segment,4,3,1,100000001,510000000599,
172.5,µm^3,Segment,4,2,1,100000001,510000000610,
1727.81,µm^3,Segment,2,1,1,100000002,510000000616,
1505.45,µm^3,Segment,3,1,1,100000002,510000000635,
1190.82,µm^3,Segment,3,2,1,100000002,510000000663,
2431.03,µm^3,Segment,1,1,1,100000002,510000000685,
238.915,µm^3,Segment,2,1,1,100000002,510000000709,
418.133,µm^3,Segment,3,1,1,100000002,510000000711,
544.352,µm^3,Segment,4,1,1,100000002,510000000716,
1060.6,µm^3,Segment,2,2,1,100000002,510000000726,
474.641,µm^3,Segment,4,2,1,100000002,510000000743,
377.791,µm^3,Segment,3,2,1,100000002,510000000755,
917.682,µm^3,Segment,1,1,1,100000002,510000000760,
467.866,µm^3,Segment,3,1,1,100000002,510000000765,
491.417,µm^3,Segment,3,2,1,100000002,510000000773,
899.263,µm^3,Segment,2,2,1,100000002,510000000783,
1441.21,µm^3,Segment,2,2,1,100000002,510000000798,
1374.74,µm^3,Segment,1,1,1,100000002,510000000824,
695.083,µm^3,Segment,2,2,1,100000002,510000000832,
2487.61,µm^3,Segment,2,1,1,100000003,510000000846,
2185.38,µm^3,Segment,0,1,1,100000003,510000000855,
5134.72,µm^3,Segment,1,1,1,100000003,510000000857,
373.362,µm^3,Segment,3,2,1,100000003,510000000884,
1460.64,µm^3,Segment,4,2,1,100000003,510000000886,
1617.4,µm^3,Segment,3,3,1,100000003,510000000893,
1771.48,µm^3,Segment,4,3,1,100000003,510000000899,
1096.91,µm^3,Segment,4,4,1,100000003,510000000907,
434.504,µm^3,Segment,2,3,1,100000003,510000000910,
3037.37,µm^3,Segment,3,3,1,100000003,510000000912,
3778.04,µm^3,Segment,3,4,1,100000003,510000000934,
331.006,µm^3,Segment,8,4,1,100000003,510000000951,
442.904,µm^3,Segment,8,5,1,100000003,510000000961,
420.933,µm^3,Segment,8,5,1,100000003,510000000979,
268.074,µm^3,Segment,9,5,1,100000003,510000000986,
162.369,µm^3,Segment,8,6,1,100000003,510000000995,
365.725,µm^3,Segment,9,6,1,100000003,510000000997,
924.78,µm^3,Segment,6,5,1,100000003,510000001012,
169.184,µm^3,Segment,5,4,1,100000003,510000001037,
499.843,µm^3,Segment,4,4,1,100000003,510000001057,
68.3434,µm^3,Segment,5,5,1,100000003,510000001060,
322.273,µm^3,Segment,6,5,1,100000003,510000001062,
149.411,µm^3,Segment,9,7,1,100000003,510000001072,
210.711,µm^3,Segment,9,6,1,100000003,510000001077,
1131.92,µm^3,Segment,7,5,1,100000003,510000001085,
3776.94,µm^3,Segment,2,3,1,100000003,510000001099,
2619.85,µm^3,Segment,2,2,1,100000003,510000001118,
1927.48,µm^3,Segment,1,2,1,100000003,510000001127,
2579.53,µm^3,Segment,4,3,1,100000003,510000001138,
3551.09,µm^3,Segment,1,2,1,100000003,510000001158,
4947.1,µm^3,Segment,1,1,1,100000004,510000001175,
1404.05,µm^3,Segment,2,2,1,100000004,510000001196,
878.124,µm^3,Segment,3,2,1,100000004,510000001204,
1211.55,µm^3,Segment,3,3,1,100000004,510000001211,
4114.6,µm^3,Segment,1,2,1,100000004,510000001218,
723.63,µm^3,Segment,1,1,1,100000004,510000001242,
2367.66,µm^3,Segment,2,1,1,100000004,510000001244,
1841.84,µm^3,Segment,2,3,1,100000004,510000001259,
590.887,µm^3,Segment,2,3,1,100000004,510000001270,
413.651,µm^3,Segment,3,3,1,100000004,510000001272,
1468.39,µm^3,Segment,4,3,1,100000004,510000001275,
1504.28,µm^3,Segment,4,4,1,100000004,510000001293,
2375.32,µm^3,Segment,2,2,1,100000004,510000001302,
1601.43,µm^3,Segment,3,4,1,100000004,510000001319,
15390.5,µm^3,Segment,1,1,1,100000005,510000001337,
8928.01,µm^3,Segment,1,1,1,100000005,510000001375,
