
Filament Distance from Origin
 ==================== 
Filament Distance from Origin,Unit,Category,Collection,Time,ID,
107872,µm,Filament,Filament Distance from Origin,1,100000000,
108180,µm,Filament,Filament Distance from Origin,1,100000001,
107673,µm,Filament,Filament Distance from Origin,1,100000002,
108386,µm,Filament,Filament Distance from Origin,1,100000003,
109030,µm,Filament,Filament Distance from Origin,1,100000004,
108877,µm,Filament,Filament Distance from Origin,1,100000005,
107159,µm,Filament,Filament Distance from Origin,1,100000006,
107943,µm,Filament,Filament Distance from Origin,1,100000007,
107735,µm,Filament,Filament Distance from Origin,1,100000008,
108196,µm,Filament,Filament Distance from Origin,1,100000009,
107315,µm,Filament,Filament Distance from Origin,1,100000010,
108723,µm,Filament,Filament Distance from Origin,1,100000011,
107274,µm,Filament,Filament Distance from Origin,1,100000012,
109319,µm,Filament,Filament Distance from Origin,1,100000013,
106656,µm,Filament,Filament Distance from Origin,1,100000014,
