
Filament Length (sum)
 ==================== 
Filament Length (sum),Unit,Category,Time,ID,
1865.49,µm,Filament,1,100000000,
2245.03,µm,Filament,1,100000001,
2612.21,µm,Filament,1,100000002,
1230.17,µm,Filament,1,100000003,
1171.19,µm,Filament,1,100000004,
1759.05,µm,Filament,1,100000005,
2529.73,µm,Filament,1,100000006,
2053.01,µm,Filament,1,100000007,
2440.81,µm,Filament,1,100000008,
2041.53,µm,Filament,1,100000009,
1753.09,µm,Filament,1,100000010,
3043.67,µm,Filament,1,100000011,
3032.92,µm,Filament,1,100000012,
1720.29,µm,Filament,1,100000013,
1411.9,µm,Filament,1,100000014,
