
Filament No. Segment Branch Pts
 ==================== 
Filament No. Segment Branch Pts,Unit,Category,Time,ID,
11,,Filament,1,100000000,
8,,Filament,1,100000001,
10,,Filament,1,100000002,
2,,Filament,1,100000003,
6,,Filament,1,100000004,
13,,Filament,1,100000005,
9,,Filament,1,100000006,
10,,Filament,1,100000007,
9,,Filament,1,100000008,
9,,Filament,1,100000009,
9,,Filament,1,100000010,
9,,Filament,1,100000011,
9,,Filament,1,100000012,
9,,Filament,1,100000013,
9,,Filament,1,100000014,
