
Filament No. Segment Segments
 ==================== 
Filament No. Segment Segments,Unit,Category,Time,ID,
27,,Filament,1,100000000,
21,,Filament,1,100000001,
28,,Filament,1,100000002,
9,,Filament,1,100000003,
17,,Filament,1,100000004,
29,,Filament,1,100000005,
22,,Filament,1,100000006,
24,,Filament,1,100000007,
24,,Filament,1,100000008,
22,,Filament,1,100000009,
23,,Filament,1,100000010,
22,,Filament,1,100000011,
23,,Filament,1,100000012,
22,,Filament,1,100000013,
22,,Filament,1,100000014,
