
Filament No. Segment Terminal Pts
 ==================== 
Filament No. Segment Terminal Pts,Unit,Category,Time,ID,
16,,Filament,1,100000000,
13,,Filament,1,100000001,
18,,Filament,1,100000002,
7,,Filament,1,100000003,
11,,Filament,1,100000004,
16,,Filament,1,100000005,
13,,Filament,1,100000006,
14,,Filament,1,100000007,
15,,Filament,1,100000008,
13,,Filament,1,100000009,
14,,Filament,1,100000010,
13,,Filament,1,100000011,
14,,Filament,1,100000012,
13,,Filament,1,100000013,
13,,Filament,1,100000014,
