
Filament No. Spine Terminal Pts
 ==================== 
Filament No. Spine Terminal Pts,Unit,Category,Time,ID,
0,,Filament,1,100000000,
0,,Filament,1,100000001,
0,,Filament,1,100000002,
0,,Filament,1,100000003,
0,,Filament,1,100000004,
0,,Filament,1,100000005,
0,,Filament,1,100000006,
0,,Filament,1,100000007,
0,,Filament,1,100000008,
0,,Filament,1,100000009,
0,,Filament,1,100000010,
0,,Filament,1,100000011,
0,,Filament,1,100000012,
0,,Filament,1,100000013,
0,,Filament,1,100000014,
