
Filament Position
 ==================== 
Filament Position X,Filament Position Y,Filament Position Z,Unit,Category,Collection,Time,ID,
107054,13265.3,8.08359,µm,Filament,Filament Position,1,100000000,
107400,12963.6,-6.13376,µm,Filament,Filament Position,1,100000001,
106906,12831.9,-0.932409,µm,Filament,Filament Position,1,100000002,
107665,12477.8,7.48348,µm,Filament,Filament Position,1,100000003,
108102,14191,0.840311,µm,Filament,Filament Position,1,100000004,
108011,13707.8,4.08107,µm,Filament,Filament Position,1,100000005,
106397,12756.6,4.88622,µm,Filament,Filament Position,1,100000006,
107253,12186.4,6.3913,µm,Filament,Filament Position,1,100000007,
107083,11835.4,10.8151,µm,Filament,Filament Position,1,100000008,
107377,13279.9,5.0296,µm,Filament,Filament Position,1,100000009,
106607,12302.2,13.0569,µm,Filament,Filament Position,1,100000010,
107952,12928.2,7.17705,µm,Filament,Filament Position,1,100000011,
106363,13950.8,12.7938,µm,Filament,Filament Position,1,100000012,
108409,14078.1,5.551,µm,Filament,Filament Position,1,100000013,
105849,13096.2,-11.0356,µm,Filament,Filament Position,1,100000014,
