
Filament Position X
 ==================== 
Filament Position X,Unit,Category,Collection,Time,ID,
107054,µm,Filament,Filament Position,1,100000000,
107400,µm,Filament,Filament Position,1,100000001,
106906,µm,Filament,Filament Position,1,100000002,
107665,µm,Filament,Filament Position,1,100000003,
108102,µm,Filament,Filament Position,1,100000004,
108011,µm,Filament,Filament Position,1,100000005,
106397,µm,Filament,Filament Position,1,100000006,
107253,µm,Filament,Filament Position,1,100000007,
107083,µm,Filament,Filament Position,1,100000008,
107377,µm,Filament,Filament Position,1,100000009,
106607,µm,Filament,Filament Position,1,100000010,
107952,µm,Filament,Filament Position,1,100000011,
106363,µm,Filament,Filament Position,1,100000012,
108409,µm,Filament,Filament Position,1,100000013,
105849,µm,Filament,Filament Position,1,100000014,
