
Filament Position Y
 ==================== 
Filament Position Y,Unit,Category,Collection,Time,ID,
13265.3,µm,Filament,Filament Position,1,100000000,
12963.6,µm,Filament,Filament Position,1,100000001,
12831.9,µm,Filament,Filament Position,1,100000002,
12477.8,µm,Filament,Filament Position,1,100000003,
14191,µm,Filament,Filament Position,1,100000004,
13707.8,µm,Filament,Filament Position,1,100000005,
12756.6,µm,Filament,Filament Position,1,100000006,
12186.4,µm,Filament,Filament Position,1,100000007,
11835.4,µm,Filament,Filament Position,1,100000008,
13279.9,µm,Filament,Filament Position,1,100000009,
12302.2,µm,Filament,Filament Position,1,100000010,
12928.2,µm,Filament,Filament Position,1,100000011,
13950.8,µm,Filament,Filament Position,1,100000012,
14078.1,µm,Filament,Filament Position,1,100000013,
13096.2,µm,Filament,Filament Position,1,100000014,
