
Filament Position Z
 ==================== 
Filament Position Z,Unit,Category,Collection,Time,ID,
8.08359,µm,Filament,Filament Position,1,100000000,
-6.13376,µm,Filament,Filament Position,1,100000001,
-0.932409,µm,Filament,Filament Position,1,100000002,
7.48348,µm,Filament,Filament Position,1,100000003,
0.840311,µm,Filament,Filament Position,1,100000004,
4.08107,µm,Filament,Filament Position,1,100000005,
4.88622,µm,Filament,Filament Position,1,100000006,
6.3913,µm,Filament,Filament Position,1,100000007,
10.8151,µm,Filament,Filament Position,1,100000008,
5.0296,µm,Filament,Filament Position,1,100000009,
13.0569,µm,Filament,Filament Position,1,100000010,
7.17705,µm,Filament,Filament Position,1,100000011,
12.7938,µm,Filament,Filament Position,1,100000012,
5.551,µm,Filament,Filament Position,1,100000013,
-11.0356,µm,Filament,Filament Position,1,100000014,
