
Filament Segment Area (sum)
 ==================== 
Filament Segment Area (sum),Unit,Category,Time,ID,
28546.1,µm^2,Filament,1,100000000,
85436.4,µm^2,Filament,1,100000001,
75084.4,µm^2,Filament,1,100000002,
96375.4,µm^2,Filament,1,100000003,
50405.1,µm^2,Filament,1,100000004,
47279.5,µm^2,Filament,1,100000005,
59606.7,µm^2,Filament,1,100000006,
82666.8,µm^2,Filament,1,100000007,
80789,µm^2,Filament,1,100000008,
59947.5,µm^2,Filament,1,100000009,
62255.1,µm^2,Filament,1,100000010,
126090,µm^2,Filament,1,100000011,
176645,µm^2,Filament,1,100000012,
43048.8,µm^2,Filament,1,100000013,
39189.4,µm^2,Filament,1,100000014,
