
Filament Volume (sum)
 ==================== 
Filament Volume (sum),Unit,Category,Time,ID,
54114,µm^3,Filament,1,100000000,
271008,µm^3,Filament,1,100000001,
190519,µm^3,Filament,1,100000002,
626532,µm^3,Filament,1,100000003,
184207,µm^3,Filament,1,100000004,
104715,µm^3,Filament,1,100000005,
127395,µm^3,Filament,1,100000006,
270761,µm^3,Filament,1,100000007,
219241,µm^3,Filament,1,100000008,
146277,µm^3,Filament,1,100000009,
177125,µm^3,Filament,1,100000010,
486293,µm^3,Filament,1,100000011,
827707,µm^3,Filament,1,100000012,
94251.7,µm^3,Filament,1,100000013,
103251,µm^3,Filament,1,100000014,
