
Pt Distance from Origin
 ==================== 
Pt Distance from Origin,Unit,Category,Collection,Depth,Time,Type,FilamentID,ID,
107848,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000000,800000004,
108054,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000000,800000005,
107869,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000000,800000006,
108069,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000000,800000007,
107891,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000000,800000008,
107985,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000000,800000009,
107860,µm,Point,Pt Distance from Origin,0,1,Segment Branch,100000000,800000010,
107861,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000000,800000011,
107773,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000000,800000012,
107852,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000000,800000013,
107825,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000000,800000014,
107823,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000000,800000015,
107675,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000000,800000016,
107731,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000000,800000017,
107670,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000000,800000018,
107757,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000000,800000019,
107763,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000000,800000020,
107767,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000000,800000021,
107799,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000000,800000022,
107798,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000000,800000023,
107825,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000000,800000024,
107818,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000000,800000025,
107838,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000000,800000026,
107866,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000000,800000027,
107857,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000000,800000028,
107919,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000000,800000029,
108081,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000000,800000030,
107791,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000000,800000031,
108101,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000001,800000032,
107864,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000001,800000033,
108085,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000001,800000034,
