
Pt Time Type=Segment Branch
 ==================== 
Pt Time,Unit,Category,Depth,Time,Type,FilamentID,ID,
0,s,Point,1,1,Segment Branch,100000000,800000006,
0,s,Point,2,1,Segment Branch,100000000,800000008,
0,s,Point,0,1,Segment Branch,100000000,800000010,
0,s,Point,1,1,Segment Branch,100000000,800000013,
0,s,Point,1,1,Segment Branch,100000000,800000015,
0,s,Point,3,1,Segment Branch,100000000,800000017,
0,s,Point,2,1,Segment Branch,100000000,800000019,
0,s,Point,3,1,Segment Branch,100000000,800000022,
0,s,Point,2,1,Segment Branch,100000000,800000024,
0,s,Point,1,1,Segment Branch,100000000,800000026,
0,s,Point,2,1,Segment Branch,100000000,800000028,
0,s,Point,1,1,Segment Branch,100000001,800000034,
0,s,Point,2,1,Segment Branch,100000001,800000038,
0,s,Point,3,1,Segment Branch,100000001,800000040,
0,s,Point,1,1,Segment Branch,100000001,800000042,
0,s,Point,3,1,Segment Branch,100000001,800000044,
0,s,Point,2,1,Segment Branch,100000001,800000047,
0,s,Point,2,1,Segment Branch,100000001,800000051,
0,s,Point,1,1,Segment Branch,100000001,800000053,
0,s,Point,2,1,Segment Branch,100000002,800000060,
0,s,Point,1,1,Segment Branch,100000002,800000063,
0,s,Point,2,1,Segment Branch,100000002,800000066,
0,s,Point,3,1,Segment Branch,100000002,800000069,
0,s,Point,1,1,Segment Branch,100000002,800000071,
0,s,Point,4,1,Segment Branch,100000002,800000073,
0,s,Point,1,1,Segment Branch,100000002,800000075,
0,s,Point,1,1,Segment Branch,100000002,800000077,
0,s,Point,1,1,Segment Branch,100000002,800000079,
0,s,Point,1,1,Segment Branch,100000002,800000082,
0,s,Point,1,1,Segment Branch,100000003,800000087,
0,s,Point,1,1,Segment Branch,100000003,800000092,
0,s,Point,2,1,Segment Branch,100000004,800000098,
0,s,Point,1,1,Segment Branch,100000004,800000100,
0,s,Point,2,1,Segment Branch,100000004,800000103,
0,s,Point,3,1,Segment Branch,100000004,800000105,
0,s,Point,4,1,Segment Branch,100000004,800000108,
0,s,Point,3,1,Segment Branch,100000004,800000110,
0,s,Point,1,1,Segment Branch,100000005,800000114,
0,s,Point,0,1,Segment Branch,100000005,800000116,
0,s,Point,2,1,Segment Branch,100000005,800000118,
0,s,Point,5,1,Segment Branch,100000005,800000121,
0,s,Point,6,1,Segment Branch,100000005,800000123,
0,s,Point,3,1,Segment Branch,100000005,800000125,
0,s,Point,4,1,Segment Branch,100000005,800000127,
0,s,Point,4,1,Segment Branch,100000005,800000129,
0,s,Point,1,1,Segment Branch,100000005,800000131,
0,s,Point,2,1,Segment Branch,100000005,800000133,
0,s,Point,3,1,Segment Branch,100000005,800000135,
0,s,Point,2,1,Segment Branch,100000005,800000137,
0,s,Point,3,1,Segment Branch,100000005,800000139,
0,s,Point,1,1,Segment Branch,100000006,800000144,
0,s,Point,1,1,Segment Branch,100000006,800000148,
0,s,Point,1,1,Segment Branch,100000006,800000150,
0,s,Point,2,1,Segment Branch,100000006,800000152,
0,s,Point,1,1,Segment Branch,100000006,800000155,
0,s,Point,2,1,Segment Branch,100000006,800000157,
0,s,Point,2,1,Segment Branch,100000006,800000159,
0,s,Point,2,1,Segment Branch,100000006,800000161,
0,s,Point,3,1,Segment Branch,100000006,800000163,
0,s,Point,5,1,Segment Branch,100000007,800000167,
0,s,Point,2,1,Segment Branch,100000007,800000169,
0,s,Point,1,1,Segment Branch,100000007,800000171,
0,s,Point,3,1,Segment Branch,100000007,800000173,
0,s,Point,2,1,Segment Branch,100000007,800000175,
0,s,Point,1,1,Segment Branch,100000007,800000179,
0,s,Point,2,1,Segment Branch,100000007,800000181,
0,s,Point,4,1,Segment Branch,100000007,800000184,
0,s,Point,3,1,Segment Branch,100000007,800000186,
0,s,Point,1,1,Segment Branch,100000007,800000188,
0,s,Point,3,1,Segment Branch,100000008,800000193,
0,s,Point,1,1,Segment Branch,100000008,800000195,
0,s,Point,2,1,Segment Branch,100000008,800000197,
0,s,Point,2,1,Segment Branch,100000008,800000199,
0,s,Point,2,1,Segment Branch,100000008,800000204,
0,s,Point,3,1,Segment Branch,100000008,800000206,
0,s,Point,1,1,Segment Branch,100000008,800000208,
0,s,Point,3,1,Segment Branch,100000008,800000211,
0,s,Point,4,1,Segment Branch,100000008,800000213,
0,s,Point,3,1,Segment Branch,100000009,800000217,
0,s,Point,1,1,Segment Branch,100000009,800000219,
0,s,Point,1,1,Segment Branch,100000009,800000222,
0,s,Point,3,1,Segment Branch,100000009,800000225,
0,s,Point,2,1,Segment Branch,100000009,800000227,
0,s,Point,1,1,Segment Branch,100000009,800000230,
0,s,Point,2,1,Segment Branch,100000009,800000232,
0,s,Point,3,1,Segment Branch,100000009,800000234,
0,s,Point,2,1,Segment Branch,100000009,800000237,
0,s,Point,1,1,Segment Branch,100000010,800000241,
0,s,Point,2,1,Segment Branch,100000010,800000244,
0,s,Point,3,1,Segment Branch,100000010,800000246,
0,s,Point,1,1,Segment Branch,100000010,800000249,
0,s,Point,3,1,Segment Branch,100000010,800000251,
0,s,Point,1,1,Segment Branch,100000010,800000254,
0,s,Point,2,1,Segment Branch,100000010,800000256,
0,s,Point,3,1,Segment Branch,100000010,800000258,
0,s,Point,1,1,Segment Branch,100000010,800000260,
0,s,Point,2,1,Segment Branch,100000011,800000265,
0,s,Point,3,1,Segment Branch,100000011,800000267,
0,s,Point,1,1,Segment Branch,100000011,800000270,
0,s,Point,1,1,Segment Branch,100000011,800000273,
0,s,Point,2,1,Segment Branch,100000011,800000276,
0,s,Point,1,1,Segment Branch,100000011,800000278,
0,s,Point,2,1,Segment Branch,100000011,800000280,
0,s,Point,2,1,Segment Branch,100000011,800000282,
0,s,Point,2,1,Segment Branch,100000011,800000284,
0,s,Point,2,1,Segment Branch,100000012,800000288,
0,s,Point,1,1,Segment Branch,100000012,800000291,
0,s,Point,1,1,Segment Branch,100000012,800000294,
0,s,Point,1,1,Segment Branch,100000012,800000297,
0,s,Point,3,1,Segment Branch,100000012,800000299,
0,s,Point,4,1,Segment Branch,100000012,800000301,
0,s,Point,4,1,Segment Branch,100000012,800000303,
0,s,Point,1,1,Segment Branch,100000012,800000306,
0,s,Point,2,1,Segment Branch,100000012,800000308,
0,s,Point,1,1,Segment Branch,100000013,800000312,
0,s,Point,3,1,Segment Branch,100000013,800000314,
0,s,Point,2,1,Segment Branch,100000013,800000316,
0,s,Point,3,1,Segment Branch,100000013,800000318,
0,s,Point,1,1,Segment Branch,100000013,800000322,
0,s,Point,1,1,Segment Branch,100000013,800000325,
0,s,Point,2,1,Segment Branch,100000013,800000327,
0,s,Point,3,1,Segment Branch,100000013,800000329,
0,s,Point,2,1,Segment Branch,100000013,800000331,
0,s,Point,2,1,Segment Branch,100000014,800000336,
0,s,Point,1,1,Segment Branch,100000014,800000340,
0,s,Point,2,1,Segment Branch,100000014,800000342,
0,s,Point,3,1,Segment Branch,100000014,800000344,
0,s,Point,1,1,Segment Branch,100000014,800000346,
0,s,Point,2,1,Segment Branch,100000014,800000348,
0,s,Point,3,1,Segment Branch,100000014,800000350,
0,s,Point,1,1,Segment Branch,100000014,800000352,
0,s,Point,2,1,Segment Branch,100000014,800000354,
