
Segment Area
 ==================== 
Segment Area,Unit,Category,Depth,Level,Time,FilamentID,ID,
7230.15,µm^2,Segment,2,1,1,100000000,510000000003,
1095.63,µm^2,Segment,2,2,1,100000000,510000000023,
2444.38,µm^2,Segment,3,2,1,100000000,510000000028,
1262.32,µm^2,Segment,3,3,1,100000000,510000000050,
1346.21,µm^2,Segment,1,2,1,100000000,510000000064,
542.509,µm^2,Segment,2,2,1,100000000,510000000068,
1140.25,µm^2,Segment,1,2,1,100000000,510000000073,
797.547,µm^2,Segment,2,2,1,100000000,510000000075,
453.83,µm^2,Segment,2,3,1,100000000,510000000083,
783.604,µm^2,Segment,2,3,1,100000000,510000000086,
276.478,µm^2,Segment,3,3,1,100000000,510000000093,
561.736,µm^2,Segment,4,3,1,100000000,510000000096,
688.518,µm^2,Segment,4,4,1,100000000,510000000103,
357.984,µm^2,Segment,3,4,1,100000000,510000000110,
464.93,µm^2,Segment,3,2,1,100000000,510000000117,
446.743,µm^2,Segment,4,2,1,100000000,510000000124,
261.122,µm^2,Segment,4,3,1,100000000,510000000134,
442.398,µm^2,Segment,3,3,1,100000000,510000000137,
428.923,µm^2,Segment,2,3,1,100000000,510000000149,
604.223,µm^2,Segment,3,3,1,100000000,510000000151,
782.432,µm^2,Segment,3,4,1,100000000,510000000163,
2145.76,µm^2,Segment,3,4,1,100000000,510000000184,
1083.1,µm^2,Segment,2,3,1,100000000,510000000209,
1549.02,µm^2,Segment,2,1,1,100000001,510000000226,
7656.26,µm^2,Segment,3,1,1,100000001,510000000230,
4145,µm^2,Segment,2,2,1,100000001,510000000252,
6622.4,µm^2,Segment,1,1,1,100000001,510000000264,
1757.01,µm^2,Segment,3,1,1,100000001,510000000274,
9280.84,µm^2,Segment,3,2,1,100000001,510000000282,
1002.21,µm^2,Segment,4,3,1,100000001,510000000314,
2515.31,µm^2,Segment,2,2,1,100000001,510000000318,
6935.12,µm^2,Segment,3,2,1,100000001,510000000326,
2901.64,µm^2,Segment,4,2,1,100000001,510000000350,
9014.62,µm^2,Segment,4,3,1,100000001,510000000359,
